	Score	0.95 MoE	P-Value	Q-Value
NFE2L2.V2	0.6451005166950138			
GO_GLYCOSIDE_METABOLIC_PROCESS	0.6324625469766637			
SINGH_NFE2L2_TARGETS	0.6223316600269183			
GO_ALDITOL_NADPPLUS_1_OXIDOREDUCTASE_ACTIVITY	0.6150769664679258			
GO_SECONDARY_METABOLIC_PROCESS	0.6136708217177279			
GO_NADP_RETINOL_DEHYDROGENASE_ACTIVITY	0.6134997158241946			
GO_CELLULAR_RESPONSE_TO_ALDEHYDE	0.6027566050369811			
GO_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	0.6020960287517977			
GO_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY	0.6018099285663235			
GO_TERTIARY_ALCOHOL_METABOLIC_PROCESS	0.5959451942949792			
GO_CELLULAR_KETONE_METABOLIC_PROCESS	0.5902353296564744			
GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY	0.59007976032222			
GO_C21_STEROID_HORMONE_METABOLIC_PROCESS	0.5876360041854745			
GO_PROGESTERONE_METABOLIC_PROCESS	0.5822980719739848			
NFE2L1_TARGET_GENES	0.5810197307119568			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	0.5736063055964471			
GO_QUINONE_METABOLIC_PROCESS	0.5729250590430839			
FORTSCHEGGER_PHF8_TARGETS_UP	0.5695673462629431			
MAFG_TARGET_GENES	0.56621734349307			
GO_POLYPRENOL_METABOLIC_PROCESS	0.5631386023823691			
GO_ANDROSTERONE_DEHYDROGENASE_ACTIVITY	0.5597103753926767			
GO_RETINAL_DEHYDROGENASE_ACTIVITY	0.5578655886099926			
GO_NADPH_REGENERATION	0.5487076514261093			
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.5457407326067855			
GO_BILE_ACID_BINDING	0.5456514291790653			
GO_RESPONSE_TO_OXIDATIVE_STRESS	0.5448394505209845			
