	Score	0.95 MoE	P-Value	Q-Value
DLX2_TARGET_GENES	0.5823505791682104			
IPA_ONECUT1_UP	0.5794048417326609			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP	0.5773337556798667			
IPA_NR2F2_UP	0.5620442613159549			
ATF5_TARGET_GENES	0.5525339287722947			
GO_ORNITHINE_METABOLIC_PROCESS	0.5509280753367869			
GO_DRUG_CATABOLIC_PROCESS	0.5500343682271219			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	0.5496937881371232			
HNF1A_TARGET_GENES	0.5467295288526086			
GO_NEGATIVE_REGULATION_OF_MEMBRANE_REPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.5466256812343864			
GLI1_TARGET_GENES	0.5465818256963096			
GO_ARYL_SULFOTRANSFERASE_ACTIVITY	0.5447442047555826			
GO_MICROVILLUS_ORGANIZATION	0.5439953015647201			
PAX2_TARGET_GENES	0.542449564993974			
WANG_BARRETTS_ESOPHAGUS_UP	0.5424296988445629			
LIU_CDX2_TARGETS_UP	0.5408205779476682			
IPA_HNF1B_DN	0.5394536354065343			
SERVITJA_ISLET_HNF1A_TARGETS_DN	0.5385022491676275			
LUCAS_HNF4A_TARGETS_UP	0.5381269980676727			
GO_NEGATIVE_REGULATION_OF_ACTION_POTENTIAL	0.5377781081343674			
GO_XENOBIOTIC_METABOLIC_PROCESS	0.5346421190951525			
GO_DIGESTION	0.5341626353241504			
IPA_HNF1A_UP	0.5333313274839888			
CEBPE_TARGET_GENES	0.5329730896727402			
HOLLERN_MICROACINAR_BREAST_TUMOR_UP	0.5328907055941096			
GO_REGULATION_OF_MICROVILLUS_LENGTH	0.5326341968344399			
IPA_HNF4A_UP	0.531885272328332			
BIOCARTA_NUCLEARRS_PATHWAY	0.5317756004626382			
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.5311371793307142			
GO_BRUSH_BORDER	0.5303337760781859			
GATAAGR_GATA_C	0.5292602598348913			
GO_AMMONIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.5285794676536363			
REACTOME_BIOLOGICAL_OXIDATIONS	0.5284847062180896			
