	Score	0.95 MoE	P-Value	Q-Value
HAND1_TARGET_GENES	0.43954392233280065			
GO_SARCOLEMMA	0.43149726217184403			
LIU_PROSTATE_CANCER_DN	0.43125046868661826			
SMID_BREAST_CANCER_BASAL_UP	0.42973497553142304			
HALLMARK_APICAL_JUNCTION	0.42926848702102094			
REACTOME_SIGNALING_BY_MET	0.4287452000170821			
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	0.42783974550350123			
STEIN_ESRRA_TARGETS_DN	0.42711657839508665			
GO_TISSUE_MORPHOGENESIS	0.4269545031940711			
REACTOME_ANCHORING_FIBRIL_FORMATION	0.42670114263828995			
PID_DELTA_NP63_PATHWAY	0.42636160606342993			
GO_CYTOSKELETON_ORGANIZATION	0.4260654277210669			
NABA_BASEMENT_MEMBRANES	0.42339075366113493			
IPA_MESP1_UP	0.4220791665135769			
GO_EPIBOLY	0.4218668639271974			
GO_BASEMENT_MEMBRANE	0.42080097098282165			
BASAKI_YBX1_TARGETS_UP	0.4196407092864666			
GO_CELL_JUNCTION_ASSEMBLY	0.418569326202324			
GO_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.4183555879499939			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.4176763123357294			
IPA_CTNNB1_UP	0.4176453485318416			
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	0.4175306887838344			
BURTON_ADIPOGENESIS_7	0.4171871991452825			
GO_CELL_JUNCTION_ORGANIZATION	0.41712064597096643			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.417044794406799			
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	0.4169670253769361			
OSADA_ASCL1_TARGETS_DN	0.4165499361792556			
SENESE_HDAC3_TARGETS_DN	0.4161226772873981			
PASINI_SUZ12_TARGETS_DN	0.41596344659182904			
KHETCHOUMIAN_TRIM24_TARGETS_UP	0.41576365181039976			
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	0.4154443742950002			
GO_GROWTH_PLATE_CARTILAGE_DEVELOPMENT	0.4148288951630296			
CROMER_TUMORIGENESIS_UP	0.4147971329775626			
GO_FORMATION_OF_PRIMARY_GERM_LAYER	0.4145559224014043			
GO_CELL_ADHESION_MOLECULE_BINDING	0.41453504089009063			
