	Score	0.95 MoE	P-Value	Q-Value
REACTOME_MITOTIC_PROPHASE	0.7978782793265817			
FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN	0.7768826999827063			
GO_FAT_CELL_PROLIFERATION	0.7717288385900927			
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	0.7696009816440569			
GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN	0.7626983582904313			
GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	0.7606704385098475			
KEGG_CELL_CYCLE	0.7565040746159175			
GO_RNA_DNA_HYBRID_RIBONUCLEASE_ACTIVITY	0.7560087190006867			
GO_POSITIVE_REGULATION_OF_BEHAVIOR	0.7528672182713742			
MISSIAGLIA_REGULATED_BY_METHYLATION_DN	0.7487095932955107			
ODONNELL_TFRC_TARGETS_DN	0.7442474874037719			
MIR6854_3P	0.7427945142561277			
GO_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	0.7426109240861056			
GO_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.742251234245095			
HALLMARK_G2M_CHECKPOINT	0.7408087258599586			
ZHOU_PANCREATIC_ENDOCRINE_PROGENITOR	0.7401407698208352			
MIR214_5P	0.7380252361679095			
GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	0.7373860967343464			
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	0.7335616241282287			
GO_NUCLEOSOME_BINDING	0.7330002533435249			
WONG_EMBRYONIC_STEM_CELL_CORE	0.7326550277315601			
GO_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.7324276163431047			
GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	0.732328336352028			
IPA_IRX4_UP	0.7318739952480466			
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDES	0.7306255586474286			
GO_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT	0.7303601616177613			
chr20q12	0.7300555065555607			
MIR324_5P	0.7299332696480874			
MIKKELSEN_IPS_WITH_HCP_H3K27ME3	0.7282202024011194			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.7280291779784119			
REACTOME_PHOSPHORYLATION_OF_EMI1	0.7279351186600836			
MIR5581_5P	0.7270457860764991			
GO_PERIKARYON	0.7265862816123586			
GO_OPIOID_RECEPTOR_BINDING	0.7264794829329461			
GO_MITOTIC_SPINDLE	0.724293515141953			
GO_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	0.7241934822136059			
KRASNOSELSKAYA_ILF3_TARGETS_DN	0.7240100334206391			
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	0.7230124515634115			
CTACCTC_LET7A_LET7B_LET7C_LET7D_LET7E_LET7F_MIR98_LET7G_LET7I	0.7227158097745096			
SAMOLS_TARGETS_OF_KHSV_MIRNAS_UP	0.7223395987360699			
GO_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.7213112231181584			
MARKEY_RB1_CHRONIC_LOF_UP	0.7204651501542418			
GO_PITUITARY_GLAND_DEVELOPMENT	0.720322248767043			
GATA1_01	0.7195721506032889			
GO_EPSILON_DNA_POLYMERASE_COMPLEX	0.7195108695603485			
MIR139_3P	0.7187124372054863			
GO_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE	0.7176500000893488			
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	0.7173062871660248			
RPS14_DN.V1_DN	0.716776735987697			
GO_CHROMATIN_BINDING	0.7166760211595997			
chr11q25	0.7163177605038602			
IPA_HOXC9_UP	0.7156480303428036			
HALLMARK_E2F_TARGETS	0.7151581783705585			
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	0.7145208183129637			
GFI1_01	0.7142269841278486			
GO_SKELETAL_MUSCLE_SATELLITE_CELL_DIFFERENTIATION	0.7141148369085895			
GO_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	0.7139752426277943			
GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP	0.7129834862620202			
GO_NEURON_FATE_SPECIFICATION	0.7129051926778395			
GO_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS	0.7126468474705344			
GO_POSITIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	0.71115028010514			
GO_TOLL_SIGNALING_PATHWAY	0.7106685040043098			
KEGG_DNA_REPLICATION	0.7104327063231791			
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.7101937898870805			
GO_NEUROTRANSMITTER_RECEPTOR_COMPLEX	0.7099479478745577			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.7096228468401734			
GO_POSITIVE_REGULATION_OF_CELL_CYCLE	0.7094103958042504			
REACTOME_NETRIN_MEDIATED_REPULSION_SIGNALS	0.708851384506369			
RHODES_CANCER_META_SIGNATURE	0.7088214601144981			
GO_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_ACTIVITY	0.7082856759432855			
SMTTTTGT_UNKNOWN	0.7073335633684517			
GO_SODIUM_CHANNEL_COMPLEX	0.7071323586832948			
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.7070718014539566			
GO_FOUR_WAY_JUNCTION_DNA_BINDING	0.7066955304976379			
IPA_FOXP1_UP	0.7065984574927234			
GO_CYTOPLASMIC_STRESS_GRANULE	0.706521643977236			
HSD17B8_TARGET_GENES	0.7062576722381207			
GO_SYMMETRIC_SYNAPSE	0.7055952246945858			
GO_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.7045722731283366			
GO_PURKINJE_MYOCYTE_TO_VENTRICULAR_CARDIAC_MUSCLE_CELL_SIGNALING	0.7045405330799102			
GO_NUCLEOSOMAL_DNA_BINDING	0.7042273543112778			
REACTOME_REGULATION_OF_TP53_ACTIVITY	0.7042201534807124			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_DN	0.70350931923869			
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN	0.7031466937068216			
GO_DIRECT_OSSIFICATION	0.7030429605043979			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX	0.703035021329958			
GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	0.7023998704512413			
FISCHER_DREAM_TARGETS	0.7019655136252498			
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.7018460675979923			
MANALO_HYPOXIA_DN	0.7014402190948059			
GO_OLFACTORY_LOBE_DEVELOPMENT	0.7014292098779167			
WHITEFORD_PEDIATRIC_CANCER_MARKERS	0.7012773157759185			
IPA_HOXA3_UP	0.7000796298775329			
GO_SISTER_CHROMATID_SEGREGATION	0.6998256495695838			
GO_HINDBRAIN_DEVELOPMENT	0.6993006212246319			
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS	0.698930704602076			
IPA_FEZF2_UP	0.6984245913230299			
REN_BOUND_BY_E2F	0.698143922394263			
GO_POSITIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.6980700296884556			
IWANAGA_E2F1_TARGETS_NOT_INDUCED_BY_SERUM	0.6973658204150368			
IPA_ZBTB16_DN	0.6971837548189026			
CAIRO_HEPATOBLASTOMA_CLASSES_UP	0.6968573592667962			
ALX4_01	0.6967516539295008			
GO_CELL_CYCLE	0.6962869874224364			
MIR491_5P	0.6955178753595277			
GSE12003_4D_VS_8D_CULTURE_BM_PROGENITOR_DN	0.6954053389406066			
IPA_HR_UP	0.694979945083803			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_25	0.6946064808900382			
GO_MULTI_ORGANISM_BEHAVIOR	0.6945146817835215			
MIR4447	0.6939166175194535			
MIKKELSEN_ES_LCP_WITH_H3K4ME3_AND_H3K27ME3	0.6938275379824046			
GO_NEURON_TO_NEURON_SYNAPSE	0.6938148746600187			
TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C	0.693718266261361			
GO_NEUROPEPTIDE_HORMONE_ACTIVITY	0.6936820933918029			
GO_REGULATION_OF_CHROMOSOME_SEPARATION	0.6933149463217181			
GO_REGULATION_OF_RESPONSE_TO_FOOD	0.6933076853235826			
GO_PROTEIN_SERINE_THREONINE_PHOSPHATASE_INHIBITOR_ACTIVITY	0.6929936862033251			
GO_ATRIOVENTRICULAR_VALVE_DEVELOPMENT	0.6927151537982473			
GO_INTESTINE_SMOOTH_MUSCLE_CONTRACTION	0.692541318036943			
IPA_POU1F1_UP	0.6924294773101097			
IPA_MAFB_UP	0.6921854176790999			
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	0.6919351620363302			
GO_AGGRESSIVE_BEHAVIOR	0.6908967408340436			
MIR942_3P	0.6906100064807045			
GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.6905289480704071			
GO_POSITIVE_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION	0.6899446646802974			
GO_SCAR_COMPLEX	0.6898594987207022			
MIR4804_3P	0.6896536248863411			
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.6896181916216187			
GSE557_CIITA_KO_VS_I_AB_KO_DC_DN	0.6895031472859591			
GO_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	0.6894640530897178			
ZNF211_TARGET_GENES	0.6893625165440016			
GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	0.6888759834985307			
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.6888036735856984			
IPA_BCL11A_DN	0.6888023132155938			
GO_DNA_REPLICATION	0.6887518141675516			
GO_CARDIAC_VENTRICLE_FORMATION	0.6880292258083898			
chr21q11	0.6879181153118701			
GO_DNA_SECONDARY_STRUCTURE_BINDING	0.687890617862023			
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_UP	0.6876916342757542			
GO_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL	0.6873468971746992			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.6868828717767386			
GO_CHROMOSOME_SEPARATION	0.68686006332866			
GO_REGULATION_OF_DNA_TOPOISOMERASE_ATP_HYDROLYZING_ACTIVITY	0.6866896689463401			
GO_NEGATIVE_REGULATION_OF_FAT_CELL_PROLIFERATION	0.6866697287239477			
IPA_NKX6-1_UP	0.6866328406414806			
GCNP_SHH_UP_EARLY.V1_UP	0.6862745151587875			
GO_VENTRAL_SPINAL_CORD_INTERNEURON_DIFFERENTIATION	0.6862344642980029			
GAGCCTG_MIR484	0.6862330698754594			
GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME	0.6860069057491005			
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	0.6859086257660293			
IPA_GLI3_DN	0.6858146783370027			
GO_REGULATION_OF_CIRCADIAN_RHYTHM	0.6855890110157677			
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.6855883291965522			
GO_REGULATION_OF_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	0.685531266803888			
GO_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION	0.685370361427273			
BENPORATH_ES_1	0.6851063980660121			
REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER	0.6846061410729201			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	0.6845664190252416			
E2F_Q4_01	0.6844902967538709			
GO_NEURON_PROJECTION_TERMINUS	0.6844051779849041			
PAX3_01	0.6843301538027811			
REACTOME_ADRENOCEPTORS	0.6840755857712473			
MUELLER_PLURINET	0.68363756125661			
MIR6803_5P	0.6834565437008857			
GO_SPERMATID_NUCLEUS_DIFFERENTIATION	0.6833359239404679			
GO_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.6832673248236429			
LEF1_Q6	0.6830160821496332			
GO_OLFACTORY_BULB_INTERNEURON_DEVELOPMENT	0.6829929144169193			
GO_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY	0.6826209496073409			
GO_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX	0.6826209496073409			
MIR4722_5P	0.6826120171201466			
REACTOME_G0_AND_EARLY_G1	0.6824720374127136			
GO_MEIOTIC_CHROMOSOME_SEPARATION	0.6820535423171321			
KEGG_BASE_EXCISION_REPAIR	0.6820433866313194			
MEISSNER_NPC_HCP_WITH_H3K27ME3	0.6815590800650602			
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	0.6814412701074636			
GO_MITRAL_VALVE_DEVELOPMENT	0.6811280970716392			
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	0.6809974458682352			
IPA_TCF7_UP	0.680520119664585			
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND	0.680170357087436			
GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	0.6801027148029449			
GO_AU_RICH_ELEMENT_BINDING	0.6800767531570422			
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.6793254584623314			
RIGGI_EWING_SARCOMA_PROGENITOR_UP	0.6789700883547689			
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.6789471664021113			
KALMA_E2F1_TARGETS	0.6789424921988751			
GO_CELL_CYCLE_PHASE_TRANSITION	0.6787994701460712			
GO_LIM_DOMAIN_BINDING	0.6786951411890683			
GO_REGULATION_OF_HISTONE_MODIFICATION	0.6786187846053499			
GO_ELASTIC_FIBER_ASSEMBLY	0.6785791521604827			
GO_RNA_POLYMERASE_III_PREINITIATION_COMPLEX_ASSEMBLY	0.678549741125119			
IPA_EBF1_DN	0.6785448240588442			
GO_CELL_BODY_FIBER	0.6785131514756954			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.6784894164996119			
GO_SPINAL_CORD_DEVELOPMENT	0.6783216436258075			
GO_GPI_LINKED_EPHRIN_RECEPTOR_ACTIVITY	0.6782144741123903			
GO_MITOTIC_DNA_REPLICATION	0.6775321962459657			
GO_NUCLEAR_CHROMOSOME_SEGREGATION	0.6773230138868558			
GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.6772081822512604			
GO_SKELETAL_MUSCLE_SATELLITE_CELL_MAINTENANCE_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	0.677183893404759			
GO_CARDIAC_CHAMBER_FORMATION	0.6771029090910964			
GGAMTNNNNNTCCY_UNKNOWN	0.6767957086128251			
PUJANA_BRCA_CENTERED_NETWORK	0.6767745936305799			
GO_CELL_CYCLE_PROCESS	0.6766675561530122			
GO_SYNAPTIC_MEMBRANE_ADHESION	0.6766504735380352			
BENPORATH_PRC2_TARGETS	0.6766455445919883			
GO_ISWI_TYPE_COMPLEX	0.6763215282868711			
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.6762902081786328			
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	0.6760526260703241			
GO_RNA_POLYMERASE_III_TYPE_3_PROMOTER_DNA_BINDING	0.676034205213897			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.6759828691260337			
GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	0.6755460891413533			
chr12q12	0.6755040730511639			
GO_EXON_EXON_JUNCTION_COMPLEX	0.6750584275153046			
IPA_CBX2_UP	0.6749770341843639			
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION	0.6746676948976452			
IPA_PRDM8_DN	0.674496172956786			
GGTGAAG_MIR412	0.6744185878659349			
GO_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	0.6741948003840411			
GO_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	0.6740781227520919			
GO_METAPHASE_PLATE_CONGRESSION	0.6740159662934743			
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0.6738851242379433			
GO_NUCLEAR_TRANSPORT	0.6736767047252881			
MIR553	0.6736538563458749			
IPA_TFDP2_UP	0.6736083900689355			
GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_UP	0.6734823740822024			
GO_MICROTUBULE_SEVERING	0.673413573918631			
IPA_DLX3_UP	0.6731093810799894			
GGCGGCA_MIR371	0.67307669195144			
IPA_HOXD8_DN	0.6726049514914837			
YNTTTNNNANGCARM_UNKNOWN	0.6723754937255112			
MEINHOLD_OVARIAN_CANCER_LOW_GRADE_DN	0.6720909719634222			
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	0.6718488636683598			
GO_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS	0.6717271556858111			
GO_HEART_VALVE_DEVELOPMENT	0.6716128039369058			
GO_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.6716036221445851			
E2F1DP1RB_01	0.6715842107275969			
GO_POSITIVE_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY	0.6715322349411462			
GO_DIENCEPHALON_DEVELOPMENT	0.6713738105800399			
GO_BONE_MINERALIZATION_INVOLVED_IN_BONE_MATURATION	0.6713618964938904			
GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP	0.6712386023598397			
TCCATTKW_UNKNOWN	0.6712185146042949			
SCHWAB_TARGETS_OF_BMYB_POLYMORPHIC_VARIANTS_UP	0.6711890037488812			
