	Score	0.95 MoE	P-Value	Q-Value
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.4155885199670799			
GO_ADP_RIBOSYLATION_FACTOR_BINDING	0.41170439438801126			
REACTOME_TRNA_MODIFICATION_IN_THE_MITOCHONDRION	0.41126321654930503			
GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_UP	0.40704269700307594			
GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	0.4019918224817599			
IPA_HIST1H1T_UP	0.3992704798482461			
MIR4638_5P	0.39355979049250833			
MIR11400	0.39274360413073583			
GO_ACYL_CARNITINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3927177909939942			
GO_ACYL_CARNITINE_TRANSPORT	0.3927177909939942			
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP	0.3919478263521737			
GSE10325_BCELL_VS_LUPUS_BCELL_UP	0.3819374290988883			
AUNG_GASTRIC_CANCER	0.38152416362118147			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.38056250869376096			
GO_MITOCHONDRIAL_RNA_MODIFICATION	0.37995681647286006			
GO_HISTONE_H4_K5_ACETYLATION	0.3795258124884892			
MADAN_DPPA4_TARGETS	0.3791708804401217			
GO_CARBOHYDRATE_MEDIATED_SIGNALING	0.37911752213599187			
JISON_SICKLE_CELL_DISEASE_DN	0.3781633378993632			
IPA_CIITA_DN	0.37709744073832413			
GSE17721_0.5H_VS_12H_LPS_BMDC_UP	0.37669611571412065			
GO_CHROMATIN_REMODELING	0.3761617162070129			
GO_EXON_EXON_JUNCTION_COMPLEX	0.37548970886847227			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.37521436701289196			
GSE14308_TH1_VS_NAIVE_CD4_TCELL_DN	0.3752069018553386			
GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP	0.37463771284264347			
GO_NORADRENERGIC_NEURON_DIFFERENTIATION	0.3745269463308101			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.37379293889042126			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP	0.37233853216162266			
