	Score	0.95 MoE	P-Value	Q-Value
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.7984701481278382			
GO_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.7974546971484742			
GO_PROTEIN_GERANYLGERANYLATION	0.786203752816195			
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.785388483068255			
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	0.7835771243414363			
DAIRKEE_CANCER_PRONE_RESPONSE_BPA	0.7811403449380534			
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	0.7784134592219638			
GO_MUSCLE_FIBER_DEVELOPMENT	0.7662645113937512			
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.7647151409331584			
IPA_ISL1_DN	0.7622185535842411			
GO_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_FIBER_DEVELOPMENT	0.7608012859961553			
IPA_MYOG_UP	0.7596121047380195			
GO_SKELETAL_MUSCLE_ADAPTATION	0.759436260707695			
HALLMARK_MYOGENESIS	0.7585244114522551			
TAAWWATAG_RSRFC4_Q2	0.7553804192295415			
GO_MUSCLE_SYSTEM_PROCESS	0.7553109102239077			
GO_ACTIN_MEDIATED_CELL_CONTRACTION	0.7551726853992348			
GO_MUSCLE_CONTRACTION	0.7550293897033046			
GO_ACETYLCHOLINE_BINDING	0.7548154831134151			
KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	0.7544542883051218			
GO_ACTIN_FILAMENT_BASED_MOVEMENT	0.7540119768001268			
IPA_MEF2C_UP	0.7533819922632178			
REACTOME_MUSCLE_CONTRACTION	0.7531545865548301			
GO_MYOFILAMENT	0.7529827985001052			
GO_SARCOMERE_ORGANIZATION	0.7525121567770674			
GO_MYOFIBRIL_ASSEMBLY	0.7521079081803138			
GO_MUSCLE_CELL_DIFFERENTIATION	0.7519936628388243			
GO_CONTRACTILE_FIBER	0.7513537235127895			
DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2	0.7512669791890996			
GO_CARDIAC_MYOFIBRIL_ASSEMBLY	0.7512145122022842			
RICKMAN_HEAD_AND_NECK_CANCER_F	0.7510978333316164			
GO_NEGATIVE_REGULATION_OF_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP	0.7507426350400218			
GO_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT	0.7502142748490569			
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.7500424568004416			
GO_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION	0.7494668591027426			
GO_MUSCLE_STRUCTURE_DEVELOPMENT	0.748941179415924			
GO_MUSCLE_CELL_DEVELOPMENT	0.7486682740556665			
GO_RESPONSE_TO_MUSCLE_INACTIVITY	0.7485620733352436			
GO_CARDIAC_CELL_DEVELOPMENT	0.7485217914304929			
IPA_GTF2IRD1_DN	0.7482975046325137			
IPA_POU4F1_DN	0.7476882526394187			
GO_PROXIMAL_TUBULE_DEVELOPMENT	0.7475053059004222			
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	0.7471586783133283			
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	0.7471044567542402			
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	0.7465005248068814			
GO_SKELETAL_MUSCLE_CELL_PROLIFERATION	0.7463954779001815			
GO_HEART_PROCESS	0.7463317971013376			
REACTOME_MYOGENESIS	0.7462681312131035			
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_REGENERATION	0.7462224859409495			
GO_TRANSITION_BETWEEN_FAST_AND_SLOW_FIBER	0.7462141884347209			
GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION	0.7461544598990629			
GO_SKELETAL_MYOFIBRIL_ASSEMBLY	0.74608435231697			
GO_REGULATION_OF_MUSCLE_ADAPTATION	0.7447914260145359			
IPA_MED1_DN	0.7445299505884296			
GO_NEUROMUSCULAR_JUNCTION	0.7435412973100867			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.7430060606961976			
MEF2_Q6_01	0.7427671412105915			
E2A_Q2	0.7425801162711364			
GO_MUSCLE_FILAMENT_SLIDING	0.7422984583154556			
