	Score	0.95 MoE	P-Value	Q-Value
GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP	0.613186712820461			
DER_IFN_ALPHA_RESPONSE_UP	0.5995876513860461			
GSE42021_TREG_VS_TCONV_PLN_UP	0.597189375588459			
DER_IFN_BETA_RESPONSE_UP	0.5968412147382407			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.593979940633909			
GSE9960_HEALTHY_VS_GRAM_POS_SEPSIS_PBMC_DN	0.5926708468615154			
GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.5921855708354548			
GSE10325_BCELL_VS_LUPUS_BCELL_DN	0.5912571608461261			
GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.5901374743095451			
GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.5898396987532626			
GSE14000_UNSTIM_VS_4H_LPS_DC_DN	0.5893232251659658			
DER_IFN_GAMMA_RESPONSE_UP	0.5889631051121633			
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	0.5887977268020016			
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	0.5862416888607418			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	0.5851848453420364			
GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP	0.5841759955186906			
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	0.5827866323392696			
IPA_NFATC2_UP	0.5819352628441985			
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	0.5814462761730376			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	0.5814053369639393			
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	0.5808025668034129			
GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP	0.5795205606372691			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN	0.5789924602025749			
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	0.5783122691292566			
GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_UP	0.5775952806654635			
SANA_TNF_SIGNALING_UP	0.5770430617234235			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_DN	0.5768088087513512			
