	Score	0.95 MoE	P-Value	Q-Value
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	0.3544145466378415			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0.3528105159097822			
SP1_Q6_01	0.3458554646268279			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3440462258886954			
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	0.3402249072862474			
GO_ACTION_POTENTIAL	0.3391049805929195			
GO_REGULATION_OF_ACTION_POTENTIAL	0.338924311304304			
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP	0.3388260594743702			
DELPUECH_FOXO3_TARGETS_DN	0.33807849511222593			
GO_MITOTIC_SPINDLE_ORGANIZATION	0.33682559615915897			
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	0.3364964061691733			
GO_STEREOCILIUM_MEMBRANE	0.3361880810344628			
GO_ACTIN_FILAMENT_BASED_TRANSPORT	0.3360157439940122			
MIR381_3P	0.3342358969589293			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.33395970911133227			
GO_MICROTUBULE_PLUS_END_BINDING	0.3320029389409797			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3319301934440097			
GO_SENSORY_ORGAN_MORPHOGENESIS	0.3317092399780098			
MIR300	0.3310173418748595			
GO_TRANSMEMBRANE_EPHRIN_RECEPTOR_ACTIVITY	0.3308626173570962			
GO_EAR_MORPHOGENESIS	0.3290876821830443			
MIR889_3P	0.32785319763795345			
GO_BETA_CATENIN_BINDING	0.32745154231530543			
FISCHER_G2_M_CELL_CYCLE	0.32709337850768155			
GO_SPINDLE_ASSEMBLY_INVOLVED_IN_MEIOSIS	0.3270079771857429			
GO_EAR_DEVELOPMENT	0.3269198059163749			
GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY	0.3269100561845719			
GO_MICROTUBULE_END	0.3258550583480232			
GO_APPENDAGE_DEVELOPMENT	0.3257028805192691			
GO_EPITHELIAL_CELL_CELL_ADHESION	0.3256098095270386			
GO_PLACENTA_BLOOD_VESSEL_DEVELOPMENT	0.32521484515540594			
GO_INTERCALATED_DISC	0.3247921781637282			
KRASNOSELSKAYA_ILF3_TARGETS_DN	0.32471448893360766			
MIR676_3P	0.3241539448436638			
GO_CELL_CELL_CONTACT_ZONE	0.32409577172380744			
GO_NEUROTROPHIN_BINDING	0.32383947027941695			
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	0.32374338098309485			
MIR143_5P	0.3234548278478522			
HOELZEL_NF1_TARGETS_UP	0.32315093014248714			
GO_CLATHRIN_HEAVY_CHAIN_BINDING	0.32314295803400606			
GO_CARDIAC_MUSCLE_CONTRACTION	0.32314021168375834			
MIR6876_5P	0.32280418375250997			
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	0.3223998289170683			
GO_ACTIN_FILAMENT_BASED_MOVEMENT	0.32223351985941284			
MIR874_5P	0.32112525716672397			
GO_ENDOPLASMIC_RETICULUM_ORGANIZATION	0.3210918273684423			
GO_MOTOR_ACTIVITY	0.3204205598808027			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.320386423608694			
MIR3198	0.31964686562784445			
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3189365023636091			
GO_REGULATION_OF_SPINDLE_ORGANIZATION	0.31890578849327184			
MT	0.3183638353949574			
GO_APPENDAGE_MORPHOGENESIS	0.31830938891584826			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.3179344301181467			
MIR4705	0.31785684022140653			
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.3178379243910317			
PETROVA_PROX1_TARGETS_UP	0.3178250720490089			
IPA_E2F8_DN	0.3172056517705915			
MIR298	0.31685895946144177			
GO_VESICLE_TRANSPORT_ALONG_ACTIN_FILAMENT	0.3167353517754641			
chr15q23	0.31667981699551057			
MIR515_3P	0.3165573469939042			
