	Score	0.95 MoE	P-Value	Q-Value
GO_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.7424452829822794			
GO_CELLULAR_ANION_HOMEOSTASIS	0.7182753506065569			
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	0.7100688097147183			
GO_PROTEIN_ACTIVATION_CASCADE	0.7099512347609385			
REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS	0.7082976559831666			
GO_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.7016271325952083			
GO_MIRNA_BINDING	0.7006236345567133			
BENPORATH_ES_2	0.6943674644123023			
IPA_RXRG_UP	0.6902711324007866			
GO_REGULATION_OF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.6892016826188072			
JAK2_DN.V1_UP	0.6876206836787004			
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_DN	0.6859350814326989			
GO_VITAMIN_TRANSPORT	0.6854445678862547			
BIOCARTA_EXTRINSIC_PATHWAY	0.6848161748932668			
GO_L_PHENYLALANINE_METABOLIC_PROCESS	0.6846429944185026			
GO_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	0.6845567481781906			
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	0.6833902592003894			
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.6819331275288363			
GO_LIPOPROTEIN_CATABOLIC_PROCESS	0.6814185846989276			
GO_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	0.6810932489479669			
HNRNPUL1_TARGET_GENES	0.6803753695554824			
IPA_RFX3_UP	0.6802838840782188			
GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	0.6798399387778962			
GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	0.6792077036215829			
GO_TRIGLYCERIDE_CATABOLIC_PROCESS	0.6791759662512444			
PID_HNF3B_PATHWAY	0.678964665187676			
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.6788680957520218			
GO_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.6786728631346848			
HNF1A_TARGET_GENES	0.678452993547245			
GO_LIPID_DIGESTION	0.6770019089096934			
REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM	0.6767065984346553			
SU_LIVER	0.6763285486392261			
GO_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	0.675928357016861			
GO_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS	0.6758257407765977			
GO_PYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	0.6756291418284813			
GO_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.6748356896584446			
ACEVEDO_LIVER_CANCER_DN	0.6748064212863317			
REACTOME_CHYLOMICRON_CLEARANCE	0.6746797606027661			
COUP_01	0.6743078655948943			
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.6734044812630088			
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS	0.6720709325359817			
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	0.6718888169974001			
GO_DEHYDROASCORBIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.671714784415472			
GO_DEHYDROASCORBIC_ACID_TRANSPORT	0.671714784415472			
GO_HORMONE_ACTIVITY	0.6710660639475179			
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	0.6703094982811337			
