	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_FEEDING_BEHAVIOR	0.41085448332901037			
GO_RESPONSE_TO_L_ASCORBIC_ACID	0.40665649639843576			
GO_CELLULAR_RESPONSE_TO_GROWTH_HORMONE_STIMULUS	0.40398856676685924			
GO_CARDIOLIPIN_METABOLIC_PROCESS	0.3980370681801285			
GO_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	0.39795704769711154			
GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	0.39289242282358167			
FUNG_IL2_SIGNALING_1	0.39052319049929973			
GO_PROTEIN_ADP_RIBOSYLASE_ACTIVITY	0.38740410999846764			
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_CELLULAR_PROTEIN_CATABOLIC_PROCESS	0.3869376226955416			
IPA_MBD2_DN	0.38641335762655865			
MULLIGHAN_MLL_SIGNATURE_2_DN	0.38458494094160656			
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_CHEMOTAXIS	0.3836463447413537			
GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_UP	0.38295617874269056			
GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_UP	0.3817238055434776			
GO_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	0.3805366750338192			
GO_RESPONSE_TO_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR	0.38046142425453744			
GO_BETA_2_MICROGLOBULIN_BINDING	0.37889861883730525			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_SECRETION	0.37845695522911266			
GSE12366_GC_VS_NAIVE_BCELL_DN	0.37754523676212626			
GSE27786_CD4_TCELL_VS_NKCELL_DN	0.3771543376389068			
GO_NEGATIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	0.3747800267348849			
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_48H_CD8_T_CELL_DN	0.3741741286131028			
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	0.37337256807905583			
GO_TYPE_I_INTERFERON_PRODUCTION	0.373308165152619			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	0.371732799466314			
GO_MYELOID_CELL_HOMEOSTASIS	0.3708013929541891			
GO_NEUTROPHIL_MEDIATED_KILLING_OF_SYMBIONT_CELL	0.370528783043787			
GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP	0.37001546151739334			
PKCA_DN.V1_DN	0.3697254418228623			
IPA_TRIM24_DN	0.3692488724275607			
GO_INTERLEUKIN_6_BIOSYNTHETIC_PROCESS	0.3692346450553561			
GO_COMMON_MYELOID_PROGENITOR_CELL_PROLIFERATION	0.3687518304550306			
GO_INTERFERON_BETA_PRODUCTION	0.36825135855888064			
GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_DN	0.3681234546033121			
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	0.3680284075093732			
GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.367727581395707			
GO_TOLERANCE_INDUCTION	0.3674955084664215			
GO_NEGATIVE_REGULATION_OF_JUN_KINASE_ACTIVITY	0.3670625997041642			
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP	0.36695296567947466			
GO_NEGATIVE_REGULATION_OF_FEEDING_BEHAVIOR	0.3661802384817354			
XU_RESPONSE_TO_TRETINOIN_AND_NSC682994_UP	0.36580753839673097			
GO_DENDRITIC_CELL_DIFFERENTIATION	0.3657369833366302			
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	0.365273262216479			
ZNF318_TARGET_GENES	0.3644684167490964			
GO_CD8_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	0.36426211724281243			
GSE37301_PRO_BCELL_VS_RAG2_KO_NK_CELL_DN	0.3641404988747084			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	0.3640435940800562			
ROSS_LEUKEMIA_WITH_MLL_FUSIONS	0.3636891496506879			
IPA_MAP3K7_UP	0.3633105101118811			
