	Score	0.95 MoE	P-Value	Q-Value
chr6p25	0.4592865336365815			
MIR920	0.38128208256813706			
REACTOME_DARPP_32_EVENTS	0.37796939366844035			
MIR5011_3P	0.3667526413843102			
GO_SKELETAL_MUSCLE_CELL_PROLIFERATION	0.36615338435282724			
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.3661347977702523			
MIR5591_5P	0.36196958668026247			
MIR7158_3P	0.3619050531302671			
GO_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	0.36027433618284666			
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	0.3576029924994195			
MIR514A_5P	0.35627589002054116			
MIR4522	0.3544920377305247			
MIR6726_5P	0.3535693493094995			
GO_OXALATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3533518979947476			
MIR28_3P	0.3533472368555879			
GO_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.35295487292090466			
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION	0.35288914245676395			
GO_MEIOTIC_CYTOKINESIS	0.35271260954534506			
MIR7160_3P	0.35027291452576054			
MIR4300	0.3498051593929237			
IPA_ZBTB17_DN	0.3494396050125509			
IPA_ZBTB17_UP	0.3494396050125509			
REACTOME_SIGNAL_AMPLIFICATION	0.3478050484070109			
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC	0.34764317435823355			
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.34671796116370845			
MIR491_3P	0.34670242517190936			
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS	0.34646109332934877			
GO_SAGA_COMPLEX	0.34600626417332553			
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.3456202308361598			
IPA_KAT2B_DN	0.34534545563425495			
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.34488100111534625			
GO_POSITIVE_REGULATION_OF_DEACETYLASE_ACTIVITY	0.34485252795979043			
GO_SKELETAL_MUSCLE_SATELLITE_CELL_PROLIFERATION	0.3446842086034719			
REACTOME_G_PROTEIN_ACTIVATION	0.34439023776554106			
MIR584_5P	0.3439852561028302			
GO_OXALATE_TRANSPORT	0.3430792331713595			
GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	0.34247152644581097			
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.3406420757071203			
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42	0.34039287636282534			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	0.3402997430958995			
GO_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION	0.3399593879442151			
IPA_CTBP2_UP	0.3395812296841763			
MIR1229_5P	0.3392867564868975			
GO_SULFATE_TRANSPORT	0.339140971241047			
REACTOME_TRP_CHANNELS	0.3374915314519954			
VANDESLUIS_NORMAL_EMBRYOS_DN	0.3373110176472241			
GO_CORTICOTROPIN_SECRETION	0.3372856454417904			
MIR139_5P	0.33713045161579636			
MIR6500_3P	0.3367465998065701			
GO_PHOSPHATIDYLINOSITOL_MONOPHOSPHATE_PHOSPHATASE_ACTIVITY	0.33636428969374454			
