	Score	0.95 MoE	P-Value	Q-Value
REACTOME_RUNX3_REGULATES_BCL2L11_BIM_TRANSCRIPTION	0.6867420087845727			
GO_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.5646427087494066			
GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	0.5431457690502183			
GO_INTERLEUKIN_10_BIOSYNTHETIC_PROCESS	0.5378282504669638			
MIR3150B_3P	0.524135611457225			
YTCCCRNNAGGY_UNKNOWN	0.5227619201944351			
REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION	0.5216115786062991			
MIR4784	0.5165587938507239			
GO_REGULATION_OF_CELL_MATURATION	0.5161408417198811			
IPA_YBX1_DN	0.5132445631486192			
IPA_SUB1_DN	0.5132445631486192			
IPA_IRF5_DN	0.5132445631486192			
GO_ACTIN_CORTICAL_PATCH_LOCALIZATION	0.5103661410021023			
GO_REGULATION_OF_NEURON_MATURATION	0.5092398002081514			
BIOCARTA_SRCRPTP_PATHWAY	0.5090576194362761			
KASLER_HDAC7_TARGETS_1_UP	0.5088234765871825			
GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP	0.4966251465920787			
GSE37301_MULTIPOTENT_PROGENITOR_VS_COMMON_LYMPHOID_PROGENITOR_UP	0.4963371337911488			
BIOCARTA_IGF1MTOR_PATHWAY	0.49531956231320734			
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS	0.4939621091408856			
GO_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	0.4882103955941669			
BROWNE_HCMV_INFECTION_14HR_UP	0.48811137258276804			
GO_ENDOCYTIC_PATCH	0.4874151875981295			
GO_MEMBRANE_DISASSEMBLY	0.48687742869119366			
GTTRYCATRR_UNKNOWN	0.48391125255830825			
MIR7845_5P	0.4828505820600813			
IPA_BCL6_UP	0.48276647276693613			
SU_THYMUS	0.4824325645179488			
MIR4632_5P	0.48112887221351835			
REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION	0.4810376717321508			
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_16H_DN	0.4794958086383515			
MIR7843_5P	0.47940694773889575			
GO_POSITIVE_REGULATION_OF_GLUTAMATE_SECRETION	0.4783754646755495			
SRSF9_TARGET_GENES	0.4776247796474775			
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_UP	0.4769747197107974			
GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_DN	0.4759753516530105			
IPA_IRF4_UP	0.475263590958469			
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	0.47460020252427565			
GO_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.47434219803024125			
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.4741665691656101			
GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT	0.4727993081473668			
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	0.470617967573185			
MIR2114_3P	0.47046328141845706			
GO_PROTON_EXPORTING_ATPASE_ACTIVITY_PHOSPHORYLATIVE_MECHANISM	0.4699564788504603			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_B_UP	0.4696427140560967			
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.46906435248645517			
GSE21033_1H_VS_24H_POLYIC_STIM_DC_UP	0.468183215349336			
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP	0.4677340706221523			
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.4667825156884499			
GSE7852_THYMUS_VS_FAT_TREG_UP	0.4666539328690158			
GSE2826_XID_VS_BTK_KO_BCELL_UP	0.4665075866162282			
GO_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.4664019225270372			
GO_SERINE_TRANSPORT	0.4660352985071546			
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	0.46594160111657773			
IPA_TBX21_UP	0.46592246413949406			
GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_DN	0.4654360372295452			
TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN	0.464951149689692			
IPA_SPIC_DN	0.4640573682548757			
MIR6879_5P	0.4638870905185465			
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.46332149480419743			
GSE35435_RESTING_VS_IL4_TREATED_MACROPHAGE_UP	0.4631399953669455			
GO_PROTEIN_PROCESSING_INVOLVED_IN_PROTEIN_TARGETING_TO_MITOCHONDRION	0.46308316479077893			
GO_PROLINE_TRANSPORT	0.4630080452389413			
ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_DN	0.4616811883130947			
GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_DN	0.4607768782115067			
RNTCANNRNNYNATTW_UNKNOWN	0.4605458169161548			
GO_REGULATION_OF_LYSOSOMAL_LUMEN_PH	0.45980532277234387			
REACTOME_RUNX3_REGULATES_P14_ARF	0.4597696708325837			
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	0.45917963512647436			
GSE7764_NKCELL_VS_SPLENOCYTE_DN	0.459177495410814			
MIR516A_3P_MIR516B_3P	0.45863648731968887			
IPA_TBX2_DN	0.45843971477791134			
GO_RETINAL_ROD_CELL_DEVELOPMENT	0.4583833847873804			
GO_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	0.45819917714948744			
IPA_MITF_DN	0.45810695424361564			
ACTWSNACTNY_UNKNOWN	0.45808807766960846			
GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_UP	0.4580716646783988			
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	0.45797657057398566			
MIR2682_5P	0.4578446234455952			
GSE7459_UNTREATED_VS_IL6_TREATED_ACT_CD4_TCELL_UP	0.45784436307218085			
GO_SIN3_COMPLEX	0.45633511777998725			
GO_NUCLEAR_NUCLEOSOME	0.4563202775170654			
MATZUK_SPERMATOCYTE	0.45591631483105605			
GSE17721_LPS_VS_CPG_0.5H_BMDC_UP	0.4558685523398698			
BIOCARTA_CHEMICAL_PATHWAY	0.45583672470299486			
GSE23321_CD8_STEM_CELL_MEMORY_VS_EFFECTOR_MEMORY_CD8_TCELL_UP	0.4558282318076987			
MIR4436B_3P	0.45527043014962465			
HELLER_HDAC_TARGETS_DN	0.45438799648077355			
MIR4483	0.4542256608927546			
GO_SUMO_BINDING	0.4532220350145436			
MIR7162_5P	0.45278373950936496			
MIR1913	0.4516519765588533			
GSE21379_TFH_VS_NON_TFH_CD4_TCELL_UP	0.45119332500703085			
GO_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	0.4509489254980873			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_DN	0.45051810509690676			
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	0.45044935024005706			
GO_BASAL_TRANSCRIPTION_MACHINERY_BINDING	0.45033337292302156			
GO_MITOTIC_NUCLEAR_ENVELOPE_DISASSEMBLY	0.4498754937014735			
GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	0.44976809297930925			
GSE13306_TREG_VS_TCONV_DN	0.44932075822674966			
GSE36009_UNSTIM_VS_LPS_STIM_NLRP10_KO_DC_DN	0.4493108272938542			
MIR6735_5P	0.448219253653792			
GSE40655_FOXO1_KO_VS_WT_NTREG_UP	0.4480904164193039			
GO_L_SERINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.44801761652100985			
GO_L_SERINE_TRANSPORT	0.44801761652100985			
GO_NAD_P_H_OXIDASE_ACTIVITY	0.4479573080285598			
MORI_SMALL_PRE_BII_LYMPHOCYTE_UP	0.4479047013210012			
GSE6269_HEALTHY_VS_E_COLI_INF_PBMC_UP	0.44776211650935144			
GO_MITOCHONDRION_DISTRIBUTION	0.44773194473888733			
GSE369_SOCS3_KO_VS_WT_LIVER_DN	0.44742272447121934			
MIR3651	0.4473211126448463			
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.4472784746057642			
GO_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	0.447189781930609			
BIOCARTA_ERBB4_PATHWAY	0.44714347017181044			
MIR4786_5P	0.44647794268423113			
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	0.44600393678561717			
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	0.44555569253774413			
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP	0.44548569052415954			
GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN	0.44544303505117994			
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	0.4454092405930755			
BIOCARTA_ARF_PATHWAY	0.4453245779523863			
GO_L_PROLINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.44524718906651			
GO_PROLINE_TRANSMEMBRANE_TRANSPORT	0.44524718906651			
MIR125B_5P	0.445006653348721			
GSE25087_FETAL_VS_ADULT_TREG_DN	0.44453192832902605			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.44407585965006624			
GO_NEGATIVE_REGULATION_OF_INTERFERON_ALPHA_PRODUCTION	0.4435415023556794			
MIR3159	0.4434943024264002			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.4426764407662951			
WRNIP1_TARGET_GENES	0.4425739006207303			
MIR125A_5P	0.4425544354904186			
BIOCARTA_CREM_PATHWAY	0.44245861838613104			
DCA_UP.V1_DN	0.44224049471406435			
MIR6732_5P	0.44218143582710717			
BIOCARTA_EIF4_PATHWAY	0.4420847874022055			
GSE7460_TREG_VS_TCONV_ACT_DN	0.441244433104212			
GSE17301_CTRL_VS_48H_ACD3_ACD28_STIM_CD8_TCELL_UP	0.4409632380247845			
MIR486_3P	0.44090649107845337			
PID_LPA4_PATHWAY	0.44062138814167195			
GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_DN	0.44056304999520446			
GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_DN	0.44049197842321075			
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP	0.4404713710656596			
GSE17721_POLYIC_VS_CPG_2H_BMDC_UP	0.4404288642956586			
GO_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	0.4403559823677507			
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	0.4400351508188607			
WINTER_HYPOXIA_DN	0.43999137379619907			
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	0.4399051890094986			
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	0.43983158461001315			
GSE16385_IFNG_TNF_VS_UNSTIM_MACROPHAGE_ROSIGLITAZONE_TREATED_DN	0.4396999943548645			
GSE10422_WT_VS_BAFF_TRANSGENIC_LN_BCELL_UP	0.43966319852291313			
GO_NEGATIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	0.4396506623048863			
GRESHOCK_CANCER_COPY_NUMBER_UP	0.4395918030046923			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12	0.43918904586799795			
NME2_TARGET_GENES	0.4391325535787189			
GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_DN	0.43905312491844617			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	0.43899623905129415			
AGCGCTT_MIR518F_MIR518E_MIR518A	0.4386577631508732			
GO_MITOCHONDRIAL_GENOME_MAINTENANCE	0.43829624473830087			
GO_REGULATION_OF_OOGENESIS	0.4382555109126189			
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION	0.43817539254808696			
MIR6077	0.43778890666578457			
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP	0.4377777868795906			
NIKOLSKY_BREAST_CANCER_19P13_AMPLICON	0.4374324144967998			
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	0.4370630032420215			
GSE6259_DEC205_POS_DC_VS_CD4_TCELL_DN	0.4369824336629147			
BIOCARTA_BARR_MAPK_PATHWAY	0.43689890361889416			
GRADE_COLON_AND_RECTAL_CANCER_DN	0.43685826299761704			
GO_MITOCHONDRIAL_DEPOLARIZATION	0.4362797065238596			
