	Score	0.95 MoE	P-Value	Q-Value
GO_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION	0.695418120841842			
CTNNB1_TARGET_GENES	0.6850153649806962			
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP	0.6847028180207987			
GO_EMBRYONIC_PATTERN_SPECIFICATION	0.671745412729029			
REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM	0.6660368848908382			
GO_NEGATIVE_REGULATION_OF_MEMBRANE_REPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.66473464741959			
IPA_HESX1_DN	0.6642183209316892			
REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL	0.6618384938333236			
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP	0.6573133038972971			
GO_EMBRYONIC_HINDLIMB_MORPHOGENESIS	0.6551330332624847			
WIEMANN_TELOMERE_SHORTENING_AND_CHRONIC_LIVER_DAMAGE_UP	0.6506411559234597			
GO_REGULATION_OF_PROSTATIC_BUD_FORMATION	0.6502990977913521			
TESAR_ALK_TARGETS_HUMAN_ES_4D_DN	0.6488852232088897			
GO_IMMATURE_T_CELL_PROLIFERATION_IN_THYMUS	0.6470660591229404			
GO_REGULATION_OF_NODAL_SIGNALING_PATHWAY	0.6436126977336722			
GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_UP	0.6434859296738834			
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	0.6419608831103815			
GO_FORMATION_OF_ANATOMICAL_BOUNDARY	0.640278029162985			
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING	0.6402095726235749			
GO_TUBE_LUMEN_CAVITATION	0.6370698621850177			
IPA_NR2F2_DN	0.6356671106898436			
TCF7_TARGET_GENES	0.6348559767029343			
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP	0.6308982048393557			
GO_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	0.6307727424479859			
SANSOM_APC_TARGETS	0.6296595215487865			
IPA_SIM2_UP	0.6282179285233973			
REACTOME_SIGNALING_BY_FGFR	0.6235054753016278			
MIKKELSEN_PLURIPOTENT_STATE_UP	0.6216642095427262			
GO_NODAL_SIGNALING_PATHWAY	0.6216438828377023			
GO_REGULATION_OF_NODAL_SIGNALING_PATHWAY_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY	0.6213437908229263			
REACTOME_PI_3K_CASCADE_FGFR4	0.6213402723137449			
GO_BLASTODERM_SEGMENTATION	0.6211169843593001			
IPA_CLOCK_UP	0.620310541574371			
LIU_CDX2_TARGETS_UP	0.6192209447766579			
BCAT.100_UP.V1_UP	0.6191111590918629			
GO_AXIS_SPECIFICATION	0.6189645113052811			
MIR6717_5P	0.6178199040820846			
GO_TRACHEA_MORPHOGENESIS	0.6171883206376748			
GO_HINDLIMB_MORPHOGENESIS	0.617160499804822			
GO_EPITHELIAL_MESENCHYMAL_CELL_SIGNALING	0.6160894736378157			
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	0.6155874133752374			
GO_REGULATION_OF_SOMITOGENESIS	0.6155175450846782			
SUMI_HNF4A_TARGETS	0.6154053051631424			
GO_SINGLE_FERTILIZATION	0.6151993895571468			
LEE_LIVER_CANCER_DENA_DN	0.6151618647277238			
IPA_PPARA_DN	0.615104839326206			
GO_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.6141087187119098			
IPA_NR0B2_UP	0.6125030190314827			
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	0.6116363369083767			
GO_LUNG_ASSOCIATED_MESENCHYME_DEVELOPMENT	0.610800785916517			
TESAR_ALK_TARGETS_HUMAN_ES_5D_DN	0.6101271525523269			
GO_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	0.6098777660024274			
HNF4_01	0.608313554915413			
GO_IMMATURE_T_CELL_PROLIFERATION	0.6079396746894897			
GO_MAINTENANCE_OF_CELL_NUMBER	0.6077874267743831			
GO_ETHANOL_OXIDATION	0.6075766924628971			
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_DN	0.606472874265608			
HHEX_TARGET_GENES	0.6063574365736654			
IPA_ATF5_UP	0.6050331277021594			
IPA_ARNTL_UP	0.6044550159681565			
MIR4515	0.6035826815259729			
IPA_CDX2_DN	0.6033519722115046			
GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_UP	0.6031477972810695			
SANSOM_APC_TARGETS_UP	0.6028935232446615			
IPA_CREB3_UP	0.6025255366874769			
IPA_NR2F1_DN	0.5988430060178773			
GO_FERTILIZATION	0.5988130322993375			
IPA_NKX2-1_UP	0.5985755097578919			
GO_REGULATION_OF_BILE_ACID_BIOSYNTHETIC_PROCESS	0.598195391390921			
GO_NEUTRAL_LIPID_CATABOLIC_PROCESS	0.5971261181118063			
WANG_CLASSIC_ADIPOGENIC_TARGETS_OF_PPARG	0.5965627221212572			
GSE16385_ROSIGLITAZONE_IL4_VS_ROSIGLITAZONE_ALONE_STIM_MACROPHAGE_DN	0.5958279094276966			
IPA_ESRRA_UP	0.5957406898788987			
WOO_LIVER_CANCER_RECURRENCE_DN	0.5955427835743532			
GO_CELLULAR_LIPID_CATABOLIC_PROCESS	0.5954639379204653			
