	Score	0.95 MoE	P-Value	Q-Value
GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_CATALYTIC_CORE_F_1	0.3789131640663548			
ZNF101_TARGET_GENES	0.3780887382897215			
MARTENS_TRETINOIN_RESPONSE_DN	0.37578173058455805			
MYC_UP.V1_UP	0.37368354941738796			
GSE6259_DEC205_POS_DC_VS_CD4_TCELL_DN	0.36896552441830904			
GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	0.3636710679213465			
NPAT_TARGET_GENES	0.362909254745252			
HALLMARK_MYC_TARGETS_V2	0.36225777876540616			
GO_TRNA_MODIFICATION	0.3614385101623191			
GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_DN	0.36014845110115723			
GSE3982_BCELL_VS_BASOPHIL_UP	0.3592302438042099			
chr19p13	0.35914198072118464			
GO_NUCLEAR_TRANSCRIPTION_FACTOR_COMPLEX	0.35745855743737587			
RPA2_TARGET_GENES	0.3571377009981565			
REACTOME_TRNA_PROCESSING	0.3567274261570941			
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN	0.35560274426257077			
GO_MLL1_2_COMPLEX	0.3550882684790687			
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	0.354839466799276			
GO_TRNA_PROCESSING	0.35395092607910916			
GSE40274_CTRL_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.3537544727641763			
GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_ASSEMBLY	0.3534374096217405			
GSE21678_WT_VS_FOXO1_FOXO3_KO_TREG_DN	0.35311529922368523			
GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_UP	0.35248135719445256			
HOLLEMAN_DAUNORUBICIN_ALL_UP	0.352258979204032			
GO_RRNA_METABOLIC_PROCESS	0.3516075001142105			
GO_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_CATALYTIC_CORE_F_1	0.351504111049302			
REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION	0.35148688123763067			
MIR4469	0.35135802189696824			
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS	0.35081612891990877			
GO_SNORNA_BINDING	0.3507005501218257			
GO_DNA_HELICASE_COMPLEX	0.35062890223331866			
KLF14_TARGET_GENES	0.35014056200980803			
CIITA_TARGET_GENES	0.35010591949128667			
GSE16451_IMMATURE_VS_MATURE_NEURON_CELL_LINE_WEST_EQUINE_ENC_VIRUS_DN	0.34975891687615257			
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4HIGH_BCELL_UP	0.34969719115991577			
GO_TRNA_METABOLIC_PROCESS	0.34965240101148204			
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.34911624174997413			
GO_NUCLEOLUS	0.3491104707220674			
GO_TRNA_WOBBLE_BASE_MODIFICATION	0.348911750217916			
DANG_BOUND_BY_MYC	0.3486267469694994			
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	0.3484858369999442			
GO_ONE_CARBON_METABOLIC_PROCESS	0.3480007222668511			
