	Score	0.95 MoE	P-Value	Q-Value
GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_UP	0.4659312403466523			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_DN	0.45984643981394474			
GO_POSITIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	0.4578954070614608			
GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN	0.4544453868627528			
GAL_LEUKEMIC_STEM_CELL_DN	0.4542744079749467			
GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.4535260325751842			
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	0.4520313142532735			
GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN	0.44772126900000775			
OSMAN_BLADDER_CANCER_UP	0.4432032519246333			
BYSTROEM_CORRELATED_WITH_IL5_DN	0.44159363799541695			
GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.44156393441990377			
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP	0.44078914770829625			
GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_DN	0.4402775864059684			
GSE7768_OVA_ALONE_VS_OVA_WITH_LPS_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP	0.43890058552847944			
GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP	0.4388757241458353			
GENTLES_LEUKEMIC_STEM_CELL_DN	0.43851753651658704			
GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN	0.4366707222185289			
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.4363545852059121			
GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	0.4349281329067508			
GSE14350_TREG_VS_TEFF_UP	0.4341995797971063			
GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_DN	0.43406477004749067			
GSE28737_WT_VS_BCL6_HET_FOLLICULAR_BCELL_DN	0.433752967899272			
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.43290505029429627			
GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_UP	0.4321591728124744			
GSE22886_CTRL_VS_LPS_24H_DC_UP	0.4315893461630257			
GO_DETECTION_OF_OTHER_ORGANISM	0.4308738778236263			
GSE14000_UNSTIM_VS_16H_LPS_DC_UP	0.4303922784917427			
GO_MAST_CELL_ACTIVATION	0.4302383276064731			
GSE20366_TREG_VS_TCONV_DN	0.4294846284098495			
GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP	0.4293318511079049			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN	0.42895403611837385			
GSE3982_EOSINOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	0.428691733415304			
GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_DN	0.42826919400396224			
GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_DN	0.4279990470747461			
GO_NUCLEAR_PERICENTRIC_HETEROCHROMATIN	0.4275965242100754			
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	0.4274734433542704			
CHUNG_BLISTER_CYTOTOXICITY_DN	0.42627008427240193			
GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP	0.42581340550276314			
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	0.4249396745196672			
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_2	0.42442437058887494			
GSE15735_2H_VS_12H_HDAC_INHIBITOR_TREATED_CD4_TCELL_DN	0.42374133485688265			
GO_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	0.4237288223053777			
GO_REGULATION_OF_B_CELL_DIFFERENTIATION	0.42245215148996274			
GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_DN	0.4221861224444275			
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_DN	0.42174369723470756			
GSE37301_MULTIPOTENT_PROGENITOR_VS_CD4_TCELL_UP	0.42156667368797945			
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_DN	0.42155073652542274			
chr9p24	0.42097383392504445			
GSE3039_NKT_CELL_VS_B2_BCELL_UP	0.42088960210149656			
