	Score	0.95 MoE	P-Value	Q-Value
GTGGTGA_MIR197	0.45200068535274845			
MIR4644	0.4231355758249449			
CACGTTT_MIR302A	0.41009083424935705			
GO_NEURON_FATE_SPECIFICATION	0.40946463063735533			
MIR185_5P	0.40577145135753473			
MIR3692_5P	0.400566923082275			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_UP	0.39956250627096074			
PAX8_01	0.3973916800938937			
MIR6090	0.3910603678719665			
RYTGCNWTGGNR_UNKNOWN	0.39078735981137747			
GATTGGY_NFY_Q6_01	0.39069599518567655			
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.3890414420500515			
GO_PROTEIN_ACYLATION	0.3889849396047823			
MIR3922_5P	0.3881994409004714			
GO_H4_HISTONE_ACETYLTRANSFERASE_COMPLEX	0.38695850189065506			
ATGGYGGA_UNKNOWN	0.38534498015684204			
MIR5589_3P	0.38518400069064185			
MIR4764_5P	0.3813258440227448			
ZF5_B	0.3809098995753469			
ETF_Q6	0.37842645895069316			
CCAATNNSNNNGCG_UNKNOWN	0.3776816688041831			
GO_HISTONE_DEACETYLASE_COMPLEX	0.3773648614914836			
MIR216B_3P	0.3768854629590983			
E2F_Q6_01	0.3766941318887034			
GO_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	0.37602445534286866			
GSE31082_DP_VS_CD8_SP_THYMOCYTE_UP	0.3752110945574376			
GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	0.3738027348918317			
GO_PEPTIDYL_LYSINE_ACETYLATION	0.373756297021139			
E2F_03	0.3726810122353477			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.37216958127915184			
MIR449B_3P	0.3718820106747782			
GO_ISWI_TYPE_COMPLEX	0.37068484653776945			
TFIII_Q6	0.369427788489815			
GCANCTGNY_MYOD_Q6	0.36868767058122726			
GO_CEREBELLAR_PURKINJE_CELL_LAYER_MORPHOGENESIS	0.36759404348739383			
MIR6793_3P	0.3675774663973646			
E47_02	0.3675458878058436			
MIR214_5P	0.36731450273687			
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.36724542452323944			
GO_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	0.36655371391628094			
E2F_Q3	0.3656146124715338			
GO_METENCEPHALON_DEVELOPMENT	0.36537024622259584			
SOX5_01	0.3653448778716633			
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	0.3652684460231402			
IPA_E2F6_UP	0.36491210387006606			
GO_HISTONE_H4_ACETYLATION	0.36488200154628886			
GO_PROTEIN_ACETYLATION	0.3644762319772524			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.3641519544385656			
MIR4264	0.36406553206826486			
MIR4476	0.3639631633597622			
GCTGAGT_MIR5125P	0.3638031028438925			
MIR3914	0.361952491742003			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.36143128115655543			
GO_SPINAL_CORD_PATTERNING	0.36083211296234846			
GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP	0.36002991496093306			
MIR4665_5P	0.3592924165253326			
HEB_Q6	0.3587296645696846			
GO_SODIUM_CHANNEL_COMPLEX	0.35871839912839576			
GO_REGULATION_OF_HISTONE_MODIFICATION	0.35828207173291615			
MIR6861_3P	0.35770847074283746			
GO_CTF18_RFC_LIKE_COMPLEX	0.3577062487683679			
E2F1_Q4_01	0.3569703372837477			
GO_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	0.3569161407186529			
MIR10526_3P	0.3562947903678447			
GO_ATPASE_COMPLEX	0.3556795814655436			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.35561569702037304			
GO_MICROTUBULE_POLYMERIZATION	0.35531633973237897			
GO_NUCLEOSOME_BINDING	0.3551515416850233			
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.3550612462414846			
GO_SWI_SNF_COMPLEX	0.35495593752185095			
E2F_Q4_01	0.35476931051311567			
E2F_Q3_01	0.3544620367413101			
REACTOME_BASE_EXCISION_REPAIR	0.3537937836953612			
LEF1_Q6	0.35376993779494664			
GO_G0_TO_G1_TRANSITION	0.35335330080430016			
GO_REGULATION_OF_CHROMATIN_ORGANIZATION	0.35323658928234647			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	0.3530603083114668			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.3530492214237549			
GO_REGULATION_OF_CHROMATIN_BINDING	0.3529381319217148			
GO_CHROMATIN_REMODELING	0.35289088020318227			
GATGKMRGCG_UNKNOWN	0.3528123056156086			
E2F1DP1RB_01	0.3522351169158681			
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION	0.35186205885719046			
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP	0.3515258008093695			
MIR222_3P	0.3510715211538591			
MIR6783_5P	0.3508572578161506			
GO_ANCHORED_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	0.350176471496792			
REN_ALVEOLAR_RHABDOMYOSARCOMA_UP	0.35016450765907275			
MIR4306	0.35002156904731774			
VILLANUEVA_LIVER_CANCER_KRT19_UP	0.34976628917853375			
CHOP_01	0.34950032684370086			
NFY_Q6_01	0.34916818151586726			
MIR214_3P	0.3489631041763797			
E2F_Q4	0.3486417710904469			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.34861325209699967			
GO_REGULATION_OF_PROTEIN_ACETYLATION	0.34846713694514997			
E2F1_Q3	0.3483741885940611			
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.34831882586740975			
GO_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	0.3483102178406414			
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	0.3482234871153165			
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN	0.3481626268164414			
