	Score	0.95 MoE	P-Value	Q-Value
chr17p11	0.4649538454136891			
GO_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	0.36660704929213495			
GO_POSITIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	0.3583461784047363			
chr17p12	0.35472739463051206			
GO_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION	0.3400195876012908			
NAGASHIMA_NRG1_SIGNALING_DN	0.3400130199063988			
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	0.3379782581795459			
HINATA_NFKB_TARGETS_KERATINOCYTE_DN	0.3375530565799849			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BIOSYNTHETIC_PROCESS	0.3365914769790825			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_6	0.3348703174694104			
GO_ACETYLCHOLINE_RECEPTOR_BINDING	0.3333506760609034			
GO_GOLGI_RIBBON_FORMATION	0.3307536639768322			
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	0.32843578710261606			
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	0.32739068641974767			
FARMER_BREAST_CANCER_CLUSTER_7	0.3271741152040568			
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	0.3267886057999535			
ZWANG_EGF_INTERVAL_DN	0.3262165919531498			
GO_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.3255641507429861			
GO_UTERUS_MORPHOGENESIS	0.32551622254255225			
FOXD2_TARGET_GENES	0.32473126906436867			
NIKOLSKY_BREAST_CANCER_17P11_AMPLICON	0.3241148471477109			
REACTOME_SIGNALING_BY_NOTCH	0.3239485848232067			
GO_POSITIVE_REGULATION_OF_PROTEIN_DEACETYLATION	0.3236918503663697			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN	0.32342037732887036			
GO_TROPOMYOSIN_BINDING	0.3233581657344497			
DELLA_RESPONSE_TO_TSA_AND_BUTYRATE	0.32246402690316395			
GSE13887_HEALTHY_VS_LUPUS_RESTING_CD4_TCELL_UP	0.3220175982126669			
GO_INTERLEUKIN_1_BINDING	0.32200225498919305			
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP	0.32194907431094794			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	0.32185227512450765			
MAPK3_TARGET_GENES	0.3211911579698399			
WILLIAMS_ESR1_TARGETS_DN	0.3211317923024013			
VANASSE_BCL2_TARGETS_UP	0.32039861735213343			
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR	0.3199035890864574			
ZNF436_TARGET_GENES	0.3198455492547163			
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN	0.3189293428850064			
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.3189142192206558			
IPA_PITX1_UP	0.3188497629556518			
KMT2D_TARGET_GENES	0.3185963207156323			
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	0.3182446009227002			
REACTOME_COENZYME_A_BIOSYNTHESIS	0.317573241647911			
GO_PALMITOYLTRANSFERASE_ACTIVITY	0.31736293779664226			
GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.3162732123403817			
GO_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	0.3161851913679069			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.3153473931657152			
REACTOME_THYROXINE_BIOSYNTHESIS	0.31509782039567646			
GO_HEAT_ACCLIMATION	0.3147705243335167			
GO_INTERLEUKIN_1_BIOSYNTHETIC_PROCESS	0.3143562788838862			
GO_INTERLEUKIN_1_BETA_BIOSYNTHETIC_PROCESS	0.3143562788838862			
HATADA_METHYLATED_IN_LUNG_CANCER_DN	0.31380535701912987			
SESTO_RESPONSE_TO_UV_C4	0.31367782242052167			
GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_DN	0.31325493229355905			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.3131995514928528			
MARTINEZ_TP53_TARGETS_DN	0.31319367924886155			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.3130650469252277			
XU_GH1_AUTOCRINE_TARGETS_DN	0.3130065579668644			
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	0.3126547853555531			
LIU_SOX4_TARGETS_DN	0.31263743846583836			
GSE17721_0.5H_VS_12H_GARDIQUIMOD_BMDC_UP	0.31238901455064233			
GO_ANDROGEN_BIOSYNTHETIC_PROCESS	0.31222832937611367			
IPA_PGR_DN	0.31194760906632135			
IPA_NANOG_UP	0.31193231291573			
GSE17721_CPG_VS_GARDIQUIMOD_8H_BMDC_DN	0.31180902817434775			
CSHL1_TARGET_GENES	0.3117330999930961			
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	0.3117009592817888			
GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_DN	0.3115371883655675			
GO_NEGATIVE_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS	0.3113712817702071			
GO_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	0.31100145966459136			
SESTO_RESPONSE_TO_UV_C7	0.310783714470996			
RICKMAN_METASTASIS_DN	0.3101752865957349			
GNCF_01	0.3100914367169414			
AKT_UP_MTOR_DN.V1_UP	0.30989239951050124			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.3098054018273628			
GO_REGULATION_OF_SEQUESTERING_OF_ZINC_ION	0.30979792140607104			
GO_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.30946080404769105			
TBK1.DF_DN	0.30940695856665046			
ZMYM2_TARGET_GENES	0.30931415205272783			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.309145140107679			
GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_UP	0.3090823904093155			
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	0.3089579281861459			
GO_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	0.30885241132451574			
GSE22103_UNSTIM_VS_LPS_STIM_NEUTROPHIL_DN	0.30875854841168165			
IPA_NFKBIZ_UP	0.30859364757953156			
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.30855075316066416			
IPA_HOXA7_DN	0.30849727715211606			
GO_RECEPTOR_INHIBITOR_ACTIVITY	0.30842927535975967			
GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION	0.3083061305251276			
IPA_STAT5A_DN	0.30828106961545254			
LUI_THYROID_CANCER_CLUSTER_2	0.30793270689188335			
ZHENG_IL22_SIGNALING_UP	0.3077309477694272			
GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_DN	0.3072860826684868			
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_CYTOSOLIC_CALCIUM_LEVELS	0.3071893631789722			
GO_REGULATION_OF_MICROTUBULE_NUCLEATION	0.3070761893059962			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.30683811313128323			
GO_NEGATIVE_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	0.3067744746447229			
GO_LUNG_SACCULE_DEVELOPMENT	0.3067285003960188			
STANHILL_HRAS_TRANSFROMATION_UP	0.3067045361506931			
GO_MAINTENANCE_OF_LOCATION_IN_CELL	0.30658689856444127			
GO_REGULATION_OF_HAIR_CYCLE	0.30634637145810106			
GO_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	0.306285284195782			
REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3	0.30619172693236524			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.3061725533552564			
GO_MODULATION_OF_AGE_RELATED_BEHAVIORAL_DECLINE	0.3060351807330193			
NRL_DN.V1_UP	0.3060271902881799			
GO_MOLTING_CYCLE	0.3058695269212829			
GO_AUDITORY_RECEPTOR_CELL_DEVELOPMENT	0.3058113974461921			
WHITFIELD_CELL_CYCLE_M_G1	0.3055668671554902			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.3055599932813734			
PECE_MAMMARY_STEM_CELL_UP	0.3053666498875331			
REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION	0.30530124082014726			
ZERBINI_RESPONSE_TO_SULINDAC_DN	0.3052834431197249			
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.30525081951035793			
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP	0.3052137607141571			
REACTOME_SIGNALING_BY_NOTCH3	0.30473088940206566			
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	0.3046741487041606			
GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS_INVOLVED_IN_CHOLESTEROL_TRANSPORT	0.30464469974155983			
GO_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.3045254735328837			
IPA_DBP_UP	0.3041090108789661			
GO_TONGUE_MORPHOGENESIS	0.3040934072259945			
GO_AMMONIA_LYASE_ACTIVITY	0.3040456618733907			
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	0.30402202033059766			
EGFR_TARGET_GENES	0.3039505567476962			
FXR1_TARGET_GENES	0.30382139850198875			
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.30380814809791035			
REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS	0.3035795512905538			
GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	0.3034490024923273			
HOLLERN_SQUAMOUS_BREAST_TUMOR	0.3030032148739622			
GO_MICROTUBULE_NUCLEATION	0.3029363447337228			
SESTO_RESPONSE_TO_UV_C0	0.30284027499083793			
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT	0.3027068526710517			
SESTO_RESPONSE_TO_UV_C2	0.3023123067697489			
REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM	0.3022777828785999			
GO_POSITIVE_REGULATION_OF_HEART_INDUCTION	0.30220242591630836			
GO_NEGATIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	0.30212217774019934			
GO_ACTIN_MODIFICATION	0.3021210441440963			
