	Score	0.95 MoE	P-Value	Q-Value
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN	0.4186472852210045			
chr6p21	0.4161905953897559			
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_DN	0.40748508661430694			
GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_SECRETION	0.398392723619508			
GO_REGULATION_OF_INTERLEUKIN_18_PRODUCTION	0.39730442563126145			
GO_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	0.3942713775556996			
GO_RESPONSE_TO_INTERLEUKIN_2	0.39282105206230744			
GO_LEUKOCYTE_HOMEOSTASIS	0.3923304705749901			
REACTOME_INTERLEUKIN_2_SIGNALING	0.39180585368124676			
MIR10401_5P	0.3914980144743391			
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	0.3900044385536549			
BIOCARTA_IL2RB_PATHWAY	0.38841223833688177			
GO_DEMETHYLATION	0.38739827521861114			
GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS	0.3870372394588954			
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN	0.38573050123932373			
GO_LYMPHOCYTE_HOMEOSTASIS	0.38479247313669457			
PID_IL2_1PATHWAY	0.3843892122278819			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.3836403527026429			
GO_INTERLEUKIN_21_MEDIATED_SIGNALING_PATHWAY	0.38304625680190246			
IPA_NFATC2_DN	0.38253396810073004			
GO_DNA_MODIFICATION	0.3821797065016888			
GO_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	0.38114873173380565			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.3811469583277617			
GO_LYSINE_ACETYLATED_HISTONE_BINDING	0.38085218153105305			
GO_REGULATION_OF_INTERFERON_GAMMA_SECRETION	0.3804345862421457			
GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP	0.3795358388922373			
BIOCARTA_GH_PATHWAY	0.37944602444459674			
GO_INTERLEUKIN_12_SECRETION	0.37933025606687115			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.37814764244606064			
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.37739606532796144			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.37736887465564056			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.37664404368110377			
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_DN	0.3755433904821649			
GO_T_CELL_LINEAGE_COMMITMENT	0.37260942414678505			
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN	0.37257418139710563			
GO_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.3725462841031899			
GO_SOMATIC_RECOMBINATION_OF_IMMUNOGLOBULIN_GENE_SEGMENTS	0.37201366083749643			
GO_T_CELL_HOMEOSTASIS	0.37173555700024696			
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN	0.37150893111680133			
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	0.37094939255972775			
GO_REGULATION_OF_ISOTYPE_SWITCHING	0.37085693591293417			
PID_IL2_STAT5_PATHWAY	0.37047853597462965			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.3700725358587431			
GO_POSITIVE_REGULATION_OF_BONE_DEVELOPMENT	0.36997161648829713			
GO_DEMETHYLASE_ACTIVITY	0.36919964701769514			
REACTOME_INTERLEUKIN_21_SIGNALING	0.36913226042817177			
GO_LEUKOCYTE_DIFFERENTIATION	0.3689477639449908			
GO_TRACHEA_CARTILAGE_DEVELOPMENT	0.3686624731515368			
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP	0.3684541443284223			
GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_DN	0.3681961883139788			
HOFMANN_MYELODYSPLASTIC_SYNDROM_RISK_DN	0.3674128959915054			
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	0.36725714050289665			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_15	0.36692948216335075			
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.36654073222842304			
GO_INTERLEUKIN_18_PRODUCTION	0.366363096632012			
GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_NAIVE_CD4_TCELL_UP	0.3661549227397759			
KREPPEL_CD99_TARGETS_DN	0.36509996478229256			
GO_PROTEIN_PHOSPHORYLATED_AMINO_ACID_BINDING	0.3648721112615132			
GO_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	0.3648122208128401			
GO_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	0.36456773200198356			
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.3644666072583661			
GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_DN	0.3630669178272301			
GO_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.36300402183600095			
MIR1291	0.36298566200262183			
GSE31622_WT_VS_KLF3_KO_BCELL_DN	0.36285333177086215			
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_6H_UP	0.36276916861746505			
GO_GTPASE_REGULATOR_ACTIVITY	0.36251687846237324			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.3624962841227967			
GO_LEUKOCYTE_TETHERING_OR_ROLLING	0.3623354137414467			
GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_DN	0.3622781062881468			
GSE3982_MAC_VS_NKCELL_DN	0.3622334645802515			
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.3618464315969004			
GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	0.3618446537451917			
GSE3982_MAC_VS_NEUTROPHIL_DN	0.361809340365744			
GO_HISTONE_DEMETHYLASE_ACTIVITY	0.3615120820884415			
GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP	0.36098786508122377			
GO_ALPHA_BETA_T_CELL_ACTIVATION	0.36055877713173845			
GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN	0.36046673498264986			
GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_UP	0.3604394963954395			
MARTENS_BOUND_BY_PML_RARA_FUSION	0.36028710347195975			
IPA_SIN3B_DN	0.3598464174823926			
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	0.3598268102750635			
GO_PHOSPHOTYROSINE_RESIDUE_BINDING	0.35963902734323266			
GO_INTERLEUKIN_12_PRODUCTION	0.3594335236747036			
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	0.3590045443861369			
GO_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	0.358986363246358			
GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_DN	0.35897021382649175			
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.3589610785320952			
GO_MYELOID_CELL_DIFFERENTIATION	0.35880107921648163			
GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_UP	0.358545568841797			
GSE14350_TREG_VS_TEFF_UP	0.3585242401334235			
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	0.35848712222476914			
GO_B_CELL_ACTIVATION	0.3584547763620193			
GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP	0.35840972131962107			
REACTOME_STAT5_ACTIVATION	0.35840012521408754			
GO_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.35827378410320776			
GSE8685_IL2_ACT_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_UP	0.3582352431348503			
GO_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY	0.35797163917800495			
GO_BONE_CELL_DEVELOPMENT	0.3578985739020963			
GSE34392_ST2_KO_VS_WT_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP	0.3577927491682908			
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	0.35763706183353133			
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	0.3574448125525611			
MARSON_BOUND_BY_FOXP3_STIMULATED	0.35743040266398385			
FAELT_B_CLL_WITH_VH3_21_UP	0.3573605809867915			
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	0.357310177615621			
GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_DN	0.3573058775724193			
PID_TCR_PATHWAY	0.3572518538689039			
GSE3982_EOSINOPHIL_VS_MAST_CELL_UP	0.35721950709229205			
GO_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.3568464884018495			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.3567070429724381			
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	0.35670038300914436			
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.35646900608123944			
GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	0.3562579125773267			
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.3561909996324411			
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_UP	0.3561775622355604			
RASHI_RESPONSE_TO_IONIZING_RADIATION_6	0.3557923565946987			
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING	0.35558887045074394			
GO_REGULATORY_T_CELL_DIFFERENTIATION	0.3555867857367639			
GO_REGULATION_OF_B_CELL_DIFFERENTIATION	0.35544634983506534			
GO_HISTONE_H3_K4_TRIMETHYLATION	0.3554419417492394			
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN	0.35540686665463644			
GSE21033_3H_VS_24H_POLYIC_STIM_DC_UP	0.35517762423926086			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_DN	0.35512767710261944			
GO_T_CELL_SELECTION	0.3550880950816479			
GSE3982_EOSINOPHIL_VS_MAC_UP	0.35505645454486423			
XU_RESPONSE_TO_TRETINOIN_UP	0.3548632961154987			
MIR3144_5P	0.3548138498327619			
GO_T_CELL_DIFFERENTIATION	0.3547268175740727			
GO_MYELOID_CELL_DEVELOPMENT	0.35411567441324965			
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	0.35403362834654956			
