	Score	0.95 MoE	P-Value	Q-Value
BIOCARTA_CPSF_PATHWAY	0.4105590673011158			
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	0.4102325194345337			
BENPORATH_ES_1	0.4099168212878215			
GO_MRNA_3_END_PROCESSING	0.403575411761774			
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.402660632945807			
BENPORATH_ES_CORE_NINE_CORRELATED	0.3999235367483085			
KEGG_SPLICEOSOME	0.3962808308889249			
chr14q11	0.39562841107963087			
GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION	0.394894077039088			
GO_NEGATIVE_REGULATION_OF_ATPASE_ACTIVITY	0.3938602134313221			
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.3926036943438456			
GO_HETEROCHROMATIN	0.39188177725386997			
GO_DNA_GEOMETRIC_CHANGE	0.39016300056883746			
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION	0.3900133416663552			
GO_MRNA_TRANSPORT	0.3898874003549975			
ABRAMSON_INTERACT_WITH_AIRE	0.389547677663683			
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.3881418207638434			
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	0.3868831312993416			
chr14q12	0.3863872490874301			
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ	0.38373543285332606			
REACTOME_REGULATION_OF_TP53_ACTIVITY	0.38352321392873917			
GO_CHROMATIN_BINDING	0.383416257200733			
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	0.3830823228034484			
GO_DAMAGED_DNA_BINDING	0.3828256001731719			
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.3802790347834773			
GO_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.3796152734331718			
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	0.3795105989756988			
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	0.3795007070291084			
GO_NUCLEAR_EXPORT	0.37820645800470937			
RPS14_DN.V1_DN	0.3772392331537656			
GO_NUCLEAR_PERIPHERY	0.3768190214498146			
GO_CHROMATIN_DISASSEMBLY	0.3767927161938835			
GO_DNA_CONFORMATION_CHANGE	0.37657005782502845			
COIL_TARGET_GENES	0.37637019196230964			
HALLMARK_G2M_CHECKPOINT	0.37531798814914996			
GO_NEGATIVE_REGULATION_OF_HELICASE_ACTIVITY	0.374959078560533			
REACTOME_MRNA_SPLICING	0.3748446841709198			
KEGG_CELL_CYCLE	0.3745181580144806			
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	0.372570036978403			
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.37252755081542366			
GO_DNA_PACKAGING	0.3724912353769091			
IPA_TCF7L2_UP	0.3723768331559791			
REACTOME_SIGNALING_BY_WNT	0.37183149056062037			
GO_MRNA_EXPORT_FROM_NUCLEUS	0.37134849867572306			
GO_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	0.37099090850933164			
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	0.37074418983220225			
GO_ESTABLISHMENT_OF_RNA_LOCALIZATION	0.3707095637525477			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.3703563699905768			
GO_NUCLEAR_TRANSPORT	0.37011111559610743			
GO_CHROMATIN_ASSEMBLY	0.369192599072838			
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	0.36870031545467535			
IPA_TARBP2_UP	0.3675965919795628			
GO_REGULATION_OF_HELICASE_ACTIVITY	0.3675130402191545			
GO_RNA_EXPORT_FROM_NUCLEUS	0.3661783249774264			
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	0.36587143813144546			
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	0.3653717782041787			
GO_P53_BINDING	0.3649349772484246			
GO_RNA_LOCALIZATION	0.36468518767905617			
GO_REGULATION_OF_MRNA_METABOLIC_PROCESS	0.3644183370818082			
CTCTGGA_MIR520A_MIR525	0.36430332550747585			
chr14q24	0.3641126988246377			
GO_NUCLEAR_MATRIX	0.3633695663153527			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.36286498140692824			
WAKASUGI_HAVE_ZNF143_BINDING_SITES	0.36286473262917746			
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	0.3626735326982487			
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS	0.36205399985720077			
FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN	0.36195638299363925			
HALLMARK_E2F_TARGETS	0.361665243930619			
LEE_METASTASIS_AND_RNA_PROCESSING_UP	0.3616067104546707			
GO_DELAMINATION	0.36148670412354966			
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY	0.36113858450508374			
GO_DNA_HELICASE_ACTIVITY	0.3600415816356973			
CAIRO_HEPATOBLASTOMA_CLASSES_UP	0.3597139269508687			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.3595852942803084			
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	0.3594820571403425			
GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	0.3593691686458234			
HOLLEMAN_PREDNISOLONE_RESISTANCE_ALL_UP	0.3592221257322348			
ZERBINI_RESPONSE_TO_SULINDAC_DN	0.35893057283288793			
GO_PROTEIN_DNA_COMPLEX_DISASSEMBLY	0.3586047823733553			
GO_HETEROCHROMATIN_ASSEMBLY	0.358034534257757			
REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS	0.35789704562755675			
GO_MRNA_3_UTR_BINDING	0.357508777463441			
BIOCARTA_DICER_PATHWAY	0.3574694514117524			
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	0.35734142563744803			
E2F1_Q4	0.3573327390209342			
GO_RNA_POLYMERASE_BINDING	0.35707293290663655			
GO_RNA_DNA_HYBRID_RIBONUCLEASE_ACTIVITY	0.3562335878731641			
GO_N6_METHYLADENOSINE_CONTAINING_RNA_BINDING	0.35617710012031434			
GO_REGULATION_OF_CELL_CYCLE_PROCESS	0.3557341817895728			
GO_CHROMOSOME_ORGANIZATION	0.3554927731615145			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	0.355319684195933			
GO_RNA_POLYADENYLATION	0.35497037556960614			
GO_REGULATION_OF_GENE_SILENCING	0.35472668526567935			
GO_BASE_EXCISION_REPAIR	0.35434791270123533			
REACTOME_2_LTR_CIRCLE_FORMATION	0.3540423065348252			
GO_STEM_CELL_DIFFERENTIATION	0.3535305407005404			
GO_CHROMATIN_ORGANIZATION	0.35332399994687763			
IPA_HAND2_DN	0.3530685191404139			
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	0.3529653273757901			
GO_REGULATION_OF_DNA_DUPLEX_UNWINDING	0.3528803334583177			
GO_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	0.35232613600682844			
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS	0.35186622940828827			
GO_TRANSCRIPTION_FACTOR_BINDING	0.35130355250144124			
WONG_EMBRYONIC_STEM_CELL_CORE	0.3510182728534856			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.35022889375457034			
REACTOME_SNRNP_ASSEMBLY	0.34958244512057257			
GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.34957881489960546			
GO_SISTER_CHROMATID_COHESION	0.34943195378498143			
MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP	0.34937600472212627			
BIDUS_METASTASIS_UP	0.34881802290456143			
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS	0.3487357004550517			
GO_REGULATION_OF_MITOTIC_CELL_CYCLE	0.3486822876203787			
GO_NUCLEAR_CHROMOSOME_TELOMERIC_REGION	0.34845313326793026			
GO_PRIMARY_MIRNA_PROCESSING	0.34841394913685625			
GO_MAINTENANCE_OF_DNA_METHYLATION	0.34835552730494956			
MORI_IMMATURE_B_LYMPHOCYTE_DN	0.34788334733526477			
BIOCARTA_RANMS_PATHWAY	0.34755306465102315			
GO_TRANSCRIPTION_FACTOR_COMPLEX	0.34754857279744605			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.34737516972442656			
REACTOME_DNA_METHYLATION	0.3470572627549282			
GO_CELL_CYCLE	0.34675605843964064			
GO_MRNA_METHYLTRANSFERASE_ACTIVITY	0.34659188974660093			
GO_REGULATION_OF_DNA_METABOLIC_PROCESS	0.34650679273560436			
GO_REGULATION_OF_DNA_TOPOISOMERASE_ATP_HYDROLYZING_ACTIVITY	0.3462554585329766			
E2F1_Q6_01	0.34592898325317384			
GO_ATPASE_ACTIVITY_COUPLED	0.34498257255286174			
GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	0.344659222186794			
GO_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	0.3445742877364587			
CUI_TCF21_TARGETS_2_UP	0.34445301826769975			
GO_CELL_CYCLE_PHASE_TRANSITION	0.3443545883934709			
GO_METHYLOSOME	0.3442436780841319			
GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	0.34418056717079887			
GO_MITOTIC_CELL_CYCLE	0.3441755602850359			
GO_MAINTENANCE_OF_CELL_NUMBER	0.34404654722314887			
