	Score	0.95 MoE	P-Value	Q-Value
HDAC4_TARGET_GENES	0.47722656055884877			
GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP	0.47352513362930987			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	0.47055421556759536			
GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN	0.4651831205354686			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.46477814118430716			
GSE10325_CD4_TCELL_VS_MYELOID_UP	0.4632409695390162			
GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_DN	0.4578232727871978			
GO_IMMUNOGLOBULIN_PRODUCTION	0.45736767177743104			
WRNIP1_TARGET_GENES	0.4565779848829155			
GO_B_CELL_ACTIVATION	0.45593038075075687			
GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN	0.4555909366484314			
GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.45554963101184337			
GO_REGULATION_OF_B_CELL_ACTIVATION	0.4553678940319278			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.45522906503079125			
GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.45470677352839434			
GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP	0.45368241718163915			
MAML1_TARGET_GENES	0.45307529736005275			
GO_T_CELL_SELECTION	0.4523886068340427			
GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN	0.45053864414414796			
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	0.4496414227881066			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP	0.4495110762863739			
PUJANA_ATM_PCC_NETWORK	0.4494867521131442			
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP	0.4494285297855914			
GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	0.4494261510988427			
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	0.44926515376821763			
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.4487730059945169			
GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.4480766647658775			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.4479806631077278			
GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_UP	0.4479663257801857			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.4474520301694014			
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP	0.44706293351399967			
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.44673470276921895			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.4466677278478819			
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	0.44659585297699			
GSE22886_NAIVE_CD8_TCELL_VS_DC_UP	0.4465883010078414			
HELLER_HDAC_TARGETS_DN	0.4465361690461004			
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN	0.44636317276992177			
GO_LYMPHOCYTE_DIFFERENTIATION	0.4461741569865059			
BIOCARTA_IL2RB_PATHWAY	0.4460803791049832			
GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	0.4458522051126819			
GO_SH3_SH2_ADAPTOR_ACTIVITY	0.445298500723361			
LEE_DIFFERENTIATING_T_LYMPHOCYTE	0.44523664609778113			
GO_POSITIVE_T_CELL_SELECTION	0.4444439398054349			
WINTER_HYPOXIA_DN	0.444287795552088			
GO_T_CELL_LINEAGE_COMMITMENT	0.44254087116216434			
FINETTI_BREAST_CANCER_KINOME_GREEN	0.4424505581870523			
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	0.4423626954475963			
GO_LYMPHOCYTE_ACTIVATION	0.44221360051306324			
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	0.4418542909609731			
