	Score	0.95 MoE	P-Value	Q-Value
GO_NURD_COMPLEX	0.3618474361506178			
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP	0.3530901917706095			
GO_DEPHOSPHORYLATION_OF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN	0.348210118348287			
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.3467041495325005			
GO_SEMICIRCULAR_CANAL_DEVELOPMENT	0.3445705654619831			
MIR874_5P	0.3426340835923925			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.33884762878022096			
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	0.3337889744181985			
GO_REGIONALIZATION	0.3326384780022813			
GO_NUCLEUS_LOCALIZATION	0.33234836707742216			
IPA_OTX1_UP	0.3308208795760917			
BIOCARTA_CPSF_PATHWAY	0.3304228986341144			
REACTOME_NETRIN_MEDIATED_REPULSION_SIGNALS	0.3301997669165467			
MIR346	0.32976630912685423			
GO_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.3295233414594663			
chr6q15	0.3284621713670891			
GO_SEMICIRCULAR_CANAL_MORPHOGENESIS	0.328405302520465			
BRUNEAU_HEART_GREAT_VESSELS_AND_VALVULOGENESIS	0.3275346268768873			
GO_ATPASE_COMPLEX	0.3274436688929712			
E2F3_UP.V1_UP	0.32643714911067423			
GTGGTGA_MIR197	0.3256595648202639			
GO_MRNA_5_SPLICE_SITE_RECOGNITION	0.3255940831747605			
GO_VENTRAL_SPINAL_CORD_DEVELOPMENT	0.325560727607136			
GO_INTRACELLULAR_MRNA_LOCALIZATION	0.32547172155228027			
IPA_PAX9_UP	0.3251347509345171			
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.325009398372019			
VDR_Q6	0.32445390783052563			
CACGTTT_MIR302A	0.32389890610128963			
GO_NUCLEAR_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.3229198188648441			
C_MYC_Q16158_TARGET_GENES	0.3228172644265688			
GO_CELL_DIFFERENTIATION_IN_SPINAL_CORD	0.3223921843203136			
GO_DORSAL_VENTRAL_PATTERN_FORMATION	0.3220429293369453			
AP2_Q6	0.3212748886399348			
MIR6885_5P	0.32090480810887445			
GO_HISTONE_DEMETHYLASE_ACTIVITY_H3_K9_SPECIFIC	0.3204484408324222			
STONER_ESOPHAGEAL_CARCINOGENESIS_DN	0.3204171520277904			
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING	0.31939158376725857			
IPA_SIX2_UP	0.3191257307940564			
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.3186354114461024			
YRCCAKNNGNCGC_UNKNOWN	0.31840441854427537			
chr14q24	0.3177015108092003			
ZF5_B	0.31749421937542305			
GO_INTRACILIARY_TRANSPORT_PARTICLE_A	0.3166697355674318			
GGCNKCCATNK_UNKNOWN	0.3166073391188819			
GO_AXIS_SPECIFICATION	0.3165386207467072			
GO_ALANINE_TRANSPORT	0.3164477429109637			
GO_SPINAL_CORD_PATTERNING	0.31574980764874266			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.3157088737960427			
GO_PRE_MIRNA_PROCESSING	0.31458345443898755			
GO_TRANSCRIPTION_FACTOR_COMPLEX	0.3144971573887959			
