	Score	0.95 MoE	P-Value	Q-Value
IPA_TCF20_UP	0.6496732361192213			
GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.4550476752189606			
GO_HISTONE_H3_K4_METHYLATION	0.4549580704246501			
GO_HISTONE_DEMETHYLASE_ACTIVITY_H3_K9_SPECIFIC	0.4535717027967468			
MIR4758_3P	0.44838844291405144			
GO_HISTONE_H3_K9_DEMETHYLATION	0.4449480977555603			
GO_P53_BINDING	0.43939559860210015			
PID_WNT_CANONICAL_PATHWAY	0.438640374185991			
KEGG_NOTCH_SIGNALING_PATHWAY	0.430975787365765			
MIR100_5P_MIR99A_5P_MIR99B_5P	0.42993200675181137			
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER	0.4258213371600473			
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.4236934090760214			
GO_RDNA_BINDING	0.422468317074453			
GO_SIN3_TYPE_COMPLEX	0.42135541110251395			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.4197268635678493			
GO_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.4163627410343756			
GO_SIN3_COMPLEX	0.4116918415483084			
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	0.41028756389818893			
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.4094610108766082			
GO_PROTEIN_AUTOPROCESSING	0.4082699307411655			
NFY_Q6_01	0.40748890025505624			
GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_UP	0.406501207359333			
GO_DNA_HELICASE_ACTIVITY	0.40530446830116096			
GO_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.40490730157754545			
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.4039806414897334			
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	0.40362834518359164			
REACTOME_FGFR2_ALTERNATIVE_SPLICING	0.4023943733080787			
GO_CELLULAR_LIPID_BIOSYNTHETIC_PROCESS	0.40210215637338553			
GO_DNA_METHYLATION	0.40177691870354293			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.4008878398846117			
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	0.4000056693423811			
GO_CHROMATIN_DNA_BINDING	0.39970065158170026			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.39824868184072804			
GO_PRO_B_CELL_DIFFERENTIATION	0.39823178935620296			
GO_REGULATION_OF_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	0.39747544434237747			
AUNG_GASTRIC_CANCER	0.39589161999390965			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	0.39543196100784717			
GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP	0.39437099490073757			
GSE14308_TH1_VS_NAIVE_CD4_TCELL_DN	0.3943480781697436			
GO_HAIR_CELL_DIFFERENTIATION	0.3940304035236422			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.39395274137659614			
REACTOME_HDACS_DEACETYLATE_HISTONES	0.3936118494159811			
MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4	0.39246864736681475			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	0.3917061860954089			
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS	0.39146073011938703			
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.39118483111628866			
GSE14308_TH17_VS_INDUCED_TREG_DN	0.391151770629717			
GO_HISTONE_DEACETYLASE_COMPLEX	0.39067926703949063			
DING_LUNG_CANCER_BY_MUTATION_RATE	0.39062893765756573			
ACGCACA_MIR210	0.38849158501779685			
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	0.38820095175959407			
GO_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	0.38801252808158454			
GO_NEGATIVE_REGULATION_OF_STEROL_TRANSPORT	0.3879078921490977			
GO_RESPONSE_TO_LIGHT_INTENSITY	0.3877558417640161			
KIM_GASTRIC_CANCER_CHEMOSENSITIVITY	0.3876869147551443			
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_4NQO_IN_OLD	0.3872521019002064			
GSE10325_BCELL_VS_LUPUS_BCELL_UP	0.386319460582221			
GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	0.3858419872032415			
COLLIS_PRKDC_SUBSTRATES	0.3855541878533088			
GO_BASE_EXCISION_REPAIR	0.3847977694696567			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.3840684063102577			
MIR11400	0.3839500063978438			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.3837793531852975			
GO_CHROMATIN_DISASSEMBLY	0.3832685211212015			
GO_HISTONE_H4_R3_METHYLATION	0.3832417746878277			
chr1p36	0.3825946130774645			
GO_CHROMATIN_REMODELING	0.38181785436324034			
GTGGTGA_MIR197	0.3815134880439593			
LEE_METASTASIS_AND_RNA_PROCESSING_UP	0.3814964920111877			
GGCKCATGS_UNKNOWN	0.3810334248955151			
ACCGAGC_MIR423	0.38091159358712173			
GO_DOUBLE_STRAND_BREAK_REPAIR_VIA_CLASSICAL_NONHOMOLOGOUS_END_JOINING	0.3803813433847892			
GO_HISTONE_METHYLATION	0.380093427351885			
GO_AUDITORY_RECEPTOR_CELL_FATE_COMMITMENT	0.38009310399104146			
GO_MIDBRAIN_HINDBRAIN_BOUNDARY_DEVELOPMENT	0.3800857985522975			
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	0.3799537083539666			
LAIHO_COLORECTAL_CANCER_SERRATED_DN	0.3797047043493053			
GO_EQUILIBRIOCEPTION	0.37904618920330313			
REACTOME_SIGNALING_BY_NOTCH1	0.3789575072597515			
REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1_M1580_K2555_TRANSLOCATION_MUTANT	0.3788821180286106			
GO_CATALYTIC_ACTIVITY_ACTING_ON_DNA	0.37876515098701796			
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	0.37839428097016864			
