	Score	0.95 MoE	P-Value	Q-Value
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP	0.37065022598642167			
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	0.36088568433664214			
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	0.36008276937113004			
GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP	0.3584037792880996			
GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS	0.35721531595784817			
GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN	0.3563102047130422			
GSE29618_PDC_VS_MDC_DN	0.35559350179623456			
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	0.35489009968842			
HUANG_GATA2_TARGETS_UP	0.3543530112324464			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.3534786109595281			
GO_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	0.35335935113671296			
GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_UP	0.35332935740753724			
GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	0.3529045734158251			
GO_CHEMOKINE_PRODUCTION	0.35139436608752206			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.3508940768171331			
GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	0.3500554852889282			
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.34977519369480503			
GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_UP	0.3496683362530151			
GSE22611_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_DN	0.3496663993678671			
GO_GLIAL_CELL_ACTIVATION	0.3495832930791629			
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	0.3486230909528487			
GSE14415_ACT_TCONV_VS_ACT_NATURAL_TREG_DN	0.34840045179748413			
GO_CELL_ACTIVATION	0.34816531235133213			
GO_PHAGOCYTOSIS	0.3473044026685992			
GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN	0.3472212209004064			
GO_MYELOID_LEUKOCYTE_ACTIVATION	0.34695685475941823			
WIELAND_UP_BY_HBV_INFECTION	0.3463622851122224			
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	0.34616544599396526			
GO_IMMUNE_EFFECTOR_PROCESS	0.34613801851282205			
GO_TETRAHYDROFOLATE_INTERCONVERSION	0.3460248565129875			
GO_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	0.34585517301372254			
GSE11057_CD4_EFF_MEM_VS_PBMC_DN	0.345092302142467			
GO_LEUKOCYTE_MEDIATED_IMMUNITY	0.34413740473694554			
IPA_SP7_DN	0.3434704743071548			
GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_DN	0.3432711470519055			
GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	0.3431579524709172			
GSE12366_GC_VS_NAIVE_BCELL_DN	0.3426763220091096			
VANTVEER_BREAST_CANCER_ESR1_DN	0.34238445627481046			
GO_NEUROINFLAMMATORY_RESPONSE	0.3421614982575199			
GO_MACROPHAGE_ACTIVATION	0.3415081566995762			
GO_INTERLEUKIN_1_BETA_PRODUCTION	0.34110157240762135			
GO_RESPONSE_TO_PHORBOL_13_ACETATE_12_MYRISTATE	0.34085875686234474			
GO_SPECIFIC_GRANULE_MEMBRANE	0.34051715188861964			
GO_HISTONE_H3_K4_METHYLATION	0.3403198585079296			
GSE6092_UNSTIM_VS_IFNG_STIM_ENDOTHELIAL_CELL_DN	0.34007824486917987			
REACTOME_INNATE_IMMUNE_SYSTEM	0.33994864432021565			
GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_DN	0.3398991203199152			
GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_UP	0.3394508629412774			
GO_HISTONE_ACETYLTRANSFERASE_ACTIVITY_H4_K5_SPECIFIC	0.33901897014299953			
GO_HISTONE_H3_K4_TRIMETHYLATION	0.33887381182051274			
GO_TERTIARY_GRANULE_MEMBRANE	0.33862751817231646			
GO_MAST_CELL_GRANULE	0.3385154386151866			
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.33797715266207545			
GO_CHROMATIN	0.3378031263977101			
GO_NUCLEAR_CHROMOSOME	0.3376999778561575			
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.33758897943808747			
GSE10325_BCELL_VS_MYELOID_DN	0.3375131873618955			
GO_INTERLEUKIN_1_PRODUCTION	0.33719507243422137			
ZNF501_TARGET_GENES	0.33666101997411985			
GSE3982_MAST_CELL_VS_BASOPHIL_DN	0.3364047164607229			
