	Score	0.95 MoE	P-Value	Q-Value
IPA_HMGA2_UP	0.895258704457938			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.8932959042522775			
GO_NEGATIVE_REGULATION_OF_RECEPTOR_BIOSYNTHETIC_PROCESS	0.8827126430781913			
GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	0.8775935626363954			
GO_URETERIC_BUD_ELONGATION	0.8754084510093022			
GO_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	0.8748975867103658			
IPA_DLX2_UP	0.8748854213622437			
IPA_HOXC9_DN	0.8736100056380955			
KORKOLA_CHORIOCARCINOMA_DN	0.8725979125340678			
KORKOLA_EMBRYONAL_CARCINOMA_DN	0.8691379759272563			
GSE3982_EOSINOPHIL_VS_MAC_UP	0.8686109037230787			
GO_RECEPTOR_GUANYLYL_CYCLASE_SIGNALING_PATHWAY	0.8544029359971677			
GO_REGULATION_OF_EATING_BEHAVIOR	0.8543979715370495			
GO_METANEPHRIC_S_SHAPED_BODY_MORPHOGENESIS	0.8521058309324545			
GO_CATALYTIC_ACTIVITY_ACTING_ON_A_GLYCOPROTEIN	0.8518265990065587			
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	0.8492359221540894			
KORKOLA_SEMINOMA_DN	0.8488035998176015			
ZHOU_PANCREATIC_EXOCRINE_PROGENITOR	0.8467312409181441			
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	0.8442277961684052			
IPA_SRY_UP	0.8418890870600139			
GO_NEGATIVE_REGULATION_OF_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS	0.841418336267196			
IPA_MSX1_DN	0.8408471536849114			
GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	0.8398326309726162			
GO_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION	0.8391017618459221			
HNF1_C	0.8363565949980529			
GO_CARDIAC_MYOFIBRIL	0.8363179742344745			
GO_LYSINE_N_ACETYLTRANSFERASE_ACTIVITY_ACTING_ON_ACETYL_PHOSPHATE_AS_DONOR	0.832104478301709			
GO_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS	0.8317417196723296			
chr11p13	0.8316527523072547			
GO_PHOSPHATIDYLGLYCEROL_BIOSYNTHETIC_PROCESS	0.8298493059115799			
GO_CAMP_RESPONSE_ELEMENT_BINDING	0.8290465744902904			
ZNF707_TARGET_GENES	0.8279504308543117			
GO_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	0.8279300717474432			
GO_ARF_PROTEIN_SIGNAL_TRANSDUCTION	0.8230974879733058			
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	0.8209727589314588			
REACTOME_ESTROGEN_STIMULATED_SIGNALING_THROUGH_PRKCZ	0.8191389161182026			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_23	0.8164652200608128			
GO_ACETYLCHOLINE_RECEPTOR_BINDING	0.8161502487842628			
GO_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	0.8157502174457375			
chr11p11	0.8153232757151627			
REACTOME_RSK_ACTIVATION	0.8152601308992051			
GO_G_QUADRUPLEX_DNA_BINDING	0.8141614347975438			
GO_METANEPHROS_MORPHOGENESIS	0.8127116957874002			
IPA_ZIC3_DN	0.8109300424596444			
GO_PANCREAS_DEVELOPMENT	0.8107528518190121			
GO_AMINOACYLASE_ACTIVITY	0.8097202469943373			
VARELA_ZMPSTE24_TARGETS_DN	0.8083092035025263			
GO_MAINTENANCE_OF_ANIMAL_ORGAN_IDENTITY	0.8082771921877806			
GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION	0.80565147413072			
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	0.8056446733651853			
IPA_CTBP1_DN	0.8056386894560877			
GO_RIBOSOMAL_PROTEIN_S6_KINASE_ACTIVITY	0.8055752957883255			
GO_MICROTUBULE_ANCHORING_AT_CENTROSOME	0.8037719326092547			
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_LIPASE_ACTIVITY	0.8033702498008599			
IPA_EED_DN	0.8031832610913634			
