	Score	0.95 MoE	P-Value	Q-Value
LIU_SOX4_TARGETS_UP	0.48535234539320904			
WEIGEL_OXIDATIVE_STRESS_RESPONSE	0.4791245709611882			
MIR4776_5P	0.4773434997851024			
GO_NEURON_REMODELING	0.47524167902696385			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.46965818630563366			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.46575002090903705			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.4647241263763878			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.462896284588006			
PID_NECTIN_PATHWAY	0.46218572898691834			
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.4613493849110562			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.4609099968019903			
PID_AJDISS_2PATHWAY	0.4603771617653354			
GSE42021_TREG_VS_TCONV_PLN_DN	0.46034566069947225			
REACTOME_SIGNALING_BY_PTK6	0.46017287885830777			
LIU_CMYB_TARGETS_UP	0.4575526999214548			
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.45693932903647105			
MIR4308	0.45543105029880276			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.45503638976957916			
MIR92A_1_5P	0.4530317763440651			
RAF_UP.V1_DN	0.45186046469545804			
GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	0.4502869421734929			
MIR4791	0.4495431850091935			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.4488294264415437			
LIAO_METASTASIS	0.4485931525239713			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.44820592242720275			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.4478805186889827			
SIX4_TARGET_GENES	0.447732104275425			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.44745255740104006			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.4467853142939824			
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	0.44669510138299845			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.4466312846838935			
MIR3943	0.4464831985846578			
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	0.44612992686642766			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.4460892376895778			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_DN	0.4454424220781491			
HALMOS_CEBPA_TARGETS_DN	0.44543225398792524			
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.44521496419658213			
REACTOME_DISEASES_OF_GLYCOSYLATION	0.44507100274618416			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.444931781858787			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.4447803686013211			
TEF1_Q6	0.4434886311360892			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.4428587214970519			
GO_COSTAMERE	0.44285170981680366			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4427620423253228			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.4421141755158361			
ESC_J1_UP_LATE.V1_UP	0.4420940300837163			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.4418217038690775			
GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP	0.441761325859801			
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	0.4402435485094196			
PID_ERBB_NETWORK_PATHWAY	0.4400562983657969			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.4399901535605657			
GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.4399282164375974			
REACTOME_HS_GAG_DEGRADATION	0.4398947231011598			
GO_ENDOCARDIUM_DEVELOPMENT	0.4398284566946427			
HALLMARK_GLYCOLYSIS	0.4397914069326214			
WENDT_COHESIN_TARGETS_UP	0.43910443139181504			
LTE2_UP.V1_UP	0.438634291752076			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.4381116240174665			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.43796365417864097			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX3	0.437793692322904			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.43746127981871763			
SENESE_HDAC1_TARGETS_DN	0.43726849255237443			
KARLSSON_TGFB1_TARGETS_DN	0.4371215687813096			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.4366603745762774			
GO_ANCHORING_JUNCTION	0.4365763827212615			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.4364670370591092			
BIOCARTA_AGR_PATHWAY	0.4363282334440597			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.43618586025235934			
KIM_WT1_TARGETS_12HR_UP	0.43594933009774445			
GO_RESPIRATORY_SYSTEM_DEVELOPMENT	0.43589120073179327			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.4358294592301919			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.43582498377270035			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.4357740459422053			
SCHMAHL_PDGF_SIGNALING	0.43575676269364344			
CRX_NRL_DN.V1_DN	0.4355731300853955			
GO_REGULATION_OF_CELL_SUBSTRATE_ADHESION	0.4354856880781892			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.4353565160938634			
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	0.43446123848386			
REACTOME_SIGNALING_BY_ERBB2	0.43388480754268033			
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.4338094960225989			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.43360629484353097			
GO_LAMININ_BINDING	0.43332384026871484			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.43322653602506933			
QI_PLASMACYTOMA_DN	0.43308608822754946			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	0.43307507453179717			
GO_CELL_SUBSTRATE_ADHESION	0.43300073306992304			
FRASOR_RESPONSE_TO_ESTRADIOL_UP	0.4329640425927695			
KYNG_DNA_DAMAGE_BY_4NQO_OR_UV	0.4327697308193702			
GO_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION	0.4322493192178785			
GO_ADHERENS_JUNCTION	0.43206532718936586			
JIANG_HYPOXIA_NORMAL	0.4314102492178554			
KEGG_ADHERENS_JUNCTION	0.431143718279134			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.43097116730357204			
MIR142_3P	0.4306562815754372			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.4305379132167822			
GO_POSITIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS	0.4302410940102637			
GO_ACTIN_FILAMENT_BUNDLE	0.43021187542983624			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4301797108864662			
GENTILE_UV_RESPONSE_CLUSTER_D7	0.42982394259377915			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TAN_DN	0.42981046473112733			
MCBRYAN_PUBERTAL_BREAST_6_7WK_DN	0.4296556260436692			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.4294976341928336			
GO_CELL_CELL_JUNCTION	0.4294248968200736			
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.42824308756030205			
YAMAZAKI_TCEB3_TARGETS_UP	0.42817301600741076			
GO_CELL_MATRIX_ADHESION	0.42800428295724674			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.4276358138883578			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	0.4275677355250071			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.42735864141271757			
JIANG_TIP30_TARGETS_UP	0.427128451600371			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.42710555556981905			
GO_CELL_JUNCTION_ORGANIZATION	0.4269748920906014			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.4267087586085914			
GO_CELL_CORTEX	0.42670783854845984			
DOANE_RESPONSE_TO_ANDROGEN_DN	0.426598877711119			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4265850588052875			
TTGCWCAAY_CEBPB_02	0.42645880880070786			
PID_MET_PATHWAY	0.42642767908807777			
GO_CELL_DIVISION_SITE	0.4263110634147766			
GO_ACTIN_FILAMENT_BASED_PROCESS	0.4261829650887793			
GO_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY	0.42608043205708745			
GO_TISSUE_MIGRATION	0.4260399533143176			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.4258682258475203			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.4258512264570715			
GSE30083_SP2_VS_SP4_THYMOCYTE_UP	0.42549916338935495			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.42528222621785516			
CHIBA_RESPONSE_TO_TSA_UP	0.42525375637062457			
GO_GLYCOPROTEIN_COMPLEX	0.42520250101851587			
GOZGIT_ESR1_TARGETS_DN	0.42518550643603215			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.4251216856300747			
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE	0.42448755425127005			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.42418233860809			
HALLMARK_PROTEIN_SECRETION	0.424155464963406			
