	Score	0.95 MoE	P-Value	Q-Value
GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP	0.6876557343312718			
GO_T_HELPER_1_CELL_CYTOKINE_PRODUCTION	0.6823315116334758			
BIOCARTA_CYTOKINE_PATHWAY	0.6804289855032936			
GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP	0.6783000902573271			
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	0.6710299899096137			
RAY_ALZHEIMERS_DISEASE	0.6707867006091824			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	0.6657467381106933			
FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_UP	0.6645204477074896			
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP	0.6639822437398292			
GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_DN	0.6623928233530941			
GO_HEAT_GENERATION	0.6612563469016485			
KRAS.LUNG.BREAST_UP.V1_UP	0.6600065817383676			
GO_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR	0.6591597330264923			
KRAS.600.LUNG.BREAST_UP.V1_UP	0.6583601807852923			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP	0.655175309977746			
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	0.6548662057038186			
FUJIWARA_PARK2_IN_LIVER_CANCER_DN	0.6545960380073532			
MIR571	0.6533128942581753			
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP	0.6521033134388735			
GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_DN	0.6506580015466723			
GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_UP	0.6502728237574387			
GO_POSITIVE_REGULATION_OF_P38MAPK_CASCADE	0.6496557096094866			
GSE11367_CTRL_VS_IL17_TREATED_SMOOTH_MUSCLE_CELL_DN	0.6496123853064584			
MIR6830_5P	0.6486886464262452			
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN	0.6483558253939439			
GHANDHI_BYSTANDER_IRRADIATION_UP	0.6441341309335414			
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP	0.6424563996504036			
GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_DN	0.6407028706237198			
GO_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE	0.638427571689293			
GO_FEVER_GENERATION	0.638204718533475			
GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_NAIVE_CD8_TCELL_UP	0.6372343871030777			
IPA_FUS_DN	0.637224042695268			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	0.6371251071561418			
