	Score	0.95 MoE	P-Value	Q-Value
GSE34156_UNTREATED_VS_6H_NOD2_LIGAND_TREATED_MONOCYTE_DN	0.5835649569009195			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_DN	0.577961492144946			
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	0.577348947130933			
STTTCRNTTT_IRF_Q6	0.5728341115403989			
BROWNE_INTERFERON_RESPONSIVE_GENES	0.5681829727977643			
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	0.5658303161916818			
GSE22589_HEALTHY_VS_HIV_INFECTED_DC_DN	0.564731021956823			
IPA_IRF7_UP	0.5630717260144937			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_DN	0.5620466367132145			
GO_RESPONSE_TO_INTERFERON_GAMMA	0.5612157525882415			
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	0.5587178397224124			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.5579448426470786			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN	0.5577983222273676			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.5574772598785077			
GSE17721_PAM3CSK4_VS_GADIQUIMOD_12H_BMDC_DN	0.5570164939297981			
REACTOME_INTERFERON_GAMMA_SIGNALING	0.5567149861585672			
GSE22589_HEALTHY_VS_SIV_INFECTED_DC_DN	0.5563376472602013			
SANA_RESPONSE_TO_IFNG_UP	0.5551103709494698			
GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP	0.5541081113217204			
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP	0.5531223809005467			
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	0.5529120606755715			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN	0.5521974953433139			
IPA_IRF1_UP	0.5521626758661565			
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_DN	0.5518504936194225			
GSE34156_UNTREATED_VS_6H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN	0.5515910690073302			
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5499448120863365			
GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN	0.5494379814554665			
GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_DN	0.5493816168022494			
ICSBP_Q6	0.5486363019794137			
GSE1432_1H_VS_24H_IFNG_MICROGLIA_DN	0.5485293195971972			
GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP	0.5483870468287083			
GSE2706_2H_VS_8H_R848_STIM_DC_DN	0.5467763786618736			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_48H_ACT_CD4_TCELL_DN	0.546517052192695			
RPS14_DN.V1_UP	0.5463431049488535			
GSE43863_NAIVE_VS_MEMORY_TH1_CD4_TCELL_D150_LCMV_UP	0.5459194116998474			
GSE14000_UNSTIM_VS_4H_LPS_DC_DN	0.5453030935169246			
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	0.544624649941377			
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	0.5445388157432157			
REACTOME_INTERFERON_SIGNALING	0.5441368117099523			
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	0.5439255227382359			
GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP	0.542373513425484			
GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP	0.5419871594951228			
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.5415112325371676			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	0.5411829282639458			
GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP	0.5409933704697032			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN	0.54005564891544			
GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_UP	0.5390248152097823			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN	0.5379494748857658			
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP	0.5375282123518035			
GSE2706_2H_VS_8H_LPS_STIM_DC_DN	0.5364637433438758			
GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP	0.5362621206581508			
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	0.5356604141377194			
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN	0.535204075553523			
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	0.5350744938151615			
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	0.5349842746927207			
MOSERLE_IFNA_RESPONSE	0.5347826498855046			
GO_REGULATION_OF_LEUKOCYTE_MIGRATION	0.5336715045229949			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	0.5330352939006681			
GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP	0.5329388000466063			
GSE7219_WT_VS_NIK_NFKB2_KO_LPS_AND_ANTI_CD40_STIM_DC_DN	0.5328926413454969			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_SECRETION	0.532478040829369			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.5324447954434444			
GSE21380_NON_TFH_VS_TFH_CD4_TCELL_UP	0.5323208922928312			
IRF1_01	0.5319918715604418			
GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN	0.5319336573168519			
IRF2_01	0.5315704043223258			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_DN	0.5315259429452017			
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	0.5300659543182754			
GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP	0.5295596411571853			
GO_REGULATION_OF_INTERLEUKIN_1_SECRETION	0.5294442400040642			
GO_INTERLEUKIN_1_SECRETION	0.5294307665456097			
IRF_Q6	0.5293601939226765			
GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP	0.5293142156688235			
GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP	0.528767583779649			
DER_IFN_ALPHA_RESPONSE_UP	0.528750787234737			
GO_DEFENSE_RESPONSE_TO_VIRUS	0.5286552454189808			
RODWELL_AGING_KIDNEY_UP	0.5274526493447349			
IPA_NFATC2_UP	0.5271995915364553			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_DN	0.5270695753462165			
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_DN	0.5269037622140734			
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	0.5259302778318623			
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_3H_UP	0.5255984588413242			
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	0.5252448468424834			
GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	0.5249722491111498			
