	Score	0.95 MoE	P-Value	Q-Value
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN	0.47435714552648534			
GO_MAINTENANCE_OF_DNA_METHYLATION	0.4670151036026918			
PRC2_EED_UP.V1_DN	0.45609810938427925			
GO_NUCLEOSOMAL_HISTONE_BINDING	0.4543762941379184			
MORI_PRE_BI_LYMPHOCYTE_UP	0.44687698443012924			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_DN	0.44405224858881737			
GO_METHYLATED_HISTONE_BINDING	0.4427164882798366			
GOLUB_ALL_VS_AML_UP	0.4405377588540319			
GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_UP	0.4398894698644179			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.43820124052983705			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.43812723197208703			
PUJANA_BRCA2_PCC_NETWORK	0.43613006744935456			
REACTOME_DNA_METHYLATION	0.43417818007521314			
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS	0.4329371502724612			
HADDAD_B_LYMPHOCYTE_PROGENITOR	0.43214670039849123			
GO_CHROMATIN_REMODELING	0.43156618056191554			
GO_P53_BINDING	0.4309283562524362			
WAKASUGI_HAVE_ZNF143_BINDING_SITES	0.4301606189963567			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.43009949061948916			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.42923445131436744			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.4287411270229009			
GO_DNA_TOPOLOGICAL_CHANGE	0.4284297832286025			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.427295676225153			
KAUFFMANN_DNA_REPAIR_GENES	0.4264135886989871			
GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA2_STIM_CD8_TCELL_UP	0.4262292481124213			
ABRAMSON_INTERACT_WITH_AIRE	0.4259976399921933			
GO_BASE_EXCISION_REPAIR	0.4255775090511452			
GO_CHROMATIN_ORGANIZATION	0.4245069620537085			
GO_RESPONSE_TO_LIGHT_STIMULUS	0.42420941835987547			
GSE21927_UNTREATED_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	0.42386154375956764			
KTGGYRSGAA_UNKNOWN	0.42369582472806394			
PUJANA_BRCA_CENTERED_NETWORK	0.4232138955340187			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.422766228759797			
GO_EPSILON_DNA_POLYMERASE_COMPLEX	0.42222782193258207			
PUJANA_XPRSS_INT_NETWORK	0.42161747027207896			
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	0.42121336246099755			
IPA_ID3_DN	0.42069580033273424			
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	0.4179159128253178			
GO_COVALENT_CHROMATIN_MODIFICATION	0.41787945153624134			
GO_HETEROCHROMATIN	0.41766434998809426			
GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_DN	0.41608647122530723			
GO_IMMATURE_B_CELL_DIFFERENTIATION	0.41556189748998545			
BIOCARTA_HSWI_SNF_PATHWAY	0.41529268168183536			
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS	0.41440040172456916			
GO_NUCLEAR_MATRIX	0.41410450427966544			
GO_G0_TO_G1_TRANSITION	0.4140805772361969			
GO_HISTONE_UBIQUITINATION	0.4134090877248792			
MORI_IMMATURE_B_LYMPHOCYTE_DN	0.4129875599238526			
LEE_EARLY_T_LYMPHOCYTE_UP	0.4128465679208208			
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN	0.4128325998464917			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.412563440032778			
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	0.41252169932361155			
GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN	0.41219644108772463			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.41186209569234483			
E2F_Q6_01	0.4111302323715438			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	0.4109642581215651			
BIOCARTA_VDR_PATHWAY	0.4108690380252224			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.41086044000386435			
GRESHOCK_CANCER_COPY_NUMBER_UP	0.4104244552493332			
GO_REGULATION_OF_DNA_TOPOISOMERASE_ATP_HYDROLYZING_ACTIVITY	0.4096107932193842			
GO_HISTONE_MONOUBIQUITINATION	0.4095026017055224			
GO_NPBAF_COMPLEX	0.4094528864922603			
