	Score	0.95 MoE	P-Value	Q-Value
PID_REELIN_PATHWAY	0.5223339120770989			
KRIEG_HYPOXIA_NOT_VIA_KDM3A	0.48555773242589906			
MIR4255	0.48354668632204895			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	0.4819292649070845			
MIR520G_3P_MIR520H	0.47595082525067756			
PID_LIS1_PATHWAY	0.47170654948679536			
MIR5002_5P	0.467516445675731			
ATGAAGG_MIR205	0.4668934393063938			
GO_FILOPODIUM	0.46297139378867447			
GO_PROTEIN_HYDROXYLATION	0.4610580730890102			
GO_L_ASCORBIC_ACID_BINDING	0.46014960314523407			
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	0.4593100574875899			
GO_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.4572279920938533			
GO_CYTOSKELETAL_PROTEIN_BINDING	0.4548270354279823			
GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	0.4543054023967408			
BIOCARTA_PRION_PATHWAY	0.45396433944216114			
RAMPON_ENRICHED_LEARNING_ENVIRONMENT_LATE_UP	0.4535534727983914			
GO_RETINA_VASCULATURE_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	0.4531030036680988			
MIR429	0.4530658586798945			
MIR200B_3P	0.4529769605042392			
MIR200C_3P	0.452779147256482			
COWLING_MYCN_TARGETS	0.4517184739493866			
IKEDA_MIR133_TARGETS_UP	0.45167370586200983			
GTGCCAA_MIR96	0.45138656553582546			
CAGTATT_MIR200B_MIR200C_MIR429	0.4512694700019612			
GO_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE	0.45090232337197067			
KAN_RESPONSE_TO_ARSENIC_TRIOXIDE	0.45084540382939975			
GO_KINESIN_BINDING	0.4498693612552668			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.4491523423938561			
IPA_MYCN_DN	0.4482437832516223			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.44775719467152064			
MIR146A_3P	0.44627981765463987			
BIOCARTA_NPP1_PATHWAY	0.4460723694095761			
GO_TELENCEPHALON_GLIAL_CELL_MIGRATION	0.44600267424186324			
GO_GLIAL_CELL_MIGRATION	0.4438168558480497			
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.4436236241720378			
IPA_HIC1_DN	0.4431947055498718			
GO_FOREBRAIN_CELL_MIGRATION	0.44306219892353815			
GO_PEPTIDYL_PROLINE_HYDROXYLATION	0.44283097344568195			
F10_TARGET_GENES	0.44263253308038586			
GROSS_HYPOXIA_VIA_HIF1A_ONLY	0.44247108040594985			
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	0.4421505898090935			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	0.44087975028681575			
SWEET_KRAS_TARGETS_UP	0.44056901637573215			
GO_CEREBRAL_CORTEX_CELL_MIGRATION	0.4402787180737785			
POS_HISTAMINE_RESPONSE_NETWORK	0.4394638391325573			
MIR148B_3P	0.4392017035312921			
MIR148A_3P	0.43880510847887627			
MIR152_3P	0.43878193796484205			
CORDENONSI_YAP_CONSERVED_SIGNATURE	0.43867604293515855			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN	0.4385139165084108			
MIR20A_5P	0.438435855984485			
GO_ENDOPLASMIC_RETICULUM_LUMEN	0.438091707642309			
MIR519D_3P	0.4379741182489353			
MIR93_5P	0.4377718065885079			
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_DN	0.4377191333455789			
MIR106B_5P	0.4372723146970417			
MIR20B_5P	0.43704246566483274			
GO_ION_CHANNEL_BINDING	0.43683598176545496			
MIR17_5P	0.43667964230225487			
GO_BASEMENT_MEMBRANE_COLLAGEN_TRIMER	0.4366086770363143			
GRYDER_PAX3FOXO1_TOP_ENHANCERS	0.4364391826535296			
ELVIDGE_HIF1A_TARGETS_DN	0.43639612311661186			
BIOCARTA_VITCB_PATHWAY	0.43631164780892545			
MIR106A_5P	0.43628557871593976			
GO_PROCOLLAGEN_PROLINE_DIOXYGENASE_ACTIVITY	0.4358196902074221			
MIR526B_3P	0.4355750266290333			
KANG_AR_TARGETS_UP	0.4353603006403483			
GO_PEPTIDYL_LYSINE_HYDROXYLATION	0.435354674177125			
MIR3714	0.4344591334671912			
GO_COLLAGEN_TYPE_IV_TRIMER	0.4339304437826522			
BIOCARTA_REELIN_PATHWAY	0.43381027246142084			
ACATTCC_MIR1_MIR206	0.4336322619867704			
LU_EZH2_TARGETS_DN	0.4335739247395027			
GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY	0.43356634394819366			
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	0.4335063017661662			
MIR9_5P	0.4331824320769508			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.43306558046296306			
ACCAAAG_MIR9	0.4327680153183536			
GSE6259_CD4_TCELL_VS_CD8_TCELL_UP	0.4327450255187203			
ONDER_CDH1_TARGETS_2_UP	0.43214595478247325			
GO_DENDRITE_DEVELOPMENT	0.4310807473325011			
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.43106131558944755			
MIR12133	0.4308844516745594			
GO_PEPTIDYL_PROLINE_DIOXYGENASE_ACTIVITY	0.43066877946183696			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.4306358565556098			
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.4306101217116023			
TGCCTTA_MIR124A	0.4305972247861374			
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	0.43055163429733107			
MIR3121_3P	0.43046080198003006			
GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_DN	0.43036166851421426			
LIM_MAMMARY_LUMINAL_MATURE_DN	0.42968422136526174			
TCF11_01	0.42966953414047504			
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_DN	0.42948477047291317			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4285602165064382			
GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.4284436757058669			
MANALO_HYPOXIA_UP	0.4275254655320015			
HE_PTEN_TARGETS_UP	0.4275238283643468			
SENESE_HDAC1_TARGETS_DN	0.4271883761608472			
MARCHINI_TRABECTEDIN_RESISTANCE_DN	0.4271862973952449			
GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS	0.427100970898517			
REACTOME_L1CAM_INTERACTIONS	0.4270553148091383			
CHEBOTAEV_GR_TARGETS_DN	0.42699065308073314			
GO_LAMELLIPODIUM	0.4269125485032102			
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.4269050662535954			
MIR4749_3P	0.4266622124115214			
MIR376A_3P_MIR376B_3P	0.42664038652119407			
CACTTTG_MIR520G_MIR520H	0.42642990518042595			
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.4261226867400434			
GO_POSITIVE_REGULATION_OF_AXON_EXTENSION	0.425872029174968			
GO_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	0.4256257733753998			
GO_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION	0.4255146382492723			
GSE26030_UNSTIM_VS_RESTIM_TH1_DAY5_POST_POLARIZATION_UP	0.42517788203308204			
GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_DN	0.4249960398080944			
CLAUS_PGR_POSITIVE_MENINGIOMA_DN	0.4249890601372957			
MIR4269	0.4247098809452031			
MIR6846_3P	0.42435758205963325			
MIR1271_5P	0.4241927256833677			
MIR646	0.42410581427392613			
GO_CELL_PROJECTION_ASSEMBLY	0.4239376031276574			
GO_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_BINDING	0.42392142408417577			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.42379568325066763			
MIR96_5P	0.4237789716457905			
HUANG_FOXA2_TARGETS_UP	0.4237715962832952			
