	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_RNA_SPLICING	0.4816150052353816			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.48062415436744366			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.47334481403632356			
GO_CHROMATIN_REMODELING	0.47201234344546245			
GO_CHROMATIN_BINDING	0.4630484267221089			
GO_P53_BINDING	0.4573474917922044			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.45702309611753067			
GO_CHROMATIN_ORGANIZATION	0.4566123935411062			
GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	0.45448907075445255			
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	0.45403161146539317			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.4532307251431126			
GO_REGULATION_OF_MRNA_PROCESSING	0.45302874779630997			
GO_HISTONE_METHYLATION	0.4526336349593472			
GO_CHROMATIN_DNA_BINDING	0.45097041090953505			
ABRAMSON_INTERACT_WITH_AIRE	0.4505303170823823			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.45023277555630076			
GO_G0_TO_G1_TRANSITION	0.4498384180702425			
GO_NUCLEOSOME_ORGANIZATION	0.44717032373798815			
GO_REGULATION_OF_HISTONE_METHYLATION	0.4450669670087796			
GO_H4_HISTONE_ACETYLTRANSFERASE_ACTIVITY	0.4433758087679678			
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.4432223834785033			
GO_NPBAF_COMPLEX	0.44206067987319136			
GTGGTGA_MIR197	0.44168793584122545			
GO_CHROMO_SHADOW_DOMAIN_BINDING	0.4416281510963054			
GO_ATPASE_COMPLEX	0.44084665582443167			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.4403335494065282			
GO_DNA_HELICASE_ACTIVITY	0.440317147447491			
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	0.43858121568304903			
GO_PEPTIDYL_LYSINE_METHYLATION	0.4381954283043679			
E2F_Q3_01	0.4381834414608653			
GO_RNA_SPLICING	0.4381470937940937			
GO_REGULATION_OF_CHROMATIN_ORGANIZATION	0.4381432645479618			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.4370707504350012			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.43538741078878923			
GO_PROTEIN_METHYLATION	0.43518010091665005			
E2F_03	0.43513645422100594			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.4348240820628953			
GO_CHROMOSOME_ORGANIZATION	0.43461337557913443			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.4338515933767857			
E2F1_Q4_01	0.4337786050410116			
PUJANA_XPRSS_INT_NETWORK	0.4334799222903229			
GO_MRNA_PROCESSING	0.43289817099857136			
GO_MIRNA_BINDING	0.4312628060912589			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.4308850428262246			
PUJANA_BRCA_CENTERED_NETWORK	0.4306818345972128			
GO_DNA_PACKAGING	0.4304120435709236			
GO_DAMAGED_DNA_BINDING	0.4303951161005689			
GO_HISTONE_H4_K16_ACETYLATION	0.43023847878844573			
REACTOME_MRNA_SPLICING	0.4301109490677311			
GO_METHYLATED_HISTONE_BINDING	0.42969163189720994			
E2F_Q6_01	0.4296757483913263			
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.42956722583261436			
GO_CHROMATIN_DISASSEMBLY	0.4295127258089991			
GO_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.4289499677669934			
GO_DNA_POLYMERASE_BINDING	0.4283314313927866			
GO_PARASPECKLES	0.42812748500797876			
E2F1DP1RB_01	0.4273391396745677			
GO_HISTONE_H4_ACETYLATION	0.4272113175915137			
GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION	0.4267758330902923			
GO_SWI_SNF_COMPLEX	0.4264567880051509			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.4262391384348519			
MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_6	0.4260294000512201			
GO_MRNA_EXPORT_FROM_NUCLEUS	0.42584053108796815			
GO_HISTONE_H3_K4_METHYLATION	0.4255977574981455			
GO_DNA_CONFORMATION_CHANGE	0.42517902500119475			
BIOCARTA_PRC2_PATHWAY	0.425101539854421			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.4250860928872254			
GO_NUCLEAR_CHROMOSOME	0.4246463792653069			
