	Score	0.95 MoE	P-Value	Q-Value
KRAS.600.LUNG.BREAST_UP.V1_DN	0.5952607724947823			
KRAS.LUNG.BREAST_UP.V1_DN	0.5711436316909198			
HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_UP	0.5702913365144526			
GO_POSITIVE_REGULATION_OF_HISTONE_UBIQUITINATION	0.5683561231896948			
IVANOVA_HEMATOPOIESIS_STEM_CELL_SHORT_TERM	0.5649306708658717			
MIR4469	0.5625416192024988			
IPA_TFDP2_UP	0.5609135184618923			
GO_HARD_PALATE_DEVELOPMENT	0.5599497084047823			
GO_BONE_MATURATION	0.5483528703060663			
GO_ANIMAL_ORGAN_MATURATION	0.5477586042142103			
GGCAGTG_MIR3243P	0.5443242242083034			
IPA_SOX11_UP	0.5435968496828323			
IPA_NFAT5_UP	0.5414479313201849			
GO_SOFT_PALATE_DEVELOPMENT	0.5391409898062096			
AP2GAMMA_01	0.5390060019127421			
AP2_Q6_01	0.5375426611631178			
GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP	0.5348935121545725			
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN	0.532672167463736			
MIR1915_3P	0.5303186299710537			
RAFFEL_VEGFA_TARGETS_UP	0.5300922877088322			
GO_SECONDARY_PALATE_DEVELOPMENT	0.527521408414992			
GO_AZOLE_TRANSMEMBRANE_TRANSPORT	0.5251204884038402			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_DN	0.5229710586072333			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.5214480256944424			
HALLMARK_KRAS_SIGNALING_DN	0.5185446395945476			
GO_3M_COMPLEX	0.5181412927186627			
PAX5_01	0.5173712220132778			
AAAGGAT_MIR501	0.5168731292776818			
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.516618168795545			
MIR6799_5P	0.5155997909910625			
GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_DN	0.5154375808629722			
MIR6090	0.5149769411139767			
IPA_MYOCD_UP	0.514649761194564			
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.5135995516934765			
AP2_Q6	0.5106288359064146			
HUMMEL_BURKITTS_LYMPHOMA_UP	0.5104074110352765			
ETF_Q6	0.5103598824344342			
MIR4758_3P	0.5097195377149087			
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FGF3	0.5096485674899768			
WHITEHURST_PACLITAXEL_SENSITIVITY	0.5094351903060611			
GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE	0.5091208849661171			
AP2REP_01	0.5087140722519796			
MIR95_3P	0.5080246086496737			
MIR4713_5P	0.5077711873792644			
IPA_HLF_UP	0.5069934251714355			
RORA1_01	0.5062240732352191			
GO_REGULATION_OF_HISTONE_H2B_UBIQUITINATION	0.5034747453823003			
PBRM1_TARGET_GENES	0.5028505754596757			
PLASARI_NFIC_TARGETS_BASAL_DN	0.5027041135370325			
GO_FIBROBLAST_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.501277594313517			
MEDINA_SMARCA4_TARGETS	0.5011771206157964			
GO_REGULATION_OF_STEM_CELL_DIVISION	0.5002718780845448			
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	0.4996540021205206			
BMI1_DN.V1_DN	0.49917409752575687			
POU6F1_01	0.49869093793791547			
SOX11_TARGET_GENES	0.49817038516385376			
MIR5588_3P	0.4980417776564604			
MIR1205	0.49745609173050315			
GO_DENTATE_GYRUS_DEVELOPMENT	0.49697273960735905			
GO_ACYL_CARNITINE_TRANSPORT	0.4956264241510228			
GO_ACYL_CARNITINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.4956264241510228			
GO_REGULATION_OF_HISTONE_UBIQUITINATION	0.49555757020700303			
BMI1_DN_MEL18_DN.V1_DN	0.4949621336467502			
MIR4747_5P	0.4948329496073746			
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	0.4931938068210648			
