	Score	0.95 MoE	P-Value	Q-Value
MIR6813_5P	0.6435165476362902			
MIR6085	0.6310965684223554			
GR_Q6	0.6214724848192215			
GO_REGULATION_OF_SNARE_COMPLEX_ASSEMBLY	0.6185113442115593			
IPA_SMARCD2_UP	0.6178977022426231			
IPA_ZFP36L1_UP	0.6178977022426231			
IPA_FOXH1_UP	0.6178977022426231			
IPA_LDB2_UP	0.6178977022426231			
IPA_SIN3B_UP	0.6178977022426231			
IPA_TERF1_UP	0.6178977022426231			
IPA_ARID1A_UP	0.6178977022426231			
CREBP1_01	0.6177134389571444			
BRN2_01	0.6143236502354711			
GO_SNARE_COMPLEX_ASSEMBLY	0.6132778158425356			
MIR612	0.6094910746820614			
STAT_Q6	0.6090460156963781			
MIR3187_5P	0.6086086980073283			
MIR552_3P	0.6047175573835157			
CATTTCA_MIR203	0.6028720780878447			
MIR6860	0.6027399308887031			
MIR3667_3P	0.6025259054012464			
MIR6889_3P	0.6022773589580399			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.6018084915737332			
MIR4701_5P	0.6017175070803464			
MIR4753_5P	0.6016759163459527			
GO_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION	0.6015528393865939			
MIR6789_5P	0.5991287407738649			
IPA_NR2C1_UP	0.5988276248635953			
MIR588	0.5985066464260417			
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.5977236419086294			
MIR4646_5P	0.5976989689794383			
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_UP	0.5941285784831822			
MIR204_3P	0.5932812899000678			
YTATTTTNR_MEF2_02	0.5923942705898219			
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	0.5923238982951455			
IPA_TFEB_UP	0.5915903235726274			
MIR3184_3P	0.5889674800393181			
MIR4650_5P	0.5877441451329822			
TAGCTTT_MIR9	0.5872572208165561			
TCTATGA_MIR376A_MIR376B	0.5863181165505972			
TGCTTTG_MIR330	0.5856523629624143			
REACTOME_OPIOID_SIGNALLING	0.5855774520795053			
MIR6772_3P	0.5850659700868217			
MIR5189_5P	0.5836590073618909			
GCAAGGA_MIR502	0.5827005922993435			
AGCGCTT_MIR518F_MIR518E_MIR518A	0.5826658733325223			
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	0.5823004575144769			
MIR6080	0.5818134672171472			
MIR5580_5P	0.580137503549296			
MIR34A_5P	0.5793594818913952			
MODY_HIPPOCAMPUS_POSTNATAL	0.5790661854198251			
MIR449A	0.5790450590700426			
MIR449B_5P	0.5780496814640452			
KOINUMA_COLON_CANCER_MSI_UP	0.5780222578185575			
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.5775632073139952			
MIR3142	0.5761073221007963			
MIR548AU_3P	0.5756252347097798			
GO_COGNITION	0.5747011107972162			
MIR640	0.5735357627519453			
GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.5732961282690233			
GO_HETEROTRIMERIC_G_PROTEIN_COMPLEX	0.5721790472670951			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_ASCORBATE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	0.5718764163456331			
GO_POSITIVE_REGULATION_OF_MYELINATION	0.5713057350792046			
GO_G_PROTEIN_COUPLED_SEROTONIN_RECEPTOR_BINDING	0.5706408642009831			
REACTOME_RUNX3_REGULATES_NOTCH_SIGNALING	0.5693077894275744			
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0.5685153069741871			
GO_PARANODAL_JUNCTION_ASSEMBLY	0.5681485584809817			
MIR1285_3P	0.5679963994779145			
STAT6_01	0.5679883895532644			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.5676095063375479			
MIR6864_3P	0.5674524265894393			
IPA_LRRFIP1_UP	0.5666436837851113			
MIR4659B_5P	0.5660455565025378			
S8_01	0.5659914297048168			
IPA_ELK4_UP	0.5651890054780441			
KRAS.KIDNEY_UP.V1_UP	0.5646651778753639			
GO_TRANS_GOLGI_NETWORK	0.5644143867658018			
REACTOME_G_PROTEIN_ACTIVATION	0.5643011463178932			
OCT1_07	0.5641977784303772			
MIR5193	0.5640699089736095			
MIR10399_5P	0.5629597679154625			
FREAC2_01	0.5628436991523845			
MIR4533	0.5627218038164035			
GO_POSITIVE_REGULATION_OF_URINE_VOLUME	0.5627024075410387			
OCT1_03	0.5609060238244922			
GO_PHOSPHODIESTERASE_I_ACTIVITY	0.5608086949235732			
ACATATC_MIR190	0.5606523897693978			
GO_RESPONSE_TO_FORSKOLIN	0.5596583358799179			
MIR6077	0.5595190734939839			
MIR147B_5P	0.5584937684437666			
REACTOME_SEMAPHORIN_INTERACTIONS	0.5582680171460451			
ZNF140_TARGET_GENES	0.5581880747867769			
GO_PIGMENT_GRANULE	0.5579869649955077			
MIR4661_3P	0.5576995522877952			
MIR18A_5P_MIR18B_5P	0.5569217339273389			
GO_MELANOCYTE_DIFFERENTIATION	0.5561709314685445			
GO_DYSTROGLYCAN_COMPLEX	0.5560891860621654			
GO_ETHANOLAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.555589574718382			
AR_Q2	0.5552596745986682			
MIR513A_5P	0.55426705611549			
MIR4688	0.5542122885584926			
CTTTGCA_MIR527	0.554106920811582			
GSE5142_CTRL_VS_HTERT_TRANSDUCED_CD8_TCELL_EARLY_PASSAGE_CLONE_UP	0.5539160756919514			
GO_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.5537178671103733			
MIR4480	0.553680396392415			
RRAGTTGT_UNKNOWN	0.5533019006776425			
GO_CALCIUM_ION_IMPORT_INTO_CYTOSOL	0.5532164296026323			
GO_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS	0.553161773837044			
GO_PHAGOSOME_ACIDIFICATION	0.5531576857289552			
GO_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION_INVOLVED_IN_INACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.5531278798382134			
REACTOME_G_PROTEIN_MEDIATED_EVENTS	0.5528894880272995			
MIR6771_3P	0.5527005489768081			
GO_ENSHEATHMENT_OF_NEURONS	0.5519378635569341			
HALLMARK_HEDGEHOG_SIGNALING	0.5516917527995429			
MIR222_5P	0.5516002139968084			
GO_PARANODE_REGION_OF_AXON	0.5513506576775727			
GO_SCHWANN_CELL_PROLIFERATION	0.5513423385581366			
MIR183_5P	0.5512251487518489			
MIR1245B_5P	0.5508468543748355			
GSE21927_SPLEEN_VS_BONE_MARROW_MONOCYTE_BALBC_UP	0.550182930383493			
GO_PIGMENTATION	0.5499891345929017			
DBP_Q6	0.5497871900540011			
MEF2_04	0.5489622395590836			
MIR4261	0.5487827697851774			
ATGTACA_MIR493	0.5487413938684806			
GO_PIGMENT_CELL_DIFFERENTIATION	0.5484454567013741			
MIR623	0.5484142391032742			
HAND1E47_01	0.5483277788114806			
MIR6134	0.5476105871144745			
MIR4430	0.5475707806328819			
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.5474033499371515			
MIR34C_5P	0.5473160018838737			
MIR330_3P	0.5473054658440816			
MIR6504_3P	0.5470539121075537			
BIOCARTA_EPONFKB_PATHWAY	0.5469347596248333			
NKX62_Q2	0.5469236213551305			
GO_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS	0.5465894513372156			
MIR4429	0.5465450696175851			
GO_REGULATION_OF_PROTEIN_SUMOYLATION	0.546544097910241			
MIR6743_5P	0.5464399892792658			
MIR4742_5P	0.5463852043475355			
MIR128_3P	0.5463606689441645			
GO_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	0.5462822583421838			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN	0.54608092625602			
GO_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	0.5460499230281688			
MIR507	0.5460445340336216			
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	0.545881723558456			
GO_PRESYNAPTIC_ACTIVE_ZONE	0.5457651748926684			
GO_TRANSPORT_VESICLE_MEMBRANE	0.5457223493353722			
CEBPA_01	0.5452229287296309			
GO_GANGLION_DEVELOPMENT	0.5448504886907786			
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	0.5447988705915985			
RSRFC4_01	0.5445601937037124			
GO_MULTIVESICULAR_BODY_MEMBRANE	0.5444904062937627			
MIR142_3P	0.5444644380762214			
GO_CEREBRAL_CORTEX_CELL_MIGRATION	0.5443341678037619			
MIR548B_3P	0.544205965433128			
ACAACTT_MIR382	0.5440820321589385			
TATTATA_MIR374	0.5436872266866387			
GO_RECEPTOR_LOCALIZATION_TO_SYNAPSE	0.5435649676400406			
GO_NEURON_PROJECTION	0.5434470389703047			
MIR3714	0.5433919380975503			
SILIGAN_TARGETS_OF_EWS_FLI1_FUSION_UP	0.5432027911333615			
MIR4524B_3P	0.5431552937151313			
MIR7111_3P	0.542871978515349			
FREAC4_01	0.5427925180901767			
MIR6845_5P	0.5425738424596986			
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	0.5423706202222154			
GO_ADENYLATE_CYCLASE_BINDING	0.5421459305502803			
IPA_TFE3_UP	0.5420657191369086			
IPA_KAT2B_DN	0.5418209026641131			
GO_RESPONSE_TO_IRON_II_ION	0.5413958350904928			
MIR216A_3P	0.541273312016983			
RYAAAKNNNNNNTTGW_UNKNOWN	0.5412134889051942			
MIR6882_3P	0.5411526710523983			
PTF1BETA_Q6	0.5411174897552334			
GO_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	0.5411173684687232			
MIR7152_5P	0.541068747724629			
MIR4435	0.5409595606530972			
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	0.5407620780110747			
MIR452_3P	0.5395187159909657			
ACCAAAG_MIR9	0.5394154049012273			
AAGCACA_MIR218	0.5393880127667388			
MIR4325	0.539001300860327			
CACTGCC_MIR34A_MIR34C_MIR449	0.5389021437131649			
TATCTGG_MIR488	0.538830342693943			
TCF11_01	0.5388301391585262			
GO_MELANOSOME_MEMBRANE	0.5385275753528618			
E4BP4_01	0.5385155459719511			
MIR4265	0.5384974400431066			
GO_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	0.5384689850977891			
GO_LONG_TERM_SYNAPTIC_POTENTIATION	0.5383296638572622			
MIR152_3P	0.5381785768219252			
MIR4268	0.53814789878167			
MIR320A_3P_MIR320B_MIR320C_MIR320D	0.5379814490143882			
GO_DENDRITIC_TREE	0.5379573498329426			
MIR4322	0.5379360397220704			
MIR3672	0.5377839030392004			
MIR7_5P	0.537431010463073			
REACTOME_INSULIN_PROCESSING	0.5373855195853207			
SRY_02	0.5373825709917045			
AAGCCAT_MIR135A_MIR135B	0.5373571468880184			
GO_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	0.5372551352532258			
MIR148B_3P	0.5369943692089001			
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	0.5369840554025023			
CTGRYYYNATT_UNKNOWN	0.5368178804333685			
ONKEN_UVEAL_MELANOMA_DN	0.5367517359640159			
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.5365794371869792			
ACCAATC_MIR509	0.5364198934246259			
GO_REGULATION_OF_VASCULOGENESIS	0.5362340704526329			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_UP	0.5360316338384209			
MIR499B_3P	0.5359442605849253			
GR_01	0.5358884492415659			
TTAYRTAA_E4BP4_01	0.5357772608785906			
MIR505_5P	0.5356556633476581			
SOX10_TARGET_GENES	0.535380082913986			
GO_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT	0.5353195400489962			
MIR148A_3P	0.5351719145343714			
GO_FOREBRAIN_CELL_MIGRATION	0.5350726429527227			
GO_CAMP_BINDING	0.534806457970632			
MIR101_3P	0.5346571998755392			
GO_PIGMENT_GRANULE_ORGANIZATION	0.5346562466966687			
TCANNTGAY_SREBP1_01	0.5345484805785234			
GO_POSITIVE_REGULATION_OF_CELL_MIGRATION_BY_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	0.5343770223052987			
MIR144_3P	0.5343762141905203			
WHN_B	0.5343178816325568			
CEBP_Q2_01	0.5341422567557029			
LET_7C_3P	0.5339796901894139			
GO_SOMATODENDRITIC_COMPARTMENT	0.5338950183100141			
TEF_Q6	0.5337052745046745			
MIR194_5P	0.5336873779058268			
MIR19B_3P	0.5336723303961933			
FOXO4_01	0.5336313997139783			
MIR3663_3P	0.5335818307250104			
GO_TRANSPORT_VESICLE	0.5335320121712943			
