	Score	0.95 MoE	P-Value	Q-Value
chr11q22	0.49010787099374054			
GO_REGULATION_OF_DENDRITIC_SPINE_MAINTENANCE	0.47517417145919627			
GO_CELL_TIP	0.4517700717629685			
chr11q14	0.44493248517183065			
GO_PHAGOSOME_MATURATION	0.4406210304109719			
MIR3659	0.43873713604304526			
GO_NEGATIVE_REGULATION_OF_TELOMERE_CAPPING	0.4369305864698313			
MIR2052	0.4359921121657679			
GO_DENDRITIC_SPINE_MAINTENANCE	0.43513742266904376			
MIR487B_5P	0.4333561489112346			
P53_DN.V1_DN	0.43296185574295926			
GSE21927_SPLEEN_MONOCYTE_VS_GMCSF_GCSF_BONE_MARROW_UP	0.43196686824595487			
MIR487A_5P	0.4319351839780812			
SOX10_TARGET_GENES	0.43145535257662165			
GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP	0.4303422348468433			
GSE17721_LPS_VS_POLYIC_24H_BMDC_DN	0.43027660251916894			
GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_UP	0.428111709180372			
MCGOWAN_RSP6_TARGETS_UP	0.4265670398973266			
GO_PIGMENT_CELL_DIFFERENTIATION	0.4233872570328497			
GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_LPS_STIM_DN	0.42206421936363486			
IPA_HDAC3_UP	0.4220628354301867			
GSE19888_NO_PRETREAT_VS_ADENOSINE_A3R_INHIBITOR_PRETREATED_MAST_CELL_TCELL_MEMBRANES_ACT_DN	0.4218594400512406			
IPA_MITF_UP	0.4218125189818524			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_UP	0.4217650503287818			
IPA_HIST1H2BI_UP	0.4216085210801986			
IPA_HIST1H2BE_UP	0.4216085210801986			
IPA_HIST1H2BC_UP	0.4216085210801986			
IPA_HIST1H2BG_UP	0.4216085210801986			
IPA_HIST2H3C_UP	0.4216085210801986			
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DN	0.42139572336679687			
IPA_CEBPD_DN	0.4203330717908032			
HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_UP	0.4201521101212383			
GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP	0.4198342118232825			
GO_MEIOTIC_TELOMERE_CLUSTERING	0.4178900799328731			
GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_DN	0.41782130475322543			
MIR6509_5P	0.41752604662884907			
GSE9037_CTRL_VS_LPS_4H_STIM_BMDM_UP	0.4168272582385726			
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	0.41520602956963387			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN	0.4150339599297423			
GO_LYTIC_VACUOLE_ORGANIZATION	0.41483997616656465			
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	0.4144993420702343			
MIR3144_3P	0.41438222495639626			
HOLLERN_EMT_BREAST_TUMOR_UP	0.4130908032673419			
MIR874_3P	0.41306196492562913			
GO_MELANOCYTE_DIFFERENTIATION	0.41244019614838434			
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.4117428456546856			
GO_POSITIVE_REGULATION_OF_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	0.410619867316299			
GO_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	0.4101862762152431			
VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_DN	0.40978562897925674			
GO_SEROTONIN_TRANSPORT	0.4088864256814614			
MIR6824_5P	0.40875355692047044			
ONKEN_UVEAL_MELANOMA_DN	0.4082755737851772			
GO_DEVELOPMENTAL_PIGMENTATION	0.407478770418906			
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	0.40651430215414097			
GO_REGULATION_OF_CHEMOKINE_C_C_MOTIF_LIGAND_2_SECRETION	0.4064054431839233			
TFEB_TARGET_GENES	0.40629338820594657			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN	0.40528934007054374			
