	Score	0.95 MoE	P-Value	Q-Value
REACTOME_INSULIN_PROCESSING	0.7324341140829842			
HOXA4_Q2	0.7275166802168559			
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.7262930049666647			
GO_REGULATION_OF_VESICLE_FUSION	0.7211081467852583			
ATCTTGC_MIR31	0.7159816801605311			
ZERBINI_RESPONSE_TO_SULINDAC_DN	0.7136814669982776			
GO_CELLULAR_GLUCURONIDATION	0.7136622135108255			
BRN2_01	0.7136306629443209			
CREBP1_Q2	0.7126097557566142			
GO_REGULATION_OF_DEVELOPMENT_HETEROCHRONIC	0.7102624747256753			
GO_TRICUSPID_VALVE_MORPHOGENESIS	0.7102367747911142			
REACTOME_GABA_RECEPTOR_ACTIVATION	0.7093536442568673			
NKX62_Q2	0.7091399438369935			
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0.7082769492766872			
REACTOME_GLUCURONIDATION	0.7064403550849923			
REACTOME_DARPP_32_EVENTS	0.7033187643006749			
WANG_LSD1_TARGETS_DN	0.7027654249900819			
GO_CALCIUM_AND_CALMODULIN_DEPENDENT_PROTEIN_KINASE_COMPLEX	0.7015418901031157			
AHRARNT_01	0.6999102998481495			
CDP_01	0.6998389189050231			
GO_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT	0.6978321401553494			
GO_OXYGEN_BINDING	0.6968074076768213			
ZNF7_TARGET_GENES	0.6948690518177321			
IPA_RBL2_DN	0.6917779463854223			
GO_REGULATION_OF_SEROTONIN_SECRETION	0.6912914613016308			
NF1_Q6	0.6886626449259886			
TGCCAAR_NF1_Q6	0.6885774476688242			
PAX4_02	0.6884370361612125			
HAND1E47_01	0.6875554927230006			
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	0.687202161954101			
GO_SODIUM_CHANNEL_INHIBITOR_ACTIVITY	0.6868000909320879			
IPA_HIF3A_UP	0.686752669074068			
PR_Q2	0.6854971570296208			
CGTSACG_PAX3_B	0.6850151747276871			
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	0.6844918827848095			
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.6844531443643577			
GO_INSULIN_METABOLIC_PROCESS	0.6836620371778879			
MIR4786_5P	0.683328948272368			
OCT1_07	0.683194531181143			
MIR567	0.682792099436158			
HEN1_01	0.6822150919851575			
AAAYWAACM_HFH4_01	0.6818092456927968			
GO_CLATHRIN_SCULPTED_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT_VESICLE_MEMBRANE	0.6791293167596953			
GO_POSITIVE_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	0.677877165063896			
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.6774509890174703			
MIR4704_5P	0.676389103671279			
GO_REGULATION_OF_TOOTH_MINERALIZATION	0.6763884125549913			
GR_Q6	0.6757830453731073			
EGR1_01	0.675658920272509			
GO_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	0.6752939296418878			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2	0.6752151976803252			
E47_01	0.6748669594916812			
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.6741498893714536			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_PHENOTYPIC_SWITCHING	0.6741118530676605			
GO_SYNTAXIN_1_BINDING	0.6734182176190855			
MIR5691_MIR6805_3P	0.6733672317774397			
KEGG_RETINOL_METABOLISM	0.6726065249634805			
GO_REGULATION_OF_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	0.6723440997478082			
GSE9006_1MONTH_VS_4MONTH_POST_TYPE_1_DIABETES_DX_PBMC_DN	0.6723224624438121			
GO_FOREBRAIN_NEURON_DEVELOPMENT	0.6719620446300038			
TTAYRTAA_E4BP4_01	0.6717576825763705			
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.6712268943736374			
GO_CEREBELLAR_CORTEX_DEVELOPMENT	0.67119419350595			
YNGTTNNNATT_UNKNOWN	0.6704387980991742			
GO_EMBRYONIC_RETINA_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	0.6701273154291555			
TESAR_ALK_TARGETS_EPISC_4D_UP	0.6698284737964468			
BIOCARTA_HES_PATHWAY	0.6696163301637453			
GO_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	0.6694517439588016			
TAL1ALPHAE47_01	0.6683284330092215			
GO_GLUCURONOSYLTRANSFERASE_ACTIVITY	0.6676444976185986			
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.6664413485454044			
MIR6851_3P	0.6661482621328234			
RORA2_01	0.6656282718876237			
GO_ALPHA_GLUCOSIDASE_ACTIVITY	0.6649645267338964			
GO_STRUCTURAL_CONSTITUENT_OF_TOOTH_ENAMEL	0.6648115324207982			
GO_SIGNAL_RELEASE	0.6642763492523613			
LHX3_01	0.6639205390713845			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.6638009695739421			
GO_SEROTONIN_SECRETION	0.6637244208151608			
IPA_CREB1_DN	0.6634102594776258			
GO_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT	0.6633381462757199			
GO_REGULATION_OF_PIGMENT_CELL_DIFFERENTIATION	0.6629948108642882			
IPA_PAX8_UP	0.6629176291720078			
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.6627831568806597			
