	Score	0.95 MoE	P-Value	Q-Value
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA	0.6153811855658069			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.6018694939341335			
WU_CELL_MIGRATION	0.596494365673567			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5892210115467009			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.5849580437104794			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5839801997122185			
GO_DISACCHARIDE_BIOSYNTHETIC_PROCESS	0.5839453741058029			
MEK_UP.V1_UP	0.5828546398148926			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.5814733686993092			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5793621500034207			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.5791731342923454			
AKT_UP_MTOR_DN.V1_UP	0.5776744804222271			
KMT2D_TARGET_GENES	0.5776238602468122			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5766069474129137			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5765677641694368			
NUYTTEN_NIPP1_TARGETS_DN	0.5763781853391186			
RB_P130_DN.V1_DN	0.5740134034378577			
LEI_MYB_TARGETS	0.5739947720190373			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.5731608634286877			
LIANG_SILENCED_BY_METHYLATION_UP	0.5716656190408301			
TSUNODA_CISPLATIN_RESISTANCE_DN	0.5699166514887176			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.5687383411443718			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5673052886046355			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5668517121504779			
WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.5659886306968089			
GREB1_TARGET_GENES	0.5655220935767227			
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT	0.5640010764630113			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5627937242622818			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5624227645306901			
