	Score	0.95 MoE	P-Value	Q-Value
GSE3982_DC_VS_NKCELL_DN	0.6002271316559128			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.5723240071076062			
GSE17186_MEMORY_VS_CD21LOW_TRANSITIONAL_BCELL_DN	0.5611482411880433			
GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN	0.5575138574743438			
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.5558699114289029			
GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN	0.551882053052129			
HOEBEKE_LYMPHOID_STEM_CELL_UP	0.5491501439317003			
MATTIOLI_MGUS_VS_PCL	0.5487459967020313			
GSE14415_FOXP3_KO_NATURAL_TREG_VS_TCONV_UP	0.5484442295773075			
SHIN_B_CELL_LYMPHOMA_CLUSTER_9	0.5480640323118627			
GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_UP	0.5456984329052589			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP	0.545160929483294			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5450402054114443			
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.5439175504169007			
GSE37301_PRO_BCELL_VS_CD4_TCELL_UP	0.5414311413773861			
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN	0.5407038346801885			
IPA_HOXA9_UP	0.540126569054606			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5397016260314995			
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP	0.5382560166615965			
GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP	0.5364656843668215			
GO_CELLULAR_RESPONSE_TO_L_GLUTAMATE	0.5359131207235891			
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_UP	0.535187966314178			
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP	0.5349119854088021			
GO_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.5347403484866122			
IPA_HOXA7_UP	0.5345196549878207			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	0.5341209258433223			
GSE3982_DC_VS_BCELL_DN	0.533679845604977			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.5314636929447658			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.5314114147649583			
GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP	0.5306640384836159			
IPA_PAX5_UP	0.5302306928831646			
GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.5296121646772184			
GSE13306_TREG_VS_TCONV_DN	0.5293851971647182			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.5293456383561618			
MORI_PLASMA_CELL_DN	0.5291289387843263			
GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION	0.5287032456147587			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.5285153390657398			
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	0.528461475159799			
JISON_SICKLE_CELL_DISEASE_DN	0.5272972237280728			
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN	0.5271911384463712			
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP	0.5265593269994058			
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	0.526297536034876			
GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_DN	0.526220779132905			
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.5262030961695308			
PUJANA_ATM_PCC_NETWORK	0.5254502529760791			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.5250552809533484			
GO_REGULATION_OF_DNA_METHYLATION	0.5233112154901364			
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP	0.5229183658047483			
GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP	0.5227613275126561			
PUJANA_BRCA1_PCC_NETWORK	0.5221635588897124			
GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_UP	0.5221146067512457			
GO_B_CELL_DIFFERENTIATION	0.5216481482870572			
PID_PI3KCI_PATHWAY	0.5213105357060076			
GO_T_CELL_DIFFERENTIATION	0.5206478559256739			
GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_UP	0.5203024509189008			
SIG_BCR_SIGNALING_PATHWAY	0.5201133937431186			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.5195119854818857			
GO_INTERLEUKIN_12_PRODUCTION	0.5187693526178403			
