	Score	0.95 MoE	P-Value	Q-Value
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP	0.7940416646089666			
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.7900641361272172			
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	0.7865910481248137			
GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_DN	0.7825683876415195			
GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_UP	0.7818335006955865			
GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_UP	0.7781440610848029			
GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_DN	0.7772469966180622			
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_DN	0.777132169315352			
GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP	0.7766853365403059			
GSE3982_EOSINOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	0.7759762737134012			
GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	0.7758247763718426			
GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_DN	0.7751330168990659			
GO_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION	0.7725071797436667			
GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.7708058395092978			
DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP	0.7700659150981631			
GO_SUPEROXIDE_GENERATING_NADPH_OXIDASE_ACTIVATOR_ACTIVITY	0.7688261584294812			
GO_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.7681079740944978			
GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_UP	0.7670255930466859			
IPA_NCOR2_UP	0.7669196126016679			
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.7665635892814454			
MORI_LARGE_PRE_BII_LYMPHOCYTE_DN	0.766413059015467			
GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN	0.7661564865162254			
GSE16697_CD4_TCELL_VS_TFH_CD4_TCELL_UP	0.7652577048668975			
YU_MYC_TARGETS_DN	0.7651850965862435			
GARY_CD5_TARGETS_UP	0.7645439962113826			
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP	0.7644224785898966			
BOSCO_ALLERGEN_INDUCED_TH2_ASSOCIATED_MODULE	0.7640879698468342			
GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_UP	0.7638530156200976			
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.763795282142789			
GSE3982_EOSINOPHIL_VS_NKCELL_UP	0.7627135627720809			
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP	0.7626339487007388			
PID_CD8_TCR_PATHWAY	0.7624431635602948			
GSE5503_MLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP	0.7615744255992563			
REACTOME_DAP12_INTERACTIONS	0.7611404989008999			
GSE20715_0H_VS_24H_OZONE_LUNG_UP	0.7611046421503471			
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.7610349672461971			
GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	0.7608967761864818			
GSE4984_LPS_VS_VEHICLE_CTRL_TREATED_DC_DN	0.7605325545544989			
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	0.7603115816860868			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	0.7600935620937468			
ROSS_AML_WITH_AML1_ETO_FUSION	0.7600821630930076			
GSE3982_MAST_CELL_VS_BASOPHIL_DN	0.7600757417465059			
GO_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	0.7594515968966165			
REACTOME_DAP12_SIGNALING	0.7594238017530163			
GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN	0.7593770052125856			
YAGI_AML_WITH_11Q23_REARRANGED	0.7588349863717703			
GSE29164_DAY3_VS_DAY7_UNTREATED_MELANOMA_UP	0.7586593493567914			
PID_PI3KCI_PATHWAY	0.7582222055921337			
WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP	0.7578741964522672			
GSE22611_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_2H_UP	0.7575111442000951			
GSE17974_0H_VS_6H_IN_VITRO_ACT_CD4_TCELL_UP	0.7572812081250698			
GO_PHAGOLYSOSOME	0.7566596988610234			
GSE360_DC_VS_MAC_L_DONOVANI_DN	0.7559795077009736			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN	0.7558795814196014			
RUTELLA_RESPONSE_TO_HGF_DN	0.7558401702800088			
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	0.7557847286227607			
NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	0.7555175116412627			
MORI_MATURE_B_LYMPHOCYTE_UP	0.7554883101764095			
GSE40274_CTRL_VS_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.7552179153413664			
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	0.7552021311428491			
GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_UP	0.7550918686358199			
KEGG_LEISHMANIA_INFECTION	0.7547524694793168			
PID_TCR_PATHWAY	0.7540628611328195			
GO_IMMUNE_RECEPTOR_ACTIVITY	0.753852494069361			
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.7534862187024897			
GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN	0.752089696714523			
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	0.7516976253582531			
GSE3982_BASOPHIL_VS_TH2_UP	0.75149486263917			
GO_REGULATION_OF_CELL_ACTIVATION	0.7512278174619113			
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	0.7511948980343727			
GO_PHOSPHOTYROSINE_RESIDUE_BINDING	0.7511839146293501			
GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.7509076182637977			
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.7508841071204286			
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	0.7508540180298713			
GO_PROTEIN_KINASE_C_SIGNALING	0.7507690689170224			
