	Score	0.95 MoE	P-Value	Q-Value
GO_COHESIN_LOADING	0.39515561494822854			
GO_METHYLATED_HISTONE_BINDING	0.38921081647861766			
GO_PERICENTRIC_HETEROCHROMATIN	0.38262062925760465			
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_DN	0.37928244651760407			
GO_COHESIN_COMPLEX	0.3770788501197241			
GO_POSITIVE_REGULATION_OF_MUSCLE_ADAPTATION	0.3762185173195843			
GO_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY	0.37576304590098986			
GO_RNA_DECAPPING	0.37498115980368774			
RIZ_ERYTHROID_DIFFERENTIATION_CCNE1	0.3744942487763217			
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	0.37355836158156575			
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_DN	0.3716709856296624			
E2F_Q3_01	0.3714708192044018			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.370953835626435			
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	0.3707160272456226			
BIOCARTA_BARD1_PATHWAY	0.3677996287220368			
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	0.3656345100370858			
GAZIN_EPIGENETIC_SILENCING_BY_KRAS	0.36555868839682787			
E2F1_Q6_01	0.36521650701649516			
GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	0.3648457875372828			
E2F1_Q4_01	0.3646248102633979			
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	0.3645158680275726			
GO_LATERAL_ELEMENT	0.36428743155435284			
GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	0.3639932782292499			
GO_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.36378864993221355			
GO_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	0.36356717112451925			
PYEON_HPV_POSITIVE_TUMORS_UP	0.3627985665937542			
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	0.362544030909356			
REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	0.36224043503033			
SGCGSSAAA_E2F1DP2_01	0.36143183555277125			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.36084049518898237			
GO_MITOTIC_CHROMOSOME_CONDENSATION	0.36081514333781334			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.36080036156357487			
GO_ESC_E_Z_COMPLEX	0.36067569026227314			
GO_HISTONE_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.3599326750681458			
E2F1DP1_01	0.3599191102941725			
E2F4DP2_01	0.3599191102941725			
E2F1DP2_01	0.3599191102941725			
GSE360_CTRL_VS_L_DONOVANI_DC_UP	0.3597560043848621			
GO_HISTONE_H4_ACETYLATION	0.35892714935206244			
GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP	0.3588134907840119			
GO_HISTONE_H3_K36_METHYLATION	0.35778451417979434			
IPA_TCEB1_UP	0.35743099931662103			
GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP	0.3570688718119884			
BIOCARTA_ATRBRCA_PATHWAY	0.3570573872089872			
GO_N_ACYLTRANSFERASE_ACTIVITY	0.3565225481937593			
E2F_02	0.35600069503292314			
GO_SYNAPTONEMAL_STRUCTURE	0.3559972130913177			
GO_MEIOSIS_I_CELL_CYCLE_PROCESS	0.3559946700935461			
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_DN	0.35565573802594497			
GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_UP	0.35528294952219275			
E2F_03	0.35518642706448683			
GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	0.3550819339967058			
GO_CHROMATIN_SILENCING_AT_RDNA	0.35491071970013155			
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	0.3548717000171667			
E2F1DP1RB_01	0.3546148480996913			
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	0.35427502207745537			
GO_SYNAPSIS	0.35417332335451807			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN	0.35389224320289336			
GO_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION	0.3538734184028302			
GO_MEIOTIC_COHESIN_COMPLEX	0.3537808381163787			
GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP	0.3533293238954827			
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.35317344810925344			
GO_H3_HISTONE_ACETYLTRANSFERASE_COMPLEX	0.3531136985128752			
GO_REGULATION_OF_COHESIN_LOADING	0.35306532450718164			
GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	0.3525654632137156			
GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.35213224979132834			
E2F_Q4	0.3519816684714376			
E2F_Q6	0.3518828237333623			
ZWANG_DOWN_BY_2ND_EGF_PULSE	0.35182446003557827			
