	Score	0.95 MoE	P-Value	Q-Value
MIR4257	0.7516142482950737			
GO_MHC_PROTEIN_COMPLEX_ASSEMBLY	0.7126579550155828			
GO_LYMPHOCYTE_AGGREGATION	0.6880755357442241			
IPA_FOXP3_UP	0.6857978216772928			
LIU_IL13_MEMORY_MODEL_DN	0.6807837677278828			
GO_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	0.6780400096661645			
ZNF502_TARGET_GENES	0.6699978691051813			
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	0.6688974404890395			
GO_DORSAL_ROOT_GANGLION_DEVELOPMENT	0.6679281674433976			
GO_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	0.6625721896050413			
BIOCARTA_ARF_PATHWAY	0.6589828760910938			
BIOCARTA_CTLA4_PATHWAY	0.6586393799247804			
BIOCARTA_CSK_PATHWAY	0.6581320683207679			
MIR3184_3P	0.6580782405682521			
IPA_SUZ12_UP	0.6580137466237257			
GO_GANGLION_DEVELOPMENT	0.6576782878164064			
CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP	0.6575235284035467			
FAELT_B_CLL_WITH_VH3_21_DN	0.6563424217602862			
GO_TRANS_GOLGI_NETWORK_MEMBRANE	0.6545693075458852			
GO_NUCLEAR_EXPORT_SIGNAL_RECEPTOR_ACTIVITY	0.6543296393795367			
GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_UP	0.6513136752720378			
BIOCARTA_TCRA_PATHWAY	0.6511466452300767			
TESAR_ALK_TARGETS_EPISC_4D_UP	0.6488562606311081			
GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	0.6478538670702695			
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	0.6469233896575884			
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	0.6464202253302124			
BIOCARTA_CIRCADIAN_PATHWAY	0.6463424095764537			
IPA_ZFPM2_UP	0.6448854389967374			
GO_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	0.6445143707731896			
GO_AXONOGENESIS_INVOLVED_IN_INNERVATION	0.6426110470777473			
BIOCARTA_PLCE_PATHWAY	0.6414487194039563			
YAP1_UP	0.6374443109416226			
FIGUEROA_AML_METHYLATION_CLUSTER_5_UP	0.635702434672054			
LUI_THYROID_CANCER_CLUSTER_4	0.6351630520668294			
GREENBAUM_E2A_TARGETS_DN	0.6348340101748882			
