	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_H4_ACETYLATION	0.44562490332847116			
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	0.41056014218146325			
GO_ADP_RIBOSYLATION_FACTOR_BINDING	0.4098598579984726			
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_DN	0.4090982968436672			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.4089225838620828			
GO_MRNA_EXPORT_FROM_NUCLEUS	0.40521483455635693			
GO_TRANSLATION_REPRESSOR_ACTIVITY	0.404756230255495			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.40351856098532823			
GSE45365_NK_CELL_VS_CD11B_DC_UP	0.40336656064448395			
GO_NURD_COMPLEX	0.4021231490029302			
IPA_TCEB1_UP	0.4006576459012125			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.39937492960800985			
GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION	0.3990368538932265			
GO_REGULATION_OF_MRNA_PROCESSING	0.39775261658815136			
MIR5192	0.39774947435753283			
GO_PEPTIDYL_LYSINE_METHYLATION	0.3974469547462004			
GO_REGULATION_OF_RNA_SPLICING	0.3972048408188248			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.39712242498909034			
GO_HISTONE_H3_K4_METHYLATION	0.39692738525663007			
GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME	0.39646596201605133			
GO_H4_HISTONE_ACETYLTRANSFERASE_ACTIVITY	0.3955814260793621			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	0.3942203659764636			
GO_REGULATION_OF_GENE_EXPRESSION_BY_GENETIC_IMPRINTING	0.39394589828408316			
GO_ATPASE_COMPLEX	0.3934466668725374			
GO_MRNA_SPLICE_SITE_SELECTION	0.3926848281127755			
GO_PROTEIN_METHYLATION	0.39248654905245645			
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN	0.3914054134582431			
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	0.3903192406050641			
GO_MRNA_PROCESSING	0.3895421336785494			
GO_COVALENT_CHROMATIN_MODIFICATION	0.3895375320165411			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.38951037091042884			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.38944830390454793			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.38943387062630713			
GO_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.3891810692504987			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.38913700145672825			
GSE7852_LN_VS_FAT_TCONV_UP	0.3882111990042049			
GO_N_ACYLTRANSFERASE_ACTIVITY	0.38803176872281897			
GSE1460_DP_VS_CD4_THYMOCYTE_UP	0.38800738264884177			
GO_HISTONE_METHYLATION	0.38762727816981285			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.387233718860732			
GO_RNA_SPLICING	0.3871278202516683			
PYEON_HPV_POSITIVE_TUMORS_UP	0.386925907169793			
GO_MRNA_3_END_PROCESSING	0.3846058277296918			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.38426400940299316			
GO_CHROMATIN_ORGANIZATION	0.3841954649965981			
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	0.38115667353928817			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.3806801822373904			
GO_HISTONE_H4_K5_ACETYLATION	0.3791886751862098			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.378887564514128			
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	0.3788104900125813			
GO_RNA_EXPORT_FROM_NUCLEUS	0.37874427311061964			
GO_DNA_HELICASE_ACTIVITY	0.3782709178805152			
ZWANG_DOWN_BY_2ND_EGF_PULSE	0.3779188998873724			
GSE27786_BCELL_VS_NEUTROPHIL_UP	0.3770211771670037			
GO_POSITIVE_REGULATION_OF_MRNA_PROCESSING	0.3764823416771027			
GO_REGULATORY_RNA_BINDING	0.37582563378243905			
SGCGSSAAA_E2F1DP2_01	0.37528444841592645			
GO_DOSAGE_COMPENSATION	0.37497950871290614			
GO_BASE_EXCISION_REPAIR_GAP_FILLING	0.37453142919781357			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_DN	0.3744641391208639			
ABRAMSON_INTERACT_WITH_AIRE	0.37406387573093236			
GO_REGULATION_OF_HISTONE_METHYLATION	0.3740186872308641			
GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.37383887264637916			
REACTOME_CHROMATIN_MODIFYING_ENZYMES	0.3735975883873362			
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.37345685905483544			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.3734443764783676			
GO_PEPTIDYL_LYSINE_ACETYLATION	0.3733947800753904			
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION	0.3728978189587887			
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	0.37269201129576673			
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	0.3725771377057993			
GO_MACROMOLECULE_METHYLATION	0.3716178405069			
GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	0.3714318412258271			
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.3704913166873977			
GO_MIRNA_METABOLIC_PROCESS	0.3700079965423872			
THRA_TARGET_GENES	0.3698399283655536			
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_DN	0.36979465555050883			
GO_HISTONE_BINDING	0.36968518805141637			
GO_HISTONE_H4_K16_ACETYLATION	0.36959676690574267			
AGCGCAG_MIR191	0.36846252345498653			
GO_DNA_REPLICATION_CHECKPOINT	0.36814664473224			
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP	0.3681016690085055			
GO_N_ACETYLTRANSFERASE_ACTIVITY	0.36746853084044595			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.36678573622690486			
GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_UP	0.3666962251950098			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.3664439342367257			
HALLMARK_ALLOGRAFT_REJECTION	0.36596911223588546			
BIOCARTA_MCM_PATHWAY	0.3659118118649853			
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS	0.36581730773878124			
GO_METHYLATED_HISTONE_BINDING	0.3655410250866868			
GO_NPBAF_COMPLEX	0.3654283640163814			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.36532356708393887			
BIOCARTA_PRC2_PATHWAY	0.36521498916057143			
GO_NEUROMUSCULAR_PROCESS_CONTROLLING_POSTURE	0.36515235591850287			
GO_DNA_MODIFICATION	0.3650329135929303			
GSE21063_3H_VS_16H_ANTI_IGM_STIM_BCELL_DN	0.36480367881199505			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.36462142971283446			
HAHTOLA_MYCOSIS_FUNGOIDES_DN	0.36448575559305296			
REN_ALVEOLAR_RHABDOMYOSARCOMA_UP	0.3641628365832965			
