	Score	0.95 MoE	P-Value	Q-Value
UROSEVIC_RESPONSE_TO_IMIQUIMOD	0.5010462366781447			
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	0.48750711327688584			
XU_AKT1_TARGETS_6HR	0.48726915550212047			
EINAV_INTERFERON_SIGNATURE_IN_CANCER	0.4831296245549138			
GSE42021_TREG_VS_TCONV_PLN_UP	0.4829244987688463			
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.48222144268973954			
MEK_UP.V1_DN	0.48120988732786496			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.48076664924045015			
IPA_IRF3_UP	0.4787082653529394			
IPA_STAT2_UP	0.4782224061848865			
GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.47814304672376884			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	0.47803286537798817			
GSE42021_CD24INT_VS_CD24LOW_TCONV_THYMUS_DN	0.4774175097005275			
IPA_IRF5_UP	0.4773526465650805			
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN	0.4756989108385592			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	0.47540017085894604			
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	0.4752521962937539			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.4750057095131772			
GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP	0.4740043782007363			
GRANDVAUX_IRF3_TARGETS_UP	0.4729300045584882			
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN	0.47249926457931246			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN	0.4717799440381521			
GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.4715605009418862			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN	0.47060257642558084			
BROWNE_INTERFERON_RESPONSIVE_GENES	0.4689274752709181			
MOSERLE_IFNA_RESPONSE	0.4682652925986679			
BOWIE_RESPONSE_TO_TAMOXIFEN	0.4670746627918709			
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.46677498965346215			
HECKER_IFNB1_TARGETS	0.4662709980017145			
ROETH_TERT_TARGETS_UP	0.4657303073430568			
GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP	0.46546880252480205			
