	Score	0.95 MoE	P-Value	Q-Value
GO_LYS48_SPECIFIC_DEUBIQUITINASE_ACTIVITY	0.533358546463504			
chrXp11	0.5280240926397608			
GO_HISTONE_H4_ACETYLATION	0.5033476086601646			
GO_CHROMATIN	0.4879658146979464			
GO_PEPTIDYL_LYSINE_ACETYLATION	0.4842971612927481			
GO_PROTEIN_ACYLATION	0.4780610150784733			
GGGGCCC_MIR296	0.4733540399056011			
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	0.47229895855752374			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.47153193257684656			
GO_HISTONE_H3_K4_METHYLATION	0.47070933639445206			
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	0.46785386479887026			
GO_DOUBLE_STRANDED_DNA_BINDING	0.4649340976438218			
GO_PEPTIDYL_LYSINE_METHYLATION	0.46375350811178845			
GO_PROTEIN_ACETYLATION	0.4633906536172985			
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.46321551624009333			
SRC_UP.V1_UP	0.4612086446251285			
GO_SYNAPTIC_VESICLE_MATURATION	0.46005453955806846			
GO_CELL_DIFFERENTIATION_IN_HINDBRAIN	0.4587230042956444			
GO_ACETYLTRANSFERASE_ACTIVITY	0.45844329358402225			
GO_DEMETHYLASE_ACTIVITY	0.4582113819871043			
MIER1_TARGET_GENES	0.45814457210700005			
GO_ATPASE_COMPLEX	0.45495427694847634			
MIR6810_5P	0.4548474148934541			
GO_NBAF_COMPLEX	0.4547172973187123			
GO_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY	0.4520400118630227			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.45163881102851416			
GO_METHYLATED_HISTONE_BINDING	0.4511446176298812			
GO_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION	0.4509653006708466			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.4508618424519632			
OLF1_01	0.44897602559159655			
GO_PEPTIDYL_LYSINE_MODIFICATION	0.4488715770256467			
GO_N_ACETYLTRANSFERASE_ACTIVITY	0.44763885926966707			
GO_NUCLEAR_CHROMOSOME	0.4474470530671866			
GO_HISTONE_METHYLATION	0.4464380113452194			
EGR2_01	0.4463674440154413			
GO_SWI_SNF_COMPLEX	0.44607284347157294			
chrXq13	0.4455906685721828			
PID_ALK2_PATHWAY	0.44423220197083235			
GO_HISTONE_H3_K4_TRIMETHYLATION	0.4442074843455288			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K4_SPECIFIC	0.4425597967453758			
PTPRA_TARGET_GENES	0.44206379396158746			
ZNF197_TARGET_GENES	0.4409572701625048			
IPA_JUP_DN	0.4406834017615505			
STARK_BRAIN_22Q11_DELETION	0.44048934945633217			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.44042375133932526			
GSE45365_NK_CELL_VS_CD8A_DC_DN	0.4403642264603521			
IPA_HOXA7_UP	0.43993624619446176			
ASXL2_TARGET_GENES	0.43895178315917355			
AACYNNNNTTCCS_UNKNOWN	0.4371914147974582			
IPA_MECP2_DN	0.4364617864809998			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.43590851999217556			
GO_MRNA_SPLICE_SITE_SELECTION	0.4358282942986889			
