	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.48317618272419355			
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	0.4608387994547651			
GO_ATPASE_COMPLEX	0.45647597795851913			
GO_HISTONE_METHYLATION	0.45103544707648796			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.44825460436544134			
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	0.4462441563149317			
E2F1DP1RB_01	0.4449211733675899			
ABRAMSON_INTERACT_WITH_AIRE	0.44469448188215344			
GO_PEPTIDYL_LYSINE_METHYLATION	0.43880428417022793			
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	0.4377758150143246			
GO_HISTONE_H3_K4_METHYLATION	0.43756223152172913			
E2F_Q6_01	0.436344737704339			
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS	0.43600893623786163			
GO_MRNA_EXPORT_FROM_NUCLEUS	0.4355560032519038			
BIOCARTA_PRC2_PATHWAY	0.43527841707775733			
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS	0.4344757618570614			
GO_CHROMATIN_REMODELING	0.4339239964814366			
WAKASUGI_HAVE_ZNF143_BINDING_SITES	0.43283114552030993			
REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS	0.43269678981961107			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.43218120849806557			
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	0.4317407755821023			
IPA_E2F7_DN	0.43053657119829475			
GO_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.4305076439751962			
E2F_Q4_01	0.4302516432031955			
GO_CHROMATIN_ORGANIZATION	0.43024397651781715			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.4292509518609206			
GO_REGULATION_OF_HISTONE_METHYLATION	0.4285939654979187			
BIOCARTA_BARD1_PATHWAY	0.4257845129177939			
GO_NUCLEOSOME_BINDING	0.42549010794252096			
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	0.4248161103770042			
E2F_02	0.4244513738626061			
E2F1_Q6	0.4239198965209376			
GO_PERICENTRIC_HETEROCHROMATIN	0.4226562854137252			
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.42245040924827576			
GO_CHROMATIN_BINDING	0.4218739148998455			
GO_MRNA_SPLICE_SITE_SELECTION	0.4215933396575093			
GO_NPBAF_COMPLEX	0.4215430009886349			
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.42083389258838916			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.4206271233656668			
GO_PROTEIN_METHYLATION	0.4196109395878513			
GO_RECOMBINATIONAL_REPAIR	0.4193767872653576			
E2F1DP1_01	0.41898655412976515			
E2F1DP2_01	0.41898655412976515			
E2F4DP2_01	0.41898655412976515			
E2F1_Q3	0.41893976070028466			
E2F_Q6	0.4180101454702994			
E2F4DP1_01	0.4177932008853458			
GO_CHROMOSOME_ORGANIZATION	0.4176844651084547			
E2F_Q4	0.4165622812271781			
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	0.4164585126185667			
GO_NUCLEAR_CHROMOSOME	0.4163087685087763			
GO_REGULATION_OF_MRNA_PROCESSING	0.41596330354752076			
PUJANA_BRCA_CENTERED_NETWORK	0.41582106377162653			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.41581808530241865			
GO_ESC_E_Z_COMPLEX	0.4155189723007397			
GO_RNA_EXPORT_FROM_NUCLEUS	0.4153924782283918			
GO_DNA_HELICASE_ACTIVITY	0.4145618292517069			
GO_CHROMOSOME	0.41424226049619217			
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY	0.4130455488606836			
GO_REGULATION_OF_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	0.41292014934889637			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.41258206936585434			
GO_DNA_REPLICATION_CHECKPOINT	0.4123816112149797			
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	0.41197784567685675			
KALMA_E2F1_TARGETS	0.41158916825224034			
E2F1_Q6_01	0.4114231375957468			
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	0.41132766361146567			
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN	0.4113123921323386			
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	0.41128415112824274			
PUJANA_XPRSS_INT_NETWORK	0.4111964865038973			
GO_NUCLEOSOME_ORGANIZATION	0.41094701974150694			
E2F_03	0.4108616134928421			
SGCGSSAAA_E2F1DP2_01	0.41030530698569395			
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.40979173440915984			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.4094934117652847			
GO_BASE_EXCISION_REPAIR_GAP_FILLING	0.4086873735541851			
E2F1_Q4_01	0.4086409020123666			
GO_COVALENT_CHROMATIN_MODIFICATION	0.40858508182094166			
GO_DNA_CLAMP_LOADER_ACTIVITY	0.40833023932459306			
GO_HETEROCHROMATIN	0.40830185737906105			
GO_MIRNA_METABOLIC_PROCESS	0.4079997390328579			
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	0.4076169289459472			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.4076136253392364			
GO_G0_TO_G1_TRANSITION	0.40742041271176715			
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	0.40694930352522485			
GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	0.4068511298617344			
GO_NURD_COMPLEX	0.4061832609778122			
GO_CATALYTIC_ACTIVITY_ACTING_ON_DNA	0.40617982667007374			
GO_MACROMOLECULE_METHYLATION	0.40598822599830753			
GO_MRNA_TRANSPORT	0.4059213618460662			
GO_CHROMATIN	0.40558677209597466			
PYEON_HPV_POSITIVE_TUMORS_UP	0.40555993138797514			
GO_CHROMOSOMAL_REGION	0.405312093405124			
