	Score	0.95 MoE	P-Value	Q-Value
LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN	0.5398448677913774			
MIR6858_3P	0.5331145173582843			
ZHOU_TNF_SIGNALING_4HR	0.5246054237295227			
GSE27786_CD8_TCELL_VS_NEUTROPHIL_DN	0.5192668550086059			
MIR4666A_5P	0.5175004013522065			
WU_HBX_TARGETS_3_DN	0.5139945691618969			
GO_PARKIN_MEDIATED_STIMULATION_OF_MITOPHAGY_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION	0.5122136276312917			
GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	0.5098648782443621			
HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN	0.5071962731669307			
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_UP	0.506139404113232			
GSE15324_ELF4_KO_VS_WT_ACTIVATED_CD8_TCELL_UP	0.5058263926266647			
GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_DN	0.5045707870192327			
ZNF486_TARGET_GENES	0.5031234469291326			
GO_CELLULAR_HYPEROSMOTIC_SALINITY_RESPONSE	0.5021642295707467			
DOANE_BREAST_CANCER_CLASSES_DN	0.4984304563401007			
MIR4679	0.4979180037607091			
GO_POSITIVE_REGULATION_OF_ADHERENS_JUNCTION_ORGANIZATION	0.49759684325418746			
MIKHAYLOVA_OXIDATIVE_STRESS_RESPONSE_VIA_VHL_DN	0.49731361417142417			
MIR95_3P	0.49290607428489663			
MIR4490	0.49202073406311536			
LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_QTL	0.48885417656181945			
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	0.48778494281952			
GO_BARBED_END_ACTIN_FILAMENT_CAPPING	0.48747005922953923			
KANNAN_TP53_TARGETS_DN	0.4869094446270335			
MILI_PSEUDOPODIA_CHEMOTAXIS_UP	0.48593247520408606			
HASINA_NOL7_TARGETS_UP	0.4851591213892983			
IPA_MSLN_UP	0.48203760685323227			
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_UP	0.4816404131125913			
GO_SCHMIDT_LANTERMAN_INCISURE	0.48007998851311046			
GO_INFLAMMATORY_RESPONSE_TO_WOUNDING	0.47904495330453306			
MIR375_3P	0.4774904938252208			
IPA_HDAC2_UP	0.47742710908320485			
GSE9316_CD4_TCELL_BALBC_VS_TH17_ENRI_CD4_TCELL_SKG_PMA_IONO_STIM_FR4NEG_DN	0.4772645226492536			
GO_RESPONSE_TO_WATER	0.47694987954341683			
GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP	0.47694570439678385			
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	0.47568596904127763			
GO_REGULATION_OF_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE	0.4752658810175552			
GO_PHOTORECEPTOR_CELL_OUTER_SEGMENT_ORGANIZATION	0.47374410101993075			
REACTOME_SELECTIVE_AUTOPHAGY	0.47348964912105757			
GO_HOST_INTRACELLULAR_ORGANELLE	0.47315854057191276			
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS	0.472657419671428			
VALK_AML_WITH_FLT3_ITD	0.47169102029946536			
IPA_NR2F1_DN	0.4701028806437738			
GO_DNA_STRAND_RENATURATION	0.46970190072406837			
GO_ALPHA_ACTININ_BINDING	0.4694416907152249			
GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_DN	0.46939379113186136			
GO_NEGATIVE_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	0.4679584925437896			
GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_APOPTOTIC_PROCESS	0.467714214089722			
