	Score	0.95 MoE	P-Value	Q-Value
MIR10396A_3P_MIR10396B_3P	0.4380000410431663			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.433983514639598			
REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS	0.42642068280444867			
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOLIPASE_C_GAMMA_PLCG	0.42283568373895863			
GO_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	0.42164790802124197			
GSE27786_BCELL_VS_NEUTROPHIL_UP	0.4203313676441948			
ZNF785_TARGET_GENES	0.41224394165153394			
IPA_SOX11_UP	0.4113211697748934			
GO_REGULATION_OF_PROTEIN_KINASE_C_SIGNALING	0.4096116687216615			
GSE40274_GATA1_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.40900387784513137			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.40613614721153574			
MIR128_1_5P	0.40561803505833327			
ZNF502_TARGET_GENES	0.40373992024068			
MIR548Q	0.3998008859316503			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_DN	0.39850123526410197			
GO_GATOR2_COMPLEX	0.3980194608679502			
JAIN_NFKB_SIGNALING	0.3967684039083103			
MIR3175	0.3966764532269325			
GO_POSITIVE_REGULATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY	0.39627568062821766			
MIR5684	0.3951192796910731			
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.39501074140361625			
GO_COMPLEMENT_BINDING	0.39483050527411256			
MIR1238_3P	0.39414858543832126			
GO_NORADRENERGIC_NEURON_DIFFERENTIATION	0.3936641932192828			
GSE13306_RA_VS_UNTREATED_TREG_UP	0.39361322278499355			
GO_GRANULOCYTE_COLONY_STIMULATING_FACTOR_PRODUCTION	0.3924277189236158			
MIR544B	0.3922307684057592			
GSE42724_B1_BCELL_VS_PLASMABLAST_DN	0.3912798787589808			
MIR128_2_5P	0.39114224222043353			
GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN	0.3908723337104478			
GO_CARDIAC_VENTRICLE_FORMATION	0.39075265805822074			
GO_COMPLEMENT_COMPONENT_C3B_BINDING	0.38920108841674184			
