	Score	0.95 MoE	P-Value	Q-Value
GOLUB_ALL_VS_AML_UP	0.5682831433262842			
GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_BALBC_DN	0.5590270548946398			
HADDAD_B_LYMPHOCYTE_PROGENITOR	0.550798845885666			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_DN	0.5498486969637962			
GO_V_D_J_RECOMBINATION	0.5477751627997353			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.5464936309466457			
IPA_EBF1_UP	0.5457086772191886			
BOYLAN_MULTIPLE_MYELOMA_C_D_UP	0.5442929809929513			
GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN	0.5433277833397615			
IPA_ID3_DN	0.5419829458216812			
GO_SINGLE_STRAND_BREAK_REPAIR	0.5417930622613395			
GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_DN	0.5402960619814431			
BIOCARTA_VDR_PATHWAY	0.538937729447339			
GO_B_CELL_LINEAGE_COMMITMENT	0.5372508983771679			
GO_ADENOSINE_DEAMINASE_ACTIVITY	0.5368021799727115			
GSE14415_FOXP3_KO_NATURAL_TREG_VS_TCONV_UP	0.5365533654536716			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.5334674502126817			
IPA_SMARCC1_UP	0.5326916218264666			
GO_MAINTENANCE_OF_DNA_METHYLATION	0.5313929829298896			
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP	0.5304711004371718			
ZHAN_MULTIPLE_MYELOMA_CD2_UP	0.5293736123967352			
GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP	0.5286470567570607			
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	0.5273763083566142			
HUMMEL_BURKITTS_LYMPHOMA_UP	0.526904295724991			
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.5268100961750684			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.5262443407871948			
GO_HISTONE_BINDING	0.5256147739595065			
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.5247817321109908			
PID_DNA_PK_PATHWAY	0.524288279163811			
GO_METHYLATED_HISTONE_BINDING	0.5242063762599606			
GSE2706_UNSTIM_VS_2H_R848_DC_UP	0.5231341521042778			
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	0.5228108295250381			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.5223193703513975			
GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN	0.5222452780492854			
GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.5221632957542118			
MORI_PLASMA_CELL_DN	0.5219645241176405			
IPA_SPIB_UP	0.5218324733161046			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.5216170173689043			
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.5213410990125092			
GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_DN	0.5207277842310788			
IPA_PAX5_UP	0.5197317385972002			
BIOCARTA_CTCF_PATHWAY	0.5186765164736885			
PUJANA_BRCA2_PCC_NETWORK	0.518495392933416			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.5184437651609828			
GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_DN	0.5182710779632114			
GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN	0.5179035218516064			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_DN	0.517843599839776			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.5173174703829502			
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.5172857211878531			
GO_CATALYTIC_ACTIVITY_ACTING_ON_DNA	0.5171821518057332			
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_UP	0.5167089674241676			
GO_TRNA_SPECIFIC_ADENOSINE_DEAMINASE_ACTIVITY	0.5160156186714288			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.515929804692966			
PID_PI3KCI_PATHWAY	0.5158055758816391			
GSE22886_TCELL_VS_BCELL_NAIVE_DN	0.5157962221825084			
GO_HISTONE_H4_ACETYLATION	0.5156981202784702			
GO_PROTEIN_DNA_COMPLEX	0.5155877788589944			
GSE37301_MULTIPOTENT_PROGENITOR_VS_CD4_TCELL_UP	0.515528591409437			
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_DN	0.5154775182905165			
GSE23114_WT_VS_SLE2C1_MOUSE_PERITONEAL_CAVITY_B1A_BCELL_UP	0.5153029277022856			
GSE10325_CD4_TCELL_VS_BCELL_DN	0.5151231117119459			
GO_NUCLEOLAR_LARGE_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.5150288706150788			
MIR4254	0.5149206794383441			
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP	0.5146945865234451			
GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_DN	0.5146602998011338			
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	0.5146089263889981			
YANG_BCL3_TARGETS_DN	0.5139943961418177			
KEGG_PRIMARY_IMMUNODEFICIENCY	0.5133229598672424			
GO_P_BODY	0.5128132101034663			
IPA_PRDM1_DN	0.5122178854631633			
MIR2114_3P	0.5119650833073093			
GO_CHROMATIN_ORGANIZATION	0.511853501404886			
GO_DNA_RECOMBINATION	0.511701741935551			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.5111882971990283			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_DN	0.5104292212219784			
IPA_TCF12_UP	0.5103854982066478			
GO_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I	0.510160878001534			
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_UP	0.5096609099102272			
GSE29618_MONOCYTE_VS_PDC_DN	0.5093581069000354			
GSE12366_NAIVE_VS_MEMORY_BCELL_UP	0.5087345711574257			
GSE27786_BCELL_VS_NEUTROPHIL_UP	0.5087210459666315			
MIR4730	0.5083453483618882			
GO_B_CELL_PROLIFERATION	0.5080932503188259			
GRABARCZYK_BCL11B_TARGETS_DN	0.5079497127900762			
GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE	0.5078715382786175			
GO_T_CELL_DIFFERENTIATION_IN_THYMUS	0.5075436243815116			
REACTOME_CD22_MEDIATED_BCR_REGULATION	0.5074204408281358			
SIG_CHEMOTAXIS	0.5071304912793642			
KLEIN_PRIMARY_EFFUSION_LYMPHOMA_DN	0.5070588707333449			
GO_HELICASE_ACTIVITY	0.5069269701333311			
GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_UP	0.5067747549768166			
MORI_PRE_BI_LYMPHOCYTE_UP	0.5065726723092859			
HOEBEKE_LYMPHOID_STEM_CELL_UP	0.5065539429077784			
GO_PROTEIN_POLY_ADP_RIBOSYLATION	0.5065077203367886			
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN	0.5063387012267215			
IPA_HOXA7_UP	0.50603738724345			
GSE3982_BCELL_VS_NKCELL_UP	0.5059704600625554			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.5059297104189335			
GO_DNA_TOPOLOGICAL_CHANGE	0.5057340638249038			
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP	0.5056587187856613			
GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN	0.5054959596021951			
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	0.5052967234710255			
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.5052454230687218			
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP	0.505031351074743			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	0.5050050810799508			
GO_CHROMATIN_REMODELING	0.5048468447252096			
GO_IMMUNOGLOBULIN_COMPLEX	0.5048001779003286			
GO_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	0.5046850295371447			
GSE29618_BCELL_VS_MONOCYTE_UP	0.5045015279710439			
GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP	0.504239944166361			
GSE20727_CTRL_VS_H2O2_TREATED_DC_UP	0.5041233221625535			
SHIN_B_CELL_LYMPHOMA_CLUSTER_9	0.5041142455292893			
GSE10325_BCELL_VS_MYELOID_UP	0.5039837216864789			
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	0.503887896379406			
GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	0.5038465748600641			
GSE22886_NAIVE_BCELL_VS_DC_UP	0.5035413211097631			
GSE22886_CD4_TCELL_VS_BCELL_NAIVE_DN	0.5030751252060952			
GSE29618_BCELL_VS_MDC_UP	0.5029584686176211			
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.5029219486353885			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.5026527857237894			
IPA_HOXA9_UP	0.502598246418898			
GO_NPBAF_COMPLEX	0.5020264036212707			
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_UP	0.502024215570701			
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN	0.5020026732813664			
GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN	0.501990396921809			
GO_CHROMOSOME_ORGANIZATION	0.5019070925475393			
GSE22886_CD8_TCELL_VS_BCELL_NAIVE_DN	0.5017810306123017			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.5016808938525349			
REACTOME_DNA_METHYLATION	0.5013684034787155			
IPA_KLF5_DN	0.5013318842257909			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	0.5004084745584488			
GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_UP	0.5000106881567558			
MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP	0.49995710012566025			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP	0.4996721897888626			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.4996581192919911			
GSE21927_UNTREATED_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	0.4992623262802366			
GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_DN	0.4991103028636009			
GO_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	0.4990951983096238			
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP	0.498642886404164			
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME	0.49802810139153125			
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.4979461275138315			
GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.49781482585903886			
MIR6090	0.49775752259391426			
GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP	0.4976670797604231			
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_BCR_SIGNALING	0.49757320502069924			
GSE12366_GC_VS_MEMORY_BCELL_UP	0.49753925373540897			
GSE11386_NAIVE_VS_MEMORY_BCELL_DN	0.49748280646663645			
BOYLAN_MULTIPLE_MYELOMA_C_UP	0.49745884895646036			
GSE3982_MEMORY_CD4_TCELL_VS_BCELL_DN	0.49733462829313746			
PUJANA_BRCA1_PCC_NETWORK	0.4973345612174214			
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_UP	0.49723762575602204			
ZHAN_LATE_DIFFERENTIATION_GENES_DN	0.49710691363352544			
GSE1460_DP_VS_CD4_THYMOCYTE_UP	0.4971028615376422			
GO_SWI_SNF_COMPLEX	0.49691837882221374			
GSE11924_TH2_VS_TH17_CD4_TCELL_DN	0.4966900153943066			
GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_UP	0.4966583867378921			
