	Score	0.95 MoE	P-Value	Q-Value
GO_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	0.7066034074659611			
GO_ECTOPIC_GERM_CELL_PROGRAMMED_CELL_DEATH	0.7046300592707263			
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	0.704465207593207			
GO_FEVER_GENERATION	0.6983174954561808			
GO_HEAT_GENERATION	0.6724850096126025			
KRAS.LUNG.BREAST_UP.V1_UP	0.666587974608808			
GO_INTERLEUKIN_1_RECEPTOR_BINDING	0.6649901000643533			
GO_POSITIVE_REGULATION_OF_HISTONE_PHOSPHORYLATION	0.6643284966763646			
BIOCARTA_IL1R_PATHWAY	0.662732389933288			
REACTOME_INTERLEUKIN_10_SIGNALING	0.6535412001570051			
KRAS.600.LUNG.BREAST_UP.V1_UP	0.6531968113804866			
GO_POSITIVE_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.6531345402049051			
RAY_ALZHEIMERS_DISEASE	0.6517641895646363			
GHANDHI_BYSTANDER_IRRADIATION_UP	0.6509259216503014			
REACTOME_INTERLEUKIN_1_PROCESSING	0.6502059018278166			
GHANDHI_DIRECT_IRRADIATION_UP	0.6452998702768905			
AUJLA_IL22_AND_IL17A_SIGNALING	0.6451879361471942			
PID_ANTHRAX_PATHWAY	0.6446754405688488			
GO_MONOCYTE_AGGREGATION	0.6382632763934348			
IPA_FUS_DN	0.6374363268184304			
BIOCARTA_CYTOKINE_PATHWAY	0.6364252411815937			
GO_POSITIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	0.6323539189965626			
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP	0.6322931352663178			
SENESE_HDAC2_TARGETS_UP	0.6319321249143323			
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP	0.630807914936842			
ZHENG_RESPONSE_TO_ARSENITE_DN	0.6285846175091392			
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_DN	0.625129548883498			
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP	0.6231286698691318			
GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.6227084272451241			
SHIN_B_CELL_LYMPHOMA_CLUSTER_6	0.6221568393065713			
NABA_SECRETED_FACTORS	0.6211903548759187			
HINATA_NFKB_IMMU_INF	0.6198248949145666			
WU_HBX_TARGETS_1_UP	0.6192272386433504			
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.6185291536733766			
GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP	0.6177934115882382			
GO_REGULATION_OF_ADIPONECTIN_SECRETION	0.6170501233229828			
GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_DN	0.6169027248719874			
GO_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.6165629468048907			
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	0.6161415947408384			
AMIT_EGF_RESPONSE_120_MCF10A	0.6160184835980564			
BIERIE_INFLAMMATORY_RESPONSE_TGFB1	0.6148986663172019			
GO_POSITIVE_REGULATION_OF_COMPLEMENT_ACTIVATION	0.6147095325412317			
SENESE_HDAC1_TARGETS_UP	0.6130224614470157			
BIOCARTA_NTHI_PATHWAY	0.6127783614393871			
BIOCARTA_NFKB_PATHWAY	0.611514552254519			
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP	0.6090561114045485			
LINDSTEDT_DENDRITIC_CELL_MATURATION_A	0.6069917654321685			
KEGG_PRION_DISEASES	0.606962490750537			
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.6051080349184259			
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	0.6045449356648368			
GO_REGULATION_OF_FEVER_GENERATION	0.6040736084348854			
