	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_SOMITOGENESIS	0.6185583640006118			
GO_GPI_ANCHOR_BINDING	0.6081733229857637			
GO_LYSOPHOSPHATIDIC_ACID_BINDING	0.602630279127651			
LIU_CDX2_TARGETS_UP	0.5944987630433269			
GO_PH_ELEVATION	0.5791747514582938			
GO_MORPHOGEN_ACTIVITY	0.578375364847252			
IPA_CDX2_UP	0.5766573014632477			
GO_PROTEIN_AUTOPROCESSING	0.575645988783119			
IPA_REL_DN	0.5742767879092462			
GO_AMMONIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.5730132414025924			
IPA_CDX1_UP	0.572301791629524			
GO_OXYGEN_METABOLIC_PROCESS	0.5700314752631742			
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS	0.568862896754686			
IPA_RFX4_UP	0.5683240612953133			
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.5671529236057381			
GO_FUCOSYLTRANSFERASE_ACTIVITY	0.5665252248821024			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	0.5648823596115836			
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_MAC_DN	0.5630835780850645			
GO_CELLULAR_RESPONSE_TO_ACIDIC_PH	0.562741054381669			
GO_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	0.5612335189136403			
PID_RAC1_PATHWAY	0.5584321455663658			
IPA_CDX2_DN	0.5581721918386858			
GO_SHORT_CHAIN_FATTY_ACID_CATABOLIC_PROCESS	0.5569581963211594			
GO_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.5528296967894972			
GO_PHOSPHOLIPASE_A2_ACTIVITY_CONSUMING_1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE	0.5481205690717887			
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.5448993254001236			
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC	0.5435969472229494			
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP	0.543064382965682			
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN	0.5415729330255814			
LEF1_UP.V1_DN	0.541130866294122			
GO_PHOSPHOLIPASE_A2_ACTIVITY	0.540938246186979			
ARNT2_TARGET_GENES	0.540839926378723			
AUNG_GASTRIC_CANCER	0.5403559673150988			
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.5386703300121327			
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.5382381531488178			
GO_DIGESTIVE_SYSTEM_PROCESS	0.5366999856087319			
IPA_POU2F1_UP	0.5334770711214583			
SANSOM_APC_TARGETS_UP	0.5331916189143014			
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	0.5320857923506259			
GO_FEMALE_MATING_BEHAVIOR	0.5314070371935058			
REACTOME_ABACAVIR_METABOLISM	0.5311514888252507			
GO_MATING	0.5305349358486956			
DLX2_TARGET_GENES	0.5302324409578398			
GO_PHOSPHATIDYLCHOLINE_ACYL_CHAIN_REMODELING	0.5290269969941754			
GO_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_BINDING	0.5282173929495478			
GO_INTESTINAL_ABSORPTION	0.5273709902194677			
HOXA10_TARGET_GENES	0.5271811453371498			
GO_AMMONIUM_TRANSMEMBRANE_TRANSPORT	0.5270901921638894			
GO_O_GLYCAN_PROCESSING	0.5269462779597719			
GO_REPRODUCTIVE_BEHAVIOR	0.5262790964607332			
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	0.5248388580070387			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	0.524239593446104			
GO_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION	0.5242032572705239			
SANSOM_APC_TARGETS	0.5235110363051731			
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.5233947753637808			
KEGG_FATTY_ACID_METABOLISM	0.5218745331073504			
GO_DIPEPTIDYL_PEPTIDASE_ACTIVITY	0.5218734371993663			
GO_MICROBODY_LUMEN	0.5216546648919544			
IPA_CHD8_UP	0.5210357846394923			
