	Score	0.95 MoE	P-Value	Q-Value
GO_CELLULAR_RESPONSE_TO_UV	0.7698805101332771			
GO_MITOGEN_ACTIVATED_PROTEIN_KINASE_P38_BINDING	0.7672078004039138			
GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN	0.7578164965465651			
IPA_PSIP1_DN	0.7568422455874098			
PU1_Q6	0.7487538688938118			
GO_PML_BODY	0.7441002360693847			
GO_INTERFERON_ALPHA_BIOSYNTHETIC_PROCESS	0.7434962379160528			
GO_REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION	0.7395705972908109			
ZNF584_TARGET_GENES	0.7382520842413914			
GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_DN	0.7345549927673611			
IPA_FOXN3_DN	0.7314579033881061			
IPA_RORA_DN	0.7314579033881061			
IPA_ZBTB43_DN	0.7314579033881061			
IPA_TRRAP_DN	0.7314579033881061			
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS	0.7127957071420992			
GO_REGULATION_OF_DENDRITE_EXTENSION	0.7102956707775382			
GO_PROTEIN_DEACETYLASE_ACTIVITY	0.7066954723740703			
MIR7704	0.7039816556476264			
GO_UBIQUITIN_BINDING	0.7014634372276789			
IPA_KLF5_DN	0.6994261443885758			
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP	0.6992644976883301			
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	0.6971746255497347			
GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_DN	0.6892638672446167			
GO_VITAMIN_D3_METABOLIC_PROCESS	0.6877110143505039			
GO_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	0.6867785694569651			
RACCACAR_AML_Q6	0.6866724589263065			
REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY	0.6858322643311524			
GO_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	0.684228155920463			
GO_NEGATIVE_REGULATION_OF_THYMOCYTE_APOPTOTIC_PROCESS	0.6841133022142445			
RAMALHO_STEMNESS_DN	0.683532277880815			
MIR4283	0.68260731528781			
IPA_RUNX1T1_UP	0.681972107558365			
GO_PEPTIDYL_LYSINE_DEACETYLATION	0.681073279708194			
MIR4731_5P	0.6810620876389343			
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.6741818650238036			
GO_CENTRAL_ELEMENT	0.672873554537764			
ZHAN_MULTIPLE_MYELOMA_UP	0.6722014087392725			
ZNF418_TARGET_GENES	0.6706601526119286			
GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_DN	0.6701354599912648			
GO_HISTONE_H3_K4_DEMETHYLATION_TRIMETHYL_H3_K4_SPECIFIC	0.6686118732507215			
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR	0.6655741719689354			
GO_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	0.6653852494533159			
GSE33374_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_DN	0.6653037608071172			
GO_REGULATION_OF_CALCIUM_ION_TRANSPORT	0.6652024814695808			
