	Score	0.95 MoE	P-Value	Q-Value
MIR4712_3P	0.5687322182494631			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.5352850416826288			
GO_DYSTROGLYCAN_COMPLEX	0.5327099003726866			
GO_VENTRICULAR_TRABECULA_MYOCARDIUM_MORPHOGENESIS	0.5300127388314861			
GO_ARGININE_CATABOLIC_PROCESS	0.5299473427899164			
GO_PEPTIDYL_PROLINE_MODIFICATION	0.5297036751813492			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	0.5262041412082051			
GO_HEART_TRABECULA_MORPHOGENESIS	0.5214314234686676			
IPA_MTF1_UP	0.5192212692062874			
GO_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.518838909410833			
GO_PEPTIDYL_LYSINE_HYDROXYLATION	0.5176193290663746			
ZHU_CMV_24_HR_DN	0.5165103335289406			
GO_MALE_SEX_DIFFERENTIATION	0.510087197802565			
MIR142_3P	0.5097048969603657			
WU_HBX_TARGETS_2_DN	0.5083514641544401			
GO_REGULATION_OF_KETONE_BIOSYNTHETIC_PROCESS	0.5083017775472783			
GO_CD40_SIGNALING_PATHWAY	0.5077553470175701			
GO_SEX_DIFFERENTIATION	0.5075137567822645			
GO_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS	0.506603311987411			
IPA_ZEB1_UP	0.5064203653925984			
GENTILE_UV_LOW_DOSE_DN	0.5051956578936752			
GO_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	0.5039497069544573			
GO_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	0.5038786028167145			
MIR10400_3P_MIR4674	0.5032717192629996			
GO_ER_RETENTION_SEQUENCE_BINDING	0.5031607957777988			
CYCLIN_D1_UP.V1_UP	0.5029935625894152			
GO_CLEAVAGE_FURROW_FORMATION	0.5027549832024277			
LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	0.5015501417231508			
GSE3720_UNSTIM_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN	0.5013918675088638			
GO_CHORION_DEVELOPMENT	0.5012171293804226			
CAFFAREL_RESPONSE_TO_THC_8HR_5_UP	0.5011819541698868			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.500779459057974			
GO_POSITIVE_REGULATION_OF_RECEPTOR_BIOSYNTHETIC_PROCESS	0.5004947288878162			
GO_ANNEALING_ACTIVITY	0.5004104589535177			
BIOCARTA_PRION_PATHWAY	0.49971186938768547			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4991232063270831			
GO_GERM_CELL_MIGRATION	0.49899364740129776			
GO_RETINA_VASCULATURE_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	0.49890110505681573			
ZHU_CMV_ALL_DN	0.49889288639312557			
GO_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE	0.4984231964232541			
GO_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	0.4978168192807697			
NEWMAN_ERCC6_TARGETS_DN	0.4972886635293807			
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	0.49660328889502997			
GO_HISTONE_ACETYLTRANSFERASE_BINDING	0.49602757366895917			
PRDM4_TARGET_GENES	0.495012090562815			
MIR1266_3P	0.4946296152879102			
BROWNE_HCMV_INFECTION_12HR_DN	0.49462008650938355			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.494501312151253			
IK1_01	0.49428024573421064			
GO_REGULATION_OF_NEURON_PROJECTION_ARBORIZATION	0.49414549400147584			
GO_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	0.4929991030642847			
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	0.49173542757625915			
GO_POSITIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	0.49169354759825545			
IPA_NCOA1_DN	0.4915430540768468			
GO_CARDIOBLAST_DIFFERENTIATION	0.49146235241550684			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION	0.49142898467738794			
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	0.4912750375778429			
GO_OLIGOSACCHARYL_TRANSFERASE_ACTIVITY	0.49083874785150666			
STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP	0.4900909210430733			
GO_PROCOLLAGEN_PROLINE_DIOXYGENASE_ACTIVITY	0.4898404642967797			
MIR6878_3P	0.48971930465831576			
MIR4772_3P	0.4891381485482881			
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	0.48902877664590594			
ZBTB1_TARGET_GENES	0.48890134938707747			
GENTILE_UV_RESPONSE_CLUSTER_D8	0.48875816547402223			
GO_IRIS_MORPHOGENESIS	0.48857722152650207			
MIR6821_3P	0.4883836779631437			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.48832019908983604			
GO_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH	0.4882217006706545			
PID_ERBB1_INTERNALIZATION_PATHWAY	0.48802991628667847			
MIR6858_3P	0.48790418716755146			
GO_LEARNING	0.4874775747262578			
GO_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.48532855922657187			
GO_REGULATION_OF_EXOSOMAL_SECRETION	0.48529306704486924			
GO_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.4849289043718536			
KANG_DOXORUBICIN_RESISTANCE_DN	0.48474094367873266			
GO_REGULATION_OF_RECEPTOR_INTERNALIZATION	0.4846583661113263			
GO_RAL_GTPASE_BINDING	0.48449913886110807			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.48387569682465165			
GO_ACROSOMAL_VESICLE	0.48380066745805167			
GO_REGULATION_OF_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.48368712709324346			
GO_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.48359417531718585			
WU_HBX_TARGETS_3_DN	0.48315381679818986			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.4826215904995887			
KIM_WT1_TARGETS_DN	0.48248907754747383			
JIANG_AGING_CEREBRAL_CORTEX_DN	0.48244329549473003			
IPA_PTTG1_DN	0.4821514946506328			
GO_NEGATIVE_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	0.4820731212715003			
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	0.481560635461645			
GO_ENDOSOME_TO_LYSOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.4815562832782405			
CTCAAGA_MIR526B	0.4813570818147285			
IPA_BRCA2_UP	0.4810635710146673			
AMIT_EGF_RESPONSE_60_HELA	0.48098459863125387			
MIR563	0.480380519054981			
GO_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	0.48008434835079605			
PID_S1P_S1P3_PATHWAY	0.479878245223541			
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.47925286486117585			
GO_POSITIVE_REGULATION_OF_PINOCYTOSIS	0.4789421575355189			
TST1_01	0.4784993522804048			
GO_SMAD_BINDING	0.4782545072805988			
GO_MESODERM_DEVELOPMENT	0.47814023499767355			
CHIBA_RESPONSE_TO_TSA	0.47781071846172984			
GSE29618_PRE_VS_DAY7_FLU_VACCINE_MONOCYTE_UP	0.47718892559049647			
GO_POSITIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	0.47704787068857557			
GO_K63_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	0.4770252579442335			
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	0.4766105055694266			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_2H_ACT_CD4_TCELL_DN	0.47650470191869376			
GO_REPRODUCTION	0.4764868145397965			
GO_RESPONSE_TO_AMINO_ACID	0.4764307568852622			
GO_SPECIFICATION_OF_SYMMETRY	0.47613118549160843			
TCF11_01	0.4760554628519549			
SESTO_RESPONSE_TO_UV_C6	0.4757556493091083			
TURJANSKI_MAPK8_AND_MAPK9_TARGETS	0.47566090804450895			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4755088234153801			
IPA_PAF1_UP	0.475094290301905			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.47492092593305135			
GO_DNA_STRAND_RENATURATION	0.47489565382428783			
GO_CYTOSKELETON_DEPENDENT_CYTOKINESIS	0.47475624389498605			
GO_CELLULAR_RESPONSE_TO_PEPTIDOGLYCAN	0.47405937788987235			
BIOCARTA_RANKL_PATHWAY	0.4739300839985885			
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_8_SECRETION	0.4738733996450669			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.47382069912302016			
GO_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION	0.4736792896777293			
SA_TRKA_RECEPTOR	0.47366598398930315			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_UP	0.4732670424747409			
GO_REGULATION_OF_BMP_SIGNALING_PATHWAY	0.47321973792137645			
GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.4723372383065561			
HIF1_Q5	0.4716003975643391			
GO_REGULATION_OF_LYMPHANGIOGENESIS	0.4715812480164666			
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	0.4709825114963501			
IGLESIAS_E2F_TARGETS_DN	0.47077108065398876			
GO_G_PROTEIN_BETA_SUBUNIT_BINDING	0.4707630063512359			
GO_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	0.47068663984632086			
GO_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	0.4705176937801284			
MIR1184	0.47047768912158694			
IKEDA_MIR1_TARGETS_UP	0.4703158869452951			
PID_EPHB_FWD_PATHWAY	0.47031580958239705			
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN	0.47025224633639595			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4701857524101508			
GO_HETEROTRIMERIC_G_PROTEIN_COMPLEX	0.4693541621766583			
AP1_Q4_01	0.46915356031642663			
NR0B1_TARGET_GENES	0.46902588339485946			
DALESSIO_TSA_RESPONSE	0.46890694039527864			
ZNF707_TARGET_GENES	0.4687889210468837			
XU_HGF_TARGETS_INDUCED_BY_AKT1_48HR_UP	0.4687662849742125			
GO_POSITIVE_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	0.46871817194068593			
GO_REGULATION_OF_PEPTIDYL_SERINE_DEPHOSPHORYLATION	0.4684226728440741			
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.46838362191407457			
GO_MYOBLAST_FATE_COMMITMENT	0.46829823213199695			
GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_UP	0.4682607979631044			
BACH1_01	0.46808921293888284			
BIOCARTA_UCALPAIN_PATHWAY	0.46803806742239634			
BLUM_RESPONSE_TO_SALIRASIB_UP	0.4677745875564868			
GO_RESPONSE_TO_X_RAY	0.46768625545358034			
LHX9_TARGET_GENES	0.4676363534335035			
GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	0.4675743978905398			
GO_PLUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	0.4673102239108589			
GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_DN	0.46708981160117014			
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	0.46698639794115987			
IPA_RUNX2_DN	0.4669432021892569			
GO_RESPONSE_TO_FOLLICLE_STIMULATING_HORMONE	0.46659784071833765			
DITTMER_PTHLH_TARGETS_UP	0.46649477664649536			
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.46599993855960264			
GO_POSITIVE_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	0.4657178979133749			
CAFFAREL_RESPONSE_TO_THC_DN	0.4655336109592589			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	0.46551810609885774			
GO_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION	0.4652292272647711			
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	0.46504270604460674			
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	0.4649830718641602			
IPA_MYCN_DN	0.464957003937132			
AMIT_EGF_RESPONSE_240_MCF10A	0.4649245526702905			
GO_SPINDLE_LOCALIZATION	0.4642626537047659			
GO_PROTEIN_HYDROXYLATION	0.4641638842140552			
GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	0.46400436027990466			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	0.4639488028675449			
