	Score	0.95 MoE	P-Value	Q-Value
ZHANG_INTERFERON_RESPONSE	0.514154758187025			
GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_UP	0.5075574696268834			
BOWIE_RESPONSE_TO_TAMOXIFEN	0.498575727159099			
EINAV_INTERFERON_SIGNATURE_IN_CANCER	0.4982920040709136			
GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	0.49765746437460956			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.49616245346964327			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_UP	0.4951481612835537			
BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX	0.4946365263186205			
GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN	0.4945324964564454			
GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN	0.49437625220083203			
IPA_IRF5_UP	0.493722111129664			
MOSERLE_IFNA_RESPONSE	0.4920131352685687			
BROWNE_INTERFERON_RESPONSIVE_GENES	0.4918244202787342			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.4907657222708363			
UROSEVIC_RESPONSE_TO_IMIQUIMOD	0.4905047020984725			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.489882226326229			
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN	0.48984163418988835			
GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_DN	0.48932506886828986			
GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP	0.4885891960848867			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	0.488539025513823			
GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_DN	0.4882113012604131			
IPA_STAT2_UP	0.4877475012638896			
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	0.4877430729689003			
ROETH_TERT_TARGETS_UP	0.4857535091382797			
GO_REGULATION_OF_VIRAL_GENOME_REPLICATION	0.4857092949153909			
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.4855654958810001			
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4825285644776934			
GO_RESPONSE_TO_TYPE_I_INTERFERON	0.48170944594261944			
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_UP	0.48160727255956953			
GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	0.48139078096743576			
GSE14000_UNSTIM_VS_4H_LPS_DC_DN	0.4811717079407177			
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.48111567749485623			
RADAEVA_RESPONSE_TO_IFNA1_UP	0.48057337539714035			
DER_IFN_ALPHA_RESPONSE_UP	0.48025056725670245			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN	0.4800595101759901			
GSE42021_TREG_VS_TCONV_PLN_UP	0.47974086222696644			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_DN	0.47895635710028533			
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.47850490645224514			
GRANDVAUX_IFN_RESPONSE_NOT_VIA_IRF3	0.47689321210870583			
GSE22886_CTRL_VS_LPS_24H_DC_DN	0.4764252495668994			
GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.4759276183785998			
GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.47590574117167933			
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN	0.4749648248432158			
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP	0.4748733745350959			
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	0.4728515154405251			
GSE34006_WT_VS_A2AR_KO_TREG_DN	0.47241382695600176			
DAUER_STAT3_TARGETS_DN	0.4723436448254726			
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	0.47185051677159984			
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN	0.47127324368283746			
REACTOME_OAS_ANTIVIRAL_RESPONSE	0.4706080677898921			
DER_IFN_BETA_RESPONSE_UP	0.47019111739977926			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	0.4696782640679043			
GO_REGULATION_OF_VIRAL_LIFE_CYCLE	0.4696654424744135			
GO_VIRAL_GENOME_REPLICATION	0.4694539800637637			
GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP	0.4690782729937023			
GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	0.46886532981011264			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN	0.4679942190646618			
XU_AKT1_TARGETS_6HR	0.46720002481662215			
GSE42021_TREG_PLN_VS_CD24LO_TREG_THYMUS_DN	0.46701971204623355			
GO_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE	0.46545204496831205			
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN	0.4653857262872557			
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN	0.4652215589201054			
GRANDVAUX_IRF3_TARGETS_UP	0.4645068859991126			
HECKER_IFNB1_TARGETS	0.46411500016134283			
GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_UP	0.46297056843984324			
REACTOME_INTERFERON_SIGNALING	0.4625001732566756			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN	0.46227157608213176			
