	Score	0.95 MoE	P-Value	Q-Value
ZHANG_ADIPOGENESIS_BY_BMP7	0.41242452575595046			
GO_ANOIKIS	0.40801316456156744			
GO_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS	0.40278244358228904			
GO_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	0.40051334578842285			
GO_BRANCH_ELONGATION_INVOLVED_IN_URETERIC_BUD_BRANCHING	0.398582990728703			
SCHEIDEREIT_IKK_TARGETS	0.39683780022244286			
REACTOME_SOS_MEDIATED_SIGNALLING	0.39373861917247804			
BIOCARTA_PTC1_PATHWAY	0.3865154294708709			
PID_INSULIN_PATHWAY	0.3796872776175187			
GO_BETA_CATENIN_BINDING	0.3790953384782592			
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.3788887808860416			
GO_POSITIVE_REGULATION_OF_PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA	0.3787540499218363			
PID_IGF1_PATHWAY	0.3786291418021828			
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	0.37835362960518953			
GO_CO_RECEPTOR_BINDING	0.3777161965799686			
GO_SMOOTH_MUSCLE_TISSUE_DEVELOPMENT	0.3772796922958356			
BROWNE_HCMV_INFECTION_2HR_DN	0.3759828029363143			
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.37571648227695814			
HALLMARK_TGF_BETA_SIGNALING	0.37524996094222707			
GO_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	0.3746428598304162			
GO_REGULATION_OF_ANOIKIS	0.3745562707165515			
GO_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.3732483651551703			
MIR4501	0.37284264650376797			
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.3720308799099711			
GO_LIVER_REGENERATION	0.3720295448616727			
NR0B1_TARGET_GENES	0.37166057841312705			
HNF4ALPHA_Q6	0.37107454652415833			
PID_BETA_CATENIN_NUC_PATHWAY	0.37026416153365954			
GENTILE_UV_HIGH_DOSE_DN	0.3688300210024156			
BIOCARTA_ALK_PATHWAY	0.36799952519626444			
GO_NEPHRIC_DUCT_MORPHOGENESIS	0.36787701872601725			
ZNF837_TARGET_GENES	0.36787430985859243			
REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING	0.36687757825058526			
KIM_WT1_TARGETS_8HR_DN	0.36537569746438664			
PID_TGFBR_PATHWAY	0.36503822057618623			
GO_SYNAPTIC_CLEFT	0.3646897079945785			
GO_CHEMOREPELLENT_ACTIVITY	0.3645074066457384			
GO_MESODERMAL_CELL_DIFFERENTIATION	0.3642083472050341			
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	0.36404794404409774			
IPA_AR_DN	0.3638771856398825			
GO_MESENCHYMAL_CELL_PROLIFERATION	0.36355553049649886			
GO_TRIGEMINAL_NERVE_MORPHOGENESIS	0.3635154751620422			
PRMT5_TARGET_GENES	0.36328758824578894			
LEE_CALORIE_RESTRICTION_NEOCORTEX_DN	0.3629141224619606			
PID_BMP_PATHWAY	0.36262871447027556			
GO_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY	0.3625986606991526			
GO_MICROTUBULE_END	0.36252741187972864			
PID_PDGFRA_PATHWAY	0.36232614255948664			
BILD_CTNNB1_ONCOGENIC_SIGNATURE	0.3621890776701707			
PID_RET_PATHWAY	0.36202448064486487			
PPAR_DR1_Q2	0.36182734608996014			
CHIN_BREAST_CANCER_COPY_NUMBER_UP	0.3615309807778688			
MARTINEZ_RESPONSE_TO_TRABECTEDIN	0.36145509357152644			
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	0.3610774771463477			
GO_RESPONSE_TO_PROGESTERONE	0.360837732355156			
GO_EMBRYONIC_SKELETAL_JOINT_DEVELOPMENT	0.3607471272606905			
GO_NEGATIVE_REGULATION_OF_COAGULATION	0.3603672416930176			
DASU_IL6_SIGNALING_SCAR_UP	0.3602233390168208			
GO_PATCHED_BINDING	0.35919951242737375			
GO_NOTOCHORD_DEVELOPMENT	0.35819966194769937			
GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	0.3581507940982595			
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	0.3581084464135053			
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.3576237002259825			
GO_NEGATIVE_REGULATION_OF_ANION_TRANSMEMBRANE_TRANSPORT	0.35759189019211884			
GO_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	0.3574743124188611			
BIOCARTA_INSULIN_PATHWAY	0.3572131714707284			
chr17q24	0.35709487961007663			
GO_REGULATION_OF_MUSCLE_CONTRACTION	0.3570361735202722			
COUP_01	0.35699526679486887			
GO_PROTEIN_LOCALIZATION_TO_BASOLATERAL_PLASMA_MEMBRANE	0.3567806490422986			
GO_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	0.3567633892468134			
SAGIV_CD24_TARGETS_UP	0.3564804968115374			
GO_SMAD_BINDING	0.35627198834138163			
PID_ERBB1_DOWNSTREAM_PATHWAY	0.35566031235923495			
GO_LENS_FIBER_CELL_MORPHOGENESIS	0.3554334609901879			
WU_HBX_TARGETS_1_DN	0.3554300412341207			
GO_POSITIVE_REGULATION_OF_POSTTRANSCRIPTIONAL_GENE_SILENCING	0.3551427570816486			
chr2q36	0.35495711805049224			
BIOCARTA_TFF_PATHWAY	0.3544616257996633			
IPA_NCL_UP	0.35433905313785574			
GO_NEPHRIC_DUCT_DEVELOPMENT	0.3541942222643743			
GO_TRACHEA_DEVELOPMENT	0.35400131919230793			
BILANGES_SERUM_SENSITIVE_VIA_TSC1	0.3535416600101993			
BURTON_ADIPOGENESIS_PEAK_AT_2HR	0.35348748397105156			
GO_TRACHEA_CARTILAGE_DEVELOPMENT	0.35333258008487795			
