	Score	0.95 MoE	P-Value	Q-Value
GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	0.4189342435622409			
GSE40274_FOXP3_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.4076203992676208			
MEISSNER_ES_ICP_WITH_H3K4ME3	0.4048317456028227			
IPA_PSIP1_DN	0.3959172024139892			
BIOCARTA_NOTCH_PATHWAY	0.39184916119779084			
GO_THYMUS_DEVELOPMENT	0.3880045326649896			
GO_ENDOCARDIUM_MORPHOGENESIS	0.38662891213691614			
GO_INTERLEUKIN_5_PRODUCTION	0.38166920873653615			
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_MULTIPOTENT_PROGENITOR_UP	0.3779674729110786			
REACTOME_SIGNALING_BY_NOTCH3	0.375993147408887			
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	0.37437390439891854			
GSE29949_CD8_NEG_DC_SPLEEN_VS_DC_BRAIN_UP	0.3736435828497081			
GSE37301_LYMPHOID_PRIMED_MPP_VS_COMMON_LYMPHOID_PROGENITOR_UP	0.37215523797740474			
MIR6853_5P	0.37170926001366755			
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN	0.36888825010360254			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	0.3683832878307445			
CSHL1_TARGET_GENES	0.3676338779082964			
GO_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.36741895329021484			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_5_PRODUCTION	0.36661292100964404			
JAERVINEN_AMPLIFIED_IN_LARYNGEAL_CANCER	0.366546014713354			
DCA_UP.V1_DN	0.36629097353930984			
GO_ADULT_HEART_DEVELOPMENT	0.36570632963702804			
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	0.36568707482728124			
chr6p21	0.36529922686638355			
