	Score	0.95 MoE	P-Value	Q-Value
PID_IL2_STAT5_PATHWAY	0.5181440478634983			
GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_DN	0.5100896402065296			
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	0.5058043645710645			
ZNF197_TARGET_GENES	0.5027101918726513			
GO_PHOSPHATIDYLINOSITOL_PHOSPHORYLATION	0.5000299964057101			
GO_REGULATION_OF_DNA_RECOMBINATION	0.4962243936292159			
GO_H3_HISTONE_ACETYLTRANSFERASE_ACTIVITY	0.4952346479430002			
REACTOME_INTERLEUKIN_2_SIGNALING	0.49449871479748686			
PID_IL2_1PATHWAY	0.4920856368939165			
GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	0.4912272639887312			
MIR6775_5P	0.49042732737201844			
E2F5_TARGET_GENES	0.4901816005765581			
BIOCARTA_IL2_PATHWAY	0.48776109945671375			
GO_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY	0.48765003074185215			
PASTURAL_RIZ1_TARGETS_DN	0.48705581131181086			
REACTOME_MEIOTIC_RECOMBINATION	0.486289077017447			
GO_NEGATIVE_REGULATION_OF_VESICLE_FUSION	0.4862237683148197			
GO_RESPONSE_TO_INTERLEUKIN_2	0.4854819401401106			
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	0.4845286558244394			
GO_T_CELL_SELECTION	0.483203193058614			
REACTOME_STAT5_ACTIVATION	0.4827956337175266			
GO_POSITIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.48267680927072815			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.4822275129245401			
GO_MISMATCHED_DNA_BINDING	0.4813689909245225			
IPA_GABPA_DN	0.48116309993574635			
GO_MEIOTIC_CHROMOSOME_SEPARATION	0.4811078543286719			
GO_PROTEIN_DNA_COMPLEX	0.47924786328588365			
GO_INTERLEUKIN_21_MEDIATED_SIGNALING_PATHWAY	0.47881678624158924			
GO_NEGATIVE_REGULATION_OF_DNA_RECOMBINATION	0.47826064046115874			
MIR6865_3P	0.4773184861481274			
IPA_KLF3_UP	0.4771784240415076			
FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_DN	0.47659153000793275			
GSE7219_WT_VS_NIK_NFKB2_KO_DC_DN	0.47522429914724595			
FINETTI_BREAST_CANCER_KINOME_GREEN	0.47399382892129077			
GO_HISTONE_H3_K4_METHYLATION	0.47313511146154624			
IPA_USF2_UP	0.4731123993368175			
GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	0.47266435335581636			
REACTOME_INTERLEUKIN_7_SIGNALING	0.47261283807810633			
GO_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.47255023302749066			
BIOCARTA_IL2RB_PATHWAY	0.47214472196994745			
GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP	0.4716405869554019			
GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	0.4714189951303931			
GO_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	0.471142261496108			
GO_POSITIVE_T_CELL_SELECTION	0.47093005995821996			
GO_SITE_OF_DOUBLE_STRAND_BREAK	0.4707691754480149			
PID_TCR_PATHWAY	0.4700570571199532			
PID_CD8_TCR_PATHWAY	0.4696424979376842			
GO_PEPTIDYL_LYSINE_METHYLATION	0.46960449401473914			
IPA_FLI1_DN	0.4695770239278564			
GO_DNA_TOPOISOMERASE_ACTIVITY	0.4691462718753637			
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	0.46911742793507577			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.4681718207831559			
GSE24210_RESTING_TREG_VS_TCONV_UP	0.46810925062104186			
GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.4678872012691422			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.4677645124355416			
REACTOME_INTERLEUKIN_21_SIGNALING	0.46693063930743706			
PARK_HSC_VS_MULTIPOTENT_PROGENITORS_UP	0.46688884529756064			
