	Score	0.95 MoE	P-Value	Q-Value
KIM_LIVER_CANCER_POOR_SURVIVAL_UP	0.6023852991260686			
CORRE_MULTIPLE_MYELOMA_UP	0.5943390258488133			
GSE7460_TCONV_VS_TREG_THYMUS_DN	0.5913382160394919			
IPA_MLLT3_UP	0.5832655083051442			
HALLMARK_KRAS_SIGNALING_UP	0.5829325566637543			
GSE8685_IL2_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP	0.5782609745929025			
GSE3982_MAC_VS_NKCELL_UP	0.5709940060719298			
GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP	0.5708449905543074			
HALLMARK_IL2_STAT5_SIGNALING	0.5694654408633615			
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	0.5682248839935771			
GSE7852_TREG_VS_TCONV_THYMUS_UP	0.5643315573624386			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN	0.5642594888101168			
GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_DN	0.5620622856124455			
MIR6800_5P	0.5604283451344804			
GSE29164_DAY3_VS_DAY7_UNTREATED_MELANOMA_DN	0.5604282867262269			
GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_DN	0.5603356252731992			
GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN	0.5602931696761941			
MIR6729_3P	0.5601434789554122			
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_6H_UP	0.5596854380408381			
GO_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	0.5595007091364723			
GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.5586242141599359			
GSE22611_UNSTIM_VS_6H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_DN	0.558381983862981			
GO_COBALT_ION_TRANSPORT	0.5574600161489323			
GO_MITOCHONDRIA_ASSOCIATED_ENDOPLASMIC_RETICULUM_MEMBRANE	0.5574394007660362			
GO_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	0.5566029669930332			
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.5565253407190874			
GSE12392_WT_VS_IFNB_KO_CD8A_POS_SPLEEN_DC_DN	0.5549009905695931			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP	0.5536097279106523			
GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_DN	0.5527232739661323			
KRAS.600.LUNG.BREAST_UP.V1_UP	0.5525248252938404			
