	Score	0.95 MoE	P-Value	Q-Value
RIZ_ERYTHROID_DIFFERENTIATION	0.3844574823236087			
GO_G0_TO_G1_TRANSITION	0.3651726457945763			
PID_E2F_PATHWAY	0.3636604220273463			
GO_HOST_CELL_NUCLEUS	0.36129001958567314			
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN	0.35144484134022014			
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	0.3487602389753781			
PYEON_HPV_POSITIVE_TUMORS_UP	0.34747672244746625			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.3460461836037274			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H4_K20_SPECIFIC	0.3452860481183538			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.3446355573572849			
GO_DNA_CLAMP_LOADER_ACTIVITY	0.3408412288534541			
GO_DNA_REPLICATION_FACTOR_C_COMPLEX	0.33902022623714617			
GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN	0.3379521216420022			
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN	0.337497700256681			
PUJANA_XPRSS_INT_NETWORK	0.3367141981440689			
GO_SINGLE_STRANDED_DNA_HELICASE_ACTIVITY	0.3364454030036941			
GO_REGULATION_OF_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	0.3362429083325229			
GO_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	0.3358374527972485			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	0.3353209127147532			
PUJANA_BRCA2_PCC_NETWORK	0.3352028442291471			
GO_CELL_CYCLE_DNA_REPLICATION	0.3333422118053497			
GO_MITOTIC_SISTER_CHROMATID_COHESION	0.33324204212140185			
REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	0.33248046585519764			
GO_HOST_CELL_NUCLEAR_PART	0.3324646526064211			
ZWANG_DOWN_BY_2ND_EGF_PULSE	0.3321473358346276			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.33176899063322085			
CHOW_RASSF1_TARGETS_UP	0.3310773892701414			
REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION	0.3299399528520972			
GO_3_5_DNA_HELICASE_ACTIVITY	0.3296640201599416			
RIZ_ERYTHROID_DIFFERENTIATION_CCNE1	0.32919505720384756			
REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION	0.32905934736743153			
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	0.32795409960486976			
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	0.3277555696955073			
PUJANA_BRCA_CENTERED_NETWORK	0.3273267866480077			
GO_MRNA_EXPORT_FROM_NUCLEUS	0.3271940028203444			
GO_MEIOTIC_COHESIN_COMPLEX	0.32661427626779266			
REACTOME_DISEASES_OF_DNA_REPAIR	0.3264316270546086			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.3260544688655979			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6	0.3244092533388954			
BIOCARTA_PRC2_PATHWAY	0.3243016930532685			
LEE_EARLY_T_LYMPHOCYTE_UP	0.32425813431680356			
GO_MRNA_3_END_PROCESSING	0.32408136641261565			
REACTOME_DNA_STRAND_ELONGATION	0.3240656475896936			
REACTOME_UNWINDING_OF_DNA	0.3240643238689213			
