	Score	0.95 MoE	P-Value	Q-Value
MIR340_3P	0.7200938736207015			
IPA_ZNF536_UP	0.7101819315717329			
IPA_ZBTB7C_UP	0.7101819315717329			
IPA_RFX7_DN	0.7101819315717329			
IPA_KMT2C_UP	0.7101819315717329			
REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	0.7017732216423157			
MIR4536_3P	0.7014658695286143			
GO_SOMITE_SPECIFICATION	0.7009120348053708			
HSF1_01	0.6969506183737341			
chr3p12	0.6951385959961147			
IPA_SIX2_UP	0.6906996490625479			
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	0.6904254181672577			
GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP	0.6887581526182742			
MIR4667_3P	0.688691780828417			
GO_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION	0.6884943451944999			
GO_ORGAN_INDUCTION	0.688150578822157			
IPA_SMARCA2_DN	0.6864806125694538			
IPA_DLX5_UP	0.6835046226150258			
FXR_Q3	0.6798838704949361			
GO_EMBRYONIC_ORGAN_MORPHOGENESIS	0.6792557306587363			
GO_DEVELOPMENTAL_INDUCTION	0.6781820961248285			
GO_ENDOCARDIAL_CUSHION_DEVELOPMENT	0.6768467465418346			
GO_SYNAPTIC_CLEFT	0.6761708096875702			
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6746710997829025			
GO_ENDOCARDIAL_CUSHION_MORPHOGENESIS	0.6744996568659187			
GO_NUCLEUS_LOCALIZATION	0.6738268049824857			
GO_INNER_EAR_MORPHOGENESIS	0.6718115594448061			
IPA_PITX1_UP	0.6707093178325209			
GO_TANGENTIAL_MIGRATION_FROM_THE_SUBVENTRICULAR_ZONE_TO_THE_OLFACTORY_BULB	0.6706078765074301			
GO_ECTODERMAL_PLACODE_DEVELOPMENT	0.6702724311384238			
KMCATNNWGGA_UNKNOWN	0.6694506978827922			
FOXM1_01	0.6689035982566737			
CACBINDINGPROTEIN_Q6	0.6684022469093026			
GO_NURF_COMPLEX	0.6683306459829933			
GO_BRAIN_MORPHOGENESIS	0.6673138694866574			
IPA_SALL4_DN	0.6655632976737907			
GO_COCHLEA_MORPHOGENESIS	0.6635192370199111			
REACTOME_SHC_MEDIATED_CASCADE_FGFR1	0.6633867489018149			
IPA_SALL1_UP	0.6630972350903019			
IPA_DLX5_DN	0.6630972350903019			
GO_EAR_MORPHOGENESIS	0.661650616946413			
GO_REGULATION_OF_ANIMAL_ORGAN_FORMATION	0.6610024433802996			
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	0.6609590071653184			
GO_PRC1_COMPLEX	0.6602234111206094			
GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_INVOLVED_IN_HEART_DEVELOPMENT	0.659923373957122			
GO_RETROGRADE_AXONAL_TRANSPORT	0.6595136710334665			
SHARMA_PILOCYTIC_ASTROCYTOMA_LOCATION_UP	0.6590152440765666			
GO_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	0.6583247844847346			
MIR1973	0.6545182504195819			
MIR1306_5P	0.6539292407003068			
ZNF134_TARGET_GENES	0.6537439245848377			
HTF_01	0.6534371406956888			
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	0.6522510562354418			
TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_UP	0.6522102911419877			
PAX5_01	0.6520259242319			
GO_REGULATION_OF_RYANODINE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY	0.6510297193796297			
YCATTAA_UNKNOWN	0.6504266967850392			
GO_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	0.6501180674045046			
IPA_DBP_DN	0.6492498081246486			
GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	0.6483023689912047			
GTCNYYATGR_UNKNOWN	0.6479510120314327			
GO_INHIBITORY_SYNAPSE	0.6469206654886872			
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	0.6452094047572156			
GO_PRESYNAPTIC_MEMBRANE_ORGANIZATION	0.6448618574039008			
HOXA4_Q2	0.6443530816043135			
AACWWCAANK_UNKNOWN	0.6441578521790323			
VALK_AML_WITH_T_8_21_TRANSLOCATION	0.6434584854374089			
GO_MESENCHYME_MORPHOGENESIS	0.642766695781427			
IPA_SOX5_DN	0.6425958314126726			
MIR196A_5P_MIR196B_5P	0.6414250667261279			
MYAATNNNNNNNGGC_UNKNOWN	0.6409177933634376			
GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP	0.6407692484635683			
IPA_NFYA_UP	0.640714238574501			
GO_RECEPTOR_LOCALIZATION_TO_SYNAPSE	0.6398283386218957			
MIR328_5P	0.639747421292816			
