	Score	0.95 MoE	P-Value	Q-Value
GO_BMP_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	0.7836313472343451			
GO_EMBRYONIC_HINDLIMB_MORPHOGENESIS	0.7769890452972471			
GO_HINDLIMB_MORPHOGENESIS	0.7716482451361314			
IPA_PAX3_DN	0.7593317992687175			
GO_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	0.7512731448616022			
GO_REGULATION_OF_PROSTATIC_BUD_FORMATION	0.7369010146554319			
IPA_DLX2_UP	0.7364793257659656			
IPA_LEF1_DN	0.73466942158604			
GO_MESENCHYMAL_CELL_APOPTOTIC_PROCESS	0.7341659839059066			
GO_COMMA_SHAPED_BODY_MORPHOGENESIS	0.7318356033955424			
GO_POSITIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	0.7238668266935125			
GO_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS	0.7221491074213855			
GO_METANEPHRIC_S_SHAPED_BODY_MORPHOGENESIS	0.7185411456026386			
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP	0.7185363090548198			
GO_S_SHAPED_BODY_MORPHOGENESIS	0.7177375554832108			
IPA_MSX1_DN	0.7122301715226024			
GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_INVOLVED_IN_HEART_DEVELOPMENT	0.7081980112501747			
GO_POSITIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE	0.7075190341333557			
GO_PROSTATIC_BUD_FORMATION	0.7062598254295035			
GO_CENTROMERIC_SISTER_CHROMATID_COHESION	0.7058445701330326			
GO_IMMATURE_T_CELL_PROLIFERATION	0.7051743745403559			
PID_BETA_CATENIN_DEG_PATHWAY	0.7025559651583267			
GO_CRANIOFACIAL_SUTURE_MORPHOGENESIS	0.698328322838949			
GCGSCMNTTT_UNKNOWN	0.6966834361283203			
GO_SECONDARY_HEART_FIELD_SPECIFICATION	0.6938329402135799			
GO_GLOMERULUS_VASCULATURE_MORPHOGENESIS	0.6905093535403027			
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_BUD	0.6904678160791666			
