	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_DEMETHYLASE_ACTIVITY_H3_K36_SPECIFIC	0.4132885366486228			
GO_HISTONE_H3_K36_DEMETHYLATION	0.4132885366486228			
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_UP	0.38782542521957897			
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_DN	0.3840353726240215			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.3838302526872732			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.38237820108344506			
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_DN	0.38130756078266503			
OSMAN_BLADDER_CANCER_DN	0.3763890058458586			
WRNIP1_TARGET_GENES	0.3756031510005969			
GO_HISTONE_H3_K9_DIMETHYLATION	0.37511493351505026			
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	0.3750530876463936			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP	0.37054167700166707			
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN	0.3700536710585225			
GSE11057_PBMC_VS_MEM_CD4_TCELL_DN	0.3691584149772533			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.3686262650764925			
GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_DN	0.36860601019353967			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_UP	0.3682087295895729			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.36757359034715575			
GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN	0.36737181741448344			
IPA_TAF4B_UP	0.36668652599402096			
GSE27896_HDAC6_KO_VS_WT_TREG_UP	0.36584879109659857			
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP	0.3658274559195713			
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP	0.36573396807981373			
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_DN	0.3654860885997271			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	0.36546664752080066			
GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP	0.3654608892522274			
BIOCARTA_TCR_PATHWAY	0.3650321682014747			
GSE14350_TREG_VS_TEFF_UP	0.36375666555096997			
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	0.36375110620344			
GO_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.3623456587885785			
GO_B_CELL_APOPTOTIC_PROCESS	0.36182481765994473			
GO_NUCLEOLAR_LARGE_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.36071706441234125			
GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	0.36057913981847234			
GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.36015554038874786			
GSE31082_DN_VS_CD4_SP_THYMOCYTE_DN	0.35984332051511425			
GO_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.359505800742995			
GSE10325_BCELL_VS_MYELOID_UP	0.3591445378340467			
BIOCARTA_IL2RB_PATHWAY	0.35884362297201755			
GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_UP	0.35881279835892915			
GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_DN	0.35875609776344475			
BIOCARTA_BCR_PATHWAY	0.35864167667156954			
GO_IMMUNOGLOBULIN_COMPLEX	0.3585072592962372			
GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	0.3576570409827713			
