	Score	0.95 MoE	P-Value	Q-Value
GO_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	0.39158534761351177			
GO_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	0.3844652888621194			
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	0.38350607612408405			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN	0.3819673220358839			
MIR6790_3P	0.3798290881489859			
BIOCARTA_CCR5_PATHWAY	0.37964809439208697			
GSE17721_LPS_VS_POLYIC_24H_BMDC_DN	0.3775694465737194			
GSE21927_SPLEEN_MONOCYTE_VS_GMCSF_GCSF_BONE_MARROW_UP	0.37643329269903875			
MIR6867_5P	0.3724863322180434			
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.3708871378690667			
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.3701605662455385			
MIR3925_3P	0.3699890132199865			
GO_BLEB	0.3696242780020052			
MIR6755_3P	0.3685269245258029			
MIR10395_3P	0.3671293150450788			
IPA_KAT2B_DN	0.36698127460239627			
MIR20A_3P	0.3665458935340433			
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	0.3663682660846727			
KRIEG_HYPOXIA_NOT_VIA_KDM3A	0.3660955756840603			
GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.36595157024552116			
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY	0.36586375473737365			
GO_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	0.36577810969352953			
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MDC_UP	0.36481837759321056			
GO_ELL_EAF_COMPLEX	0.3644238091594341			
GO_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVITY	0.364251314241646			
REACTOME_METALLOPROTEASE_DUBS	0.3638924005527171			
MIR376B_5P_MIR376C_5P	0.36380894284502163			
BIDUS_METASTASIS_DN	0.36333069363531467			
GO_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	0.3620153066191219			
MIR4522	0.36158030324532275			
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_DN	0.3592454128269106			
MIR6833_5P	0.3587377509047594			
GSE17721_PAM3CSK4_VS_CPG_6H_BMDC_DN	0.35856452666769645			
MIR6726_5P	0.35835289964667033			
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_DN	0.35827568360711337			
THUM_SYSTOLIC_HEART_FAILURE_UP	0.35822144653191845			
MIR5591_5P	0.3574893350393157			
GO_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.3573678125303641			
MIR4513	0.3573489655315402			
GO_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	0.35678817108933586			
GO_REGULATION_OF_MYD88_INDEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.356744261670684			
GO_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY	0.3559707672464767			
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	0.3556816906183173			
GO_POSITIVE_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	0.3555387236113293			
MIR26A_1_3P	0.3547262777656546			
MIR3140_3P	0.3546495840467048			
MIR7152_5P	0.3543823368634832			
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	0.3540854587800642			
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP	0.3538029898821036			
GSE11961_FOLLICULAR_BCELL_VS_MARGINAL_ZONE_BCELL_UP	0.3536823508654439			
MIR182_3P	0.3536398084307784			
GO_POSITIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	0.35360454883256925			
MIR4524A_3P	0.3532338394393308			
