	Score	0.95 MoE	P-Value	Q-Value
IPA_NFIX_UP	0.5460706777631067			
MIR1237_5P_MIR4488	0.5305259133358353			
MIR10396A_5P	0.4965699067332098			
MIR4697_5P	0.4775943202359582			
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	0.4607472098244125			
GO_CARTILAGE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS	0.4585318678889199			
GO_COLLAGEN_FIBRIL_ORGANIZATION	0.45807786201569906			
GO_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	0.45772972032946097			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.44999312567436484			
GO_CHONDROCYTE_DIFFERENTIATION_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS	0.4496686058016323			
GO_BONE_MORPHOGENESIS	0.448415231649058			
GO_EXTRACELLULAR_MATRIX_ASSEMBLY	0.4478146575651795			
SIMBULAN_PARP1_TARGETS_UP	0.44760662208829055			
ZHENG_GLIOBLASTOMA_PLASTICITY_DN	0.44733721538717025			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.4473224139075695			
GO_INTEGRIN_BIOSYNTHETIC_PROCESS	0.4430549776456288			
GO_CONNECTIVE_TISSUE_DEVELOPMENT	0.44167662395882024			
GO_BONE_GROWTH	0.4410586132974993			
GO_CARTILAGE_DEVELOPMENT	0.4401906648072124			
GO_ENDOCHONDRAL_BONE_MORPHOGENESIS	0.43914992784208723			
GO_NEGATIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.43775514956000733			
GO_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	0.43601072522108025			
GO_GROWTH_PLATE_CARTILAGE_DEVELOPMENT	0.43541912097992663			
WEST_ADRENOCORTICAL_TUMOR_DN	0.43420591949165127			
VERRECCHIA_EARLY_RESPONSE_TO_TGFB1	0.43365452455297			
BIOCARTA_PDZS_PATHWAY	0.4335603557906287			
IPA_SMAD7_DN	0.4333050505299631			
GO_SKELETAL_SYSTEM_MORPHOGENESIS	0.4331230922434906			
GO_CORPUS_CALLOSUM_DEVELOPMENT	0.4321496600712531			
LIU_PROSTATE_CANCER_DN	0.4313950061635992			
GO_EYE_MORPHOGENESIS	0.4310059051888301			
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.43090606410518517			
GO_NEURAL_RETINA_DEVELOPMENT	0.4307261866696026			
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	0.43063564156150314			
IPA_RFX5_DN	0.4305392148354286			
SERVITJA_ISLET_HNF1A_TARGETS_UP	0.4304888967107032			
GO_CHONDROCYTE_DEVELOPMENT	0.4304406225867557			
KIM_WT1_TARGETS_12HR_UP	0.43027178029244834			
GO_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	0.4302017936871054			
GO_DENDRITIC_SHAFT	0.42841516228787513			
GO_SEMI_LUNAR_VALVE_DEVELOPMENT	0.4280578164757473			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.42652150313744486			
POOLA_INVASIVE_BREAST_CANCER_DN	0.4261738999405381			
GO_COMMISSURAL_NEURON_AXON_GUIDANCE	0.4259823315129543			
TCTCTCC_MIR185	0.425030880667738			
GO_SKELETAL_SYSTEM_DEVELOPMENT	0.4246414289381234			
GSE6259_CD4_TCELL_VS_CD8_TCELL_UP	0.4242992665058328			
CHANDRAN_METASTASIS_DN	0.42398768121504626			
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	0.4236863702904394			
REACTOME_COLLAGEN_FORMATION	0.42313936115126916			
GO_NEURON_PROJECTION_REGENERATION	0.4227859852298496			
GO_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.42157803726199794			
SENESE_HDAC1_TARGETS_DN	0.4207407589490975			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.42072451734937777			
PID_SYNDECAN_1_PATHWAY	0.4201104471682666			
ZHU_CMV_ALL_DN	0.41997945603945996			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	0.4199121832107602			
GO_NEURAL_TUBE_PATTERNING	0.4199093355241838			
REACTOME_SYNDECAN_INTERACTIONS	0.41847745083261473			
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	0.41836318762442			
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0.4176533483714168			
GO_CHONDROCYTE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS	0.41718325157110175			
VERRECCHIA_RESPONSE_TO_TGFB1_C3	0.4169924384776793			
CHIBA_RESPONSE_TO_TSA_UP	0.4165707893294956			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	0.4164643332736687			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.41645874278648376			
GO_OSSIFICATION	0.41638978277381244			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.41590905194381683			
GO_GROWTH_FACTOR_BINDING	0.41575180321049643			
GO_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.4156469186810078			
GO_CHONDROCYTE_DIFFERENTIATION	0.4151476073526708			
IPA_AHR_DN	0.4149924323001078			
AP2ALPHA_01	0.41444459495146957			
BOQUEST_STEM_CELL_UP	0.4141367753953711			
GACAGGG_MIR339	0.4139354603624165			
AKT_UP.V1_DN	0.4137670866491865			
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.413595551302551			
CAGGGTC_MIR504	0.41263717757039575			
GO_EMBRYONIC_DIGIT_MORPHOGENESIS	0.41262201901700596			
GO_MESENCHYMAL_STEM_CELL_DIFFERENTIATION	0.412530090336391			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_DN	0.4113521990997836			
VERRECCHIA_RESPONSE_TO_TGFB1_C4	0.41112192243694995			
IPA_GLI1_UP	0.41092205646263624			
GO_WNT_PROTEIN_BINDING	0.4107358408468555			
GO_SMOOTHENED_SIGNALING_PATHWAY	0.41073238108823074			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.4105842383214067			
GO_GLOMERULUS_VASCULATURE_MORPHOGENESIS	0.41019886101691394			
GO_METANEPHRIC_NEPHRON_DEVELOPMENT	0.41008273556535824			
GROSS_HYPOXIA_VIA_ELK3_UP	0.40997769305059273			
LIM_MAMMARY_STEM_CELL_UP	0.409407066367963			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.4091948036650919			
VERHAAK_GLIOBLASTOMA_CLASSICAL	0.4091015581468851			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.4089973974433979			
IPA_GTF3C2_DN	0.40825016122701374			
IPA_HIST2H3C_DN	0.40825016122701374			
