	Score	0.95 MoE	P-Value	Q-Value
GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN	0.7360528213077303			
ADCYAP1_TARGET_GENES	0.7219807486192062			
GO_PROTEIN_LOCALIZATION_TO_NON_MOTILE_CILIUM	0.7155811416695288			
MIR3922_5P	0.7082012829715874			
PID_AR_TF_PATHWAY	0.7019429123756824			
GO_POSITIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	0.6995385231361362			
MIR6502_5P	0.6869343608453206			
MIR1301_5P	0.6811805704559992			
GO_OXIDOREDUCTASE_ACTIVITY_OXIDIZING_METAL_IONS_NAD_OR_NADP_AS_ACCEPTOR	0.6811048737092101			
GO_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	0.6788325282251447			
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.6752573210203582			
GO_SPECTRIN_BINDING	0.6736814690151147			
GO_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT	0.6736292647891148			
YEGNASUBRAMANIAN_PROSTATE_CANCER	0.6684041675995561			
GO_MAMMARY_GLAND_BRANCHING_INVOLVED_IN_PREGNANCY	0.6673990758892312			
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS	0.6662639537993729			
IPA_STAT3_DN	0.6635172132161746			
GO_C_TERMINAL_PROTEIN_DEGLUTAMYLATION	0.6614422530377986			
GO_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	0.660357633669796			
GO_PEPTIDE_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	0.659945993648448			
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.6596580230405784			
GO_ESTROGEN_RECEPTOR_ACTIVITY	0.659258393897431			
GO_NEGATIVE_REGULATION_OF_CHOLESTEROL_EFFLUX	0.6571823606861784			
IPA_WDR82_UP	0.6560120316090471			
GO_GOLGI_MEDIAL_CISTERNA	0.6550764502835367			
GO_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	0.6545323775683125			
PID_AR_PATHWAY	0.6541931098640648			
GO_CELLULAR_GLUCURONIDATION	0.6539397059001036			
GO_EPITHELIAL_CELL_MATURATION	0.65285607172439			
GO_TOXIN_TRANSPORT	0.6522746315458106			
MIR6886_5P	0.6522190507361955			
GO_PROTEIN_DEGLUTAMYLATION	0.6519899359960465			
TCATCTC_MIR143	0.6516177531313364			
GO_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	0.6477734921961759			
IPA_HOXC6_DN	0.6455946266823971			
GO_ADENYLATE_CYCLASE_INHIBITING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	0.6455563003240662			
GO_RAC_PROTEIN_SIGNAL_TRANSDUCTION	0.6453251113082027			
GO_COPPER_ION_IMPORT	0.6451395360272272			
ZNF416_TARGET_GENES	0.6448634904519197			
GO_PURINE_DEOXYRIBONUCLEOTIDE_BINDING	0.6420303648970682			
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FGF3	0.6416248258881854			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.6414121485490318			
HALLMARK_ANDROGEN_RESPONSE	0.641182871294239			
IPA_POU2F1_UP	0.6399503398034168			
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	0.6399044768533567			
GO_RESPONSE_TO_STEROL_DEPLETION	0.6397505900510246			
CHANDRAN_METASTASIS_UP	0.6395361536554506			
GO_PEPTIDE_CATABOLIC_PROCESS	0.6384973395310184			
GO_CALCIUM_INDEPENDENT_PHOSPHOLIPASE_A2_ACTIVITY	0.6374644230948875			
MIR660_3P	0.6366293184463938			
IPA_AR_UP	0.6365626180375654			
PID_HNF3A_PATHWAY	0.6363178984283258			
GO_REGULATION_OF_OVARIAN_FOLLICLE_DEVELOPMENT	0.6361206320590144			
GO_PROSTATE_GLANDULAR_ACINUS_MORPHOGENESIS	0.6361085176998106			
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	0.6360830588799139			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_SALMON_DN	0.6359791815457556			
GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	0.6350903406501214			
MIR378B	0.6345467470974746			
KHETCHOUMIAN_TRIM24_TARGETS_DN	0.6343176135012881			
GO_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.6333790239154866			
IPA_GLI2_UP	0.6329902165115076			
MIR5589_3P	0.6313537426281852			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	0.6313443546044772			
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	0.6312273344029685			
GCTGAGT_MIR5125P	0.6296619048096349			
GO_GLYCINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6290951757491607			
LIU_PROSTATE_CANCER_UP	0.6289039073703542			
MIR3667_5P	0.6281371199824584			
REACTOME_SODIUM_PROTON_EXCHANGERS	0.6281268734267025			
GO_MALE_GENITALIA_DEVELOPMENT	0.6277161070044047			
GO_URONIC_ACID_METABOLIC_PROCESS	0.6277016623491849			
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	0.6269339094433435			
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	0.6267141105815738			
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	0.6265957467947308			
GO_LACTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6265411307387417			
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	0.6263653804382169			
IPA_PA2G4_DN	0.6259349227832138			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.6250828410259912			
GO_TOXIN_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6248949148642705			
TOMLINS_PROSTATE_CANCER_UP	0.6247579937683837			
BIOCARTA_RACCYCD_PATHWAY	0.6238474262395787			
GO_BRANCHING_INVOLVED_IN_PROSTATE_GLAND_MORPHOGENESIS	0.6230366654118791			
GO_POSITIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	0.6229998185756399			
GO_CELL_FATE_SPECIFICATION_INVOLVED_IN_PATTERN_SPECIFICATION	0.6227610156376602			
GO_ACETYLCHOLINE_METABOLIC_PROCESS	0.6225027873882385			
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN	0.6224170425073665			
MIR4694_3P	0.6222977414006406			
GO_LACTATE_TRANSPORT	0.6221506009740677			
MIR4758_3P	0.6216840753482535			
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP	0.6216513818502262			
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE	0.6214902645314813			
WANG_RESPONSE_TO_ANDROGEN_UP	0.6213367077015406			
IPA_KLF10_DN	0.62089323078002			
IPA_SULT2A1_DN	0.620509690520432			
GO_ALPHA_GLUCOSIDASE_ACTIVITY	0.6203251193424185			
BIOCARTA_WNT_PATHWAY	0.6203108741843074			
GO_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.6200861123021936			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_23	0.6195900634558792			
REACTOME_AMINO_ACID_CONJUGATION	0.6195793320542846			
GO_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS	0.619561284311053			
GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.6194082900155599			
GO_EOSINOPHIL_DIFFERENTIATION	0.6193125797322562			
GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY	0.6192824075737466			
GO_REGULATION_OF_NEUTROPHIL_EXTRAVASATION	0.6172265822628569			
GO_PHOSPHATIDYLSERINE_METABOLIC_PROCESS	0.6167308293809775			
GO_NUCLEAR_INNER_MEMBRANE	0.616725532221089			
BIOCARTA_EGFR_SMRTE_PATHWAY	0.6166758361892736			
GO_REGULATION_OF_NEUTROPHIL_MEDIATED_CYTOTOXICITY	0.6158645582081124			
IPA_REL_DN	0.6153548401586617			
GO_DEPHOSPHORYLATION_OF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN	0.6151279511406935			
GO_INDUCTION_OF_BACTERIAL_AGGLUTINATION	0.6139807334205363			
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.6139105217587323			
MIR744_5P	0.6137687191002723			
GO_XENOBIOTIC_GLUCURONIDATION	0.6135244605909644			
REACTOME_FATTY_ACID_METABOLISM	0.6133507378158034			
LIU_SOX4_TARGETS_DN	0.6130361901645646			
MARTIN_INTERACT_WITH_HDAC	0.612821394700677			
GO_DEOXYRIBONUCLEOTIDE_BINDING	0.6128151746819094			
GO_COFACTOR_CATABOLIC_PROCESS	0.6127759399475681			
MIR3614_3P	0.6123807173408505			
GO_SEX_CHROMATIN	0.612292620768642			
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDES	0.611853677478863			
GO_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.6117578926611412			
GO_ISG15_PROTEIN_CONJUGATION	0.6109557110227085			
ANDERSEN_LIVER_CANCER_KRT19_DN	0.6107135455378915			
MAINA_HYPOXIA_VHL_TARGETS_UP	0.61063102734683			
REACTOME_SULFIDE_OXIDATION_TO_SULFATE	0.610386284151913			
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY	0.6102224454232171			
GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	0.6098988934249411			
GO_OTOLITH_DEVELOPMENT	0.6096909386858912			
GO_LOBAR_BRONCHUS_DEVELOPMENT	0.6096683522109922			
GO_GUANYLATE_CYCLASE_ACTIVITY	0.6096579118781355			
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.6094224439644595			
TAVOR_CEBPA_TARGETS_DN	0.608455318858198			
GSE14308_TH1_VS_NATURAL_TREG_UP	0.6081889817309432			
GSE7768_OVA_ALONE_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_DN	0.6075120111006933			
MIR422A	0.6072989844755032			
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN	0.6070475514045827			
REACTOME_CREATINE_METABOLISM	0.6068803497148613			
GO_TETRAPYRROLE_BINDING	0.6068551182247254			
GO_PROTEIN_LOCALIZATION_TO_PHOTORECEPTOR_OUTER_SEGMENT	0.6064122661099629			
IPA_CREB3L2_UP	0.6063620747869272			
GO_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS	0.6062035054116438			
GO_LOBAR_BRONCHUS_EPITHELIUM_DEVELOPMENT	0.6061549918137598			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.6060651208513687			
WANG_RESPONSE_TO_FORSKOLIN_UP	0.6059626572016005			
GSE16697_CD4_TCELL_VS_TFH_CD4_TCELL_DN	0.6058096943334305			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_12H_MBOVIS_BCG_STIM_DN	0.6054642126973837			
MIR378F	0.6049912532765636			
GO_REGULATION_OF_APPETITE	0.6049382290580791			
MIR1227_5P	0.6047584910120097			
MIR6861_3P	0.6045123177704791			
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.6042385365676939			
GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS	0.6037177500216635			
GSE40666_UNTREATED_VS_IFNA_STIM_CD8_TCELL_90MIN_UP	0.6034411401026402			
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING	0.6032379049826702			
KEGG_ARACHIDONIC_ACID_METABOLISM	0.6031343521425845			
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	0.6027238372179249			
GO_POSITIVE_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	0.6026197628461555			
GO_RETINAL_ROD_CELL_DEVELOPMENT	0.6024538999195161			
IPA_ATF6B_DN	0.6018772968782524			
IPA_PEG3_DN	0.6018772968782524			
IPA_TCEB1_DN	0.6018772968782524			
MIR6081	0.6016259122787648			
MIR378H	0.6013686672571221			
GO_SPINAL_CORD_PATTERNING	0.6012527916478361			
WILLIAMS_ESR1_TARGETS_DN	0.6010723161531003			
REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM	0.6008797909198856			
MIR378E	0.6008376935860209			
GO_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	0.6007347739385585			
GO_FMN_BINDING	0.6005865217799163			
GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.6003897868556075			
GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	0.5998316381369737			
