	Score	0.95 MoE	P-Value	Q-Value
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	0.6831836902535765			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN	0.6785145371876975			
GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN	0.6778015512604668			
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.676306093492702			
GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN	0.6758111633943099			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	0.6738865183440981			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.6734243462798182			
GSE42021_TREG_VS_TCONV_PLN_UP	0.6728139848783535			
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	0.6704292112405502			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.6700560781240373			
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.6679518235128153			
GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN	0.6599473058078628			
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6596077057130589			
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	0.6583189597409945			
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	0.658222910466727			
GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.6574965608671046			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.6552852116464419			
GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN	0.6532618264744643			
GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	0.6530455066091778			
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	0.6514051165909925			
GSE1432_1H_VS_24H_IFNG_MICROGLIA_DN	0.650592150318307			
BROWNE_INTERFERON_RESPONSIVE_GENES	0.6505039899985973			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN	0.6503122979362032			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN	0.6502314538649645			
GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_UP	0.6481729361012308			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	0.6477699812631367			
GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP	0.6470304911582797			
GSE10325_BCELL_VS_LUPUS_BCELL_DN	0.6464369324854249			
BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX	0.6456008692943582			
GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP	0.645199832141017			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN	0.6449175485995947			
