	Score	0.95 MoE	P-Value	Q-Value
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.5965253772243264			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.5836222990452716			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.5748479503297067			
ZHU_CMV_24_HR_DN	0.563696657508536			
HALLMARK_UV_RESPONSE_DN	0.5620291381763097			
GSE6259_CD4_TCELL_VS_CD8_TCELL_UP	0.5604657436893249			
ZHU_CMV_ALL_DN	0.5599643803566053			
GO_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	0.5558928656571491			
TOMLINS_PROSTATE_CANCER_DN	0.5547928213872563			
GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP	0.5540746955049449			
MARCHINI_TRABECTEDIN_RESISTANCE_DN	0.5533649492504716			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.5527399618199027			
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	0.5524820281777684			
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	0.5463371523512187			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.5462704953126922			
GROSS_HYPOXIA_VIA_ELK3_UP	0.5456926667132078			
GO_SARCOLEMMA	0.545458045774144			
REACTOME_ECM_PROTEOGLYCANS	0.5439012664737554			
IPA_SPDEF_DN	0.5435346958414831			
GO_CILIARY_TIP	0.5434743120816082			
GENTILE_UV_LOW_DOSE_DN	0.5419162386931365			
IPA_MYCN_DN	0.5401958939383157			
WILCOX_RESPONSE_TO_PROGESTERONE_DN	0.5396530731656198			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.5394283495934853			
GO_HIPPO_SIGNALING	0.5389997360455417			
GO_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	0.5386117803632804			
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	0.5380467676253792			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.5374462421716617			
CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_UP	0.5374162964928986			
KEGG_FOCAL_ADHESION	0.5373727239398172			
GO_CONTRACTILE_FIBER	0.5372748874897777			
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2	0.536281994875105			
SRF_Q5_01	0.533493176141324			
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5323795714264782			
CORDENONSI_YAP_CONSERVED_SIGNATURE	0.5316526458880952			
CHICAS_RB1_TARGETS_CONFLUENT	0.531217451375607			
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	0.5302988876436415			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.5296292949351731			
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.5293961070872186			
RODWELL_AGING_KIDNEY_NO_BLOOD_UP	0.529168331968418			
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	0.5279888010799698			
GO_CELL_PROJECTION_ASSEMBLY	0.5277202794389659			
GO_I_BAND	0.5274271831483731			
GO_AXON_EXTENSION	0.5272153809918054			
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.5266281865378968			
LU_EZH2_TARGETS_DN	0.5265296184860442			
GO_BLEB_ASSEMBLY	0.5264402757991309			
INAMURA_LUNG_CANCER_SCC_DN	0.5263719568978162			
IPA_SRF_UP	0.5262275829491857			
SRF_C	0.5262239379740018			
ZNF680_TARGET_GENES	0.5257512503161094			
MIR4772_3P	0.5256361690208688			
GO_COLLAGEN_FIBRIL_ORGANIZATION	0.5256290654144455			
REACTOME_COLLAGEN_FORMATION	0.5246306902462761			
GO_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.5243313747356396			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	0.5241567275320166			
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	0.5238028933339982			
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	0.5237655193418409			
PRDM4_TARGET_GENES	0.5237519265608114			
GO_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	0.5229822429318155			
